baseline_owner_module	baseline_declaration_name	visibility	kind	destination_module	expected_candidate_name	retention_action	expected_status
NumStability.Algorithms.StationaryIteration	NumStability.finiteResidualSigma_le_diagonalizable_bound	public	theorem	NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds	NumStability.finiteResidualSigma_le_diagonalizable_bound	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIteration	NumStability.finiteResidualSigma_le_diagonalizable_max_bound	public	theorem	NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds	NumStability.finiteResidualSigma_le_diagonalizable_max_bound	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIteration	NumStability.residualSigmaSup_le_diagonalizable_max_bound	public	theorem	NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds	NumStability.residualSigmaSup_le_diagonalizable_max_bound	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIteration	NumStability.residualSigmaTsum_le_diagonalizable_bound	public	theorem	NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds	NumStability.residualSigmaTsum_le_diagonalizable_bound	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIteration	NumStability.residualSigmaTsum_le_diagonalizable_max_bound_direct	public	theorem	NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds	NumStability.residualSigmaTsum_le_diagonalizable_max_bound_direct	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIteration	NumStability.sigma_bound	public	theorem	NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds	NumStability.sigma_bound	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIteration	NumStability.singularErrorSourceTerm_componentwise_bound	public	theorem	NumStability.Source.Higham.Chapter17.Results.Equation29.SingularBounds	NumStability.singularErrorSourceTerm_componentwise_bound	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIteration	NumStability.singularErrorSourceTerm_componentwise_bound_of_local_error	public	theorem	NumStability.Source.Higham.Chapter17.Results.Equation29.SingularBounds	NumStability.singularErrorSourceTerm_componentwise_bound_of_local_error	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIteration	NumStability.singularErrorSourceTerm_norm_bound	public	theorem	NumStability.Source.Higham.Chapter17.Results.Equation29.SingularBounds	NumStability.singularErrorSourceTerm_norm_bound	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIteration	NumStability.singularErrorSourceTerm_norm_bound_of_local_error	public	theorem	NumStability.Source.Higham.Chapter17.Results.Equation29.SingularBounds	NumStability.singularErrorSourceTerm_norm_bound_of_local_error	public_name_preserved	present_exactly_once
