declaration	kind	visibility	owner_module	destination_module	route_class	normalization_decision	in_private_closure	new_private_name
NumStability.Ch15.IsBoydConcreteSourceStrongLocalMaximum.hasActualSecondDerivativeGap	theorem	public	NumStability.Algorithms.HighamChapter15BoydSourceClosure	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.StrongLocalMaximum.Convergence	source	approved_owner_block_route	yes	-
NumStability.Ch15.boydConstrainedLagrangianFirst_hasDerivAt	theorem	public	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	NumStability.Source.Higham.Chapter15.Section02.Boyd.LocalConvergence.ConstrainedLagrangian.Differentiation	source	approved_owner_block_route	yes	-
NumStability.Ch15.boydConstrainedLagrangianFirst_hasDerivAt_rowwise_source_domain	theorem	public	NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.SecondDerivative.Rowwise	source	approved_owner_block_route	yes	-
NumStability.Ch15.boydConstrainedLagrangianLine_hasDerivAt	theorem	public	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	NumStability.Source.Higham.Chapter15.Section02.Boyd.LocalConvergence.ConstrainedLagrangian.Differentiation	source	approved_owner_block_route	yes	-
NumStability.Ch15.boydConstrainedSecondVariation_is_second_derivative	theorem	public	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	NumStability.Source.Higham.Chapter15.Section02.Boyd.LocalConvergence.ConstrainedLagrangian.Differentiation	source	approved_owner_block_route	yes	-
NumStability.Ch15.boydConstrainedSecondVariation_is_second_derivative_rowwise_source_domain	theorem	public	NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.SecondDerivative.Rowwise	source	approved_owner_block_route	yes	-
NumStability.Ch15.boydScalar_basis_mem_carrier	theorem	public	NumStability.Algorithms.HighamChapter15BoydScalar	NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ScalarCase.Iteration	source	approved_owner_block_route	yes	-
NumStability.Ch15.boydScalar_carrier_eq_basis	theorem	public	NumStability.Algorithms.HighamChapter15BoydScalar	NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ScalarCase.Iteration	source	approved_owner_block_route	yes	-
NumStability.Ch15.boydScalar_xnext_basis_eq	theorem	public	NumStability.Algorithms.HighamChapter15BoydScalar	NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ScalarCase.Iteration	source	approved_owner_block_route	yes	-
NumStability.Ch15.boydScalar_xnext_basis_nonneg	theorem	public	NumStability.Algorithms.HighamChapter15BoydScalar	NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ScalarCase.Iteration	source	approved_owner_block_route	yes	-
NumStability.Ch15.boydScalar_xseq_basis_eq	theorem	public	NumStability.Algorithms.HighamChapter15BoydScalar	NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ScalarCase.Iteration	source	approved_owner_block_route	yes	-
NumStability.Ch15.boydScalar_zof_basis_nonneg	theorem	public	NumStability.Algorithms.HighamChapter15BoydScalar	NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ScalarCase.Iteration	source	approved_owner_block_route	yes	-
NumStability.Ch15.exists_nonincreasing_step_of_fin_labels	theorem	public	NumStability.Algorithms.NormEstimation.PNorm.Endpoints.ConvergenceStatements	NumStability.Algorithms.NormEstimation.PNorm.OneAndInfinityNorms.Square	reusable	approved_owner_block_route	no	-
NumStability.Ch15.gammaSeq_one_succ_eq_column	theorem	public	NumStability.Algorithms.NormEstimation.PNorm.Endpoints.ConvergenceStatements	NumStability.Algorithms.NormEstimation.PNorm.OneAndInfinityNorms.Square	reusable	approved_owner_block_route	no	-
NumStability.Ch15.higham15_boyd_global_of_nonnegative_irreducibleGram_all_dimensions	theorem	public	NumStability.Algorithms.HighamChapter15BoydScalar	NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ScalarCase.Iteration	source	approved_owner_block_route	yes	-
NumStability.Ch15.higham15_boyd_global_scalar	theorem	public	NumStability.Algorithms.HighamChapter15BoydScalar	NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ScalarCase.Iteration	source	approved_owner_block_route	yes	-
NumStability.Ch15.higham15_boyd_source_linear_of_strongLocalMaximum_subsequentialLimit	theorem	public	NumStability.Algorithms.HighamChapter15BoydSourceClosure	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.StrongLocalMaximum.Convergence	source	approved_owner_block_route	yes	-
NumStability.Ch15.holder_inf	theorem	public	NumStability.Algorithms.NormEstimation.PNorm.Endpoints.ConvergenceStatements	NumStability.Algorithms.NormEstimation.PNorm.OneAndInfinityNorms.Square	reusable	approved_owner_block_route	no	-
NumStability.Ch15.infRowValue	definition	public	NumStability.Algorithms.NormEstimation.PNorm.Endpoints.ConvergenceStatements	NumStability.Algorithms.NormEstimation.PNorm.OneAndInfinityNorms.Square	reusable	approved_owner_block_route	no	-
NumStability.Ch15.linpackD_isPlusMinusOne	theorem	public	NumStability.Algorithms.Ch15CondEstimators	NumStability.Source.Higham.Chapter15.Algorithm05.LINPACKConditionEstimator.InverseNormBound.TriangularSolve	source	approved_owner_block_route	yes	-
NumStability.Ch15.linpackY_infNorm_le_infNorm_inv	theorem	public	NumStability.Algorithms.Ch15CondEstimators	NumStability.Source.Higham.Chapter15.Algorithm05.LINPACKConditionEstimator.InverseNormBound.TriangularSolve	source	approved_owner_block_route	yes	-
