owner_module	declarations	retained	relocated	private	in_closure	compatibility_action
NumStability.Algorithms.Ch15CondEstimators	7	0	7	4	7	import-only wrapper (block relocated)
NumStability.Algorithms.Ch15DixonClosure	0	0	0	0	0	declaration-free wrapper (imports normalized)
NumStability.Algorithms.Ch15DixonProbability	0	0	0	0	0	declaration-free wrapper (imports normalized)
NumStability.Algorithms.Chapter15CondEst	5	0	5	0	0	import-only wrapper (block relocated)
NumStability.Algorithms.HighamChapter15BoydBridges	0	0	0	0	0	declaration-free wrapper (imports normalized)
NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	6	0	6	3	6	import-only wrapper (block relocated)
NumStability.Algorithms.HighamChapter15BoydLocalStability	0	0	0	0	0	declaration-free wrapper (imports normalized)
NumStability.Algorithms.HighamChapter15BoydRowwiseDomain	0	0	0	0	0	declaration-free wrapper (imports normalized)
NumStability.Algorithms.HighamChapter15BoydScalar	9	0	9	1	9	import-only wrapper (block relocated)
NumStability.Algorithms.HighamChapter15BoydSourceClosure	4	0	4	0	4	import-only wrapper (block relocated)
NumStability.Algorithms.HighamChapter15BoydSourceDomain	0	0	0	0	0	declaration-free wrapper (imports normalized)
NumStability.Algorithms.HighamChapter15BoydSourceLocal	0	0	0	0	0	declaration-free wrapper (imports normalized)
NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative	4	0	4	2	4	import-only wrapper (block relocated)
NumStability.Algorithms.HighamChapter15BoydUniqueness	0	0	0	0	0	declaration-free wrapper (imports normalized)
NumStability.Algorithms.HighamChapter15ConvergenceProse	0	0	0	0	0	declaration-free wrapper (imports normalized)
NumStability.Algorithms.HighamChapter15RectTermination	45	0	45	43	45	import-only wrapper (block relocated)
NumStability.Algorithms.LU.Higham15Problem15_4	0	0	0	0	0	declaration-free wrapper (imports normalized)
NumStability.Algorithms.LU.Higham15Problem15_6	5	0	5	3	5	import-only wrapper (block relocated)
NumStability.Algorithms.LU.Higham15Problem15_6Closure	17	0	17	0	17	import-only wrapper (block relocated)
NumStability.Algorithms.LU.Higham15Problem15_6Operational	3	0	3	0	3	import-only wrapper (block relocated)
NumStability.Algorithms.LU.TridiagonalCondCh15	0	0	0	0	0	declaration-free wrapper (imports normalized)
NumStability.Algorithms.LU.TridiagonalCondCh15Closure	21	0	21	19	21	import-only wrapper (block relocated)
NumStability.Algorithms.LU.TridiagonalCondCh15IkebeClosure	2	0	2	1	2	import-only wrapper (block relocated)
NumStability.Algorithms.NormEstimation.PNorm.Endpoints.ConvergenceStatements	8	0	8	0	0	import-only wrapper (block relocated)
NumStability.Algorithms.NormEstimation.PNorm.Endpoints.PNormRectangular	6	0	6	0	0	import-only wrapper (block relocated)
NumStability.Algorithms.PNormPowerMethod	0	0	0	0	0	declaration-free wrapper (imports normalized)
NumStability.Algorithms.PNormPowerMethodGeneralP	0	0	0	0	0	declaration-free wrapper (imports normalized)
NumStability.Algorithms.PNormPowerMethodRect	0	0	0	0	0	declaration-free wrapper (imports normalized)
