module	role	import_order	lean_import_line	provenance
NumStability.Algorithms.Ch10ActualSourceClosure	compatibility	1	import NumStability.Algorithms.HighamChapter10	c0004_direct
NumStability.Algorithms.Ch10ActualSourceClosure	compatibility	2	import NumStability.Source.Higham.Chapter10.Theorem06.RoundedCholesky.ActualClosure	c0004_direct
NumStability.Algorithms.Ch10ActualSourceClosure	compatibility	3	import NumStability.Source.Higham.Chapter10.Theorem06.RoundedCholesky.ForwardError.ActualAlgorithm	produced_destination
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	compatibility	1	import Mathlib.Data.Complex.BigOperators	c0004_direct
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	compatibility	2	import NumStability.Algorithms.ComplexBackwardError	c0004_direct
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	compatibility	3	import NumStability.Algorithms.HighamChapter10	c0004_direct
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	compatibility	4	import NumStability.Analysis.ComplexArithmetic	c0004_direct
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	compatibility	5	import NumStability.Analysis.MatrixAlgebra	c0004_direct
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	compatibility	6	import NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	produced_destination
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	compatibility	7	import NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.SourceClosure	c0004_direct
NumStability.Algorithms.Ch10KahanSharpnessSource	compatibility	1	import NumStability.Algorithms.HighamChapter10	c0004_direct
NumStability.Algorithms.Ch10KahanSharpnessSource	compatibility	2	import NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.GramFamily	c0004_direct
NumStability.Algorithms.Ch10KahanSharpnessSource	compatibility	3	import NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.Limit	c0004_direct
NumStability.Algorithms.Ch10KahanSharpnessSource	compatibility	4	import NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.OperatorNorm.SourceBound	produced_destination
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	compatibility	1	import NumStability.Algorithms.HighamChapter10	c0004_direct
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	compatibility	2	import NumStability.Source.Higham.Chapter10.Lemma11.PivotSequenceStability.SourceClosure	c0004_direct
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	compatibility	3	import NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualComputation.ErrorBounds	produced_destination
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	compatibility	4	import NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	c0004_direct
NumStability.Algorithms.Ch10Theorem108Componentwise	compatibility	1	import NumStability.Algorithms.Cholesky.CholeskySpec	c0004_direct
NumStability.Algorithms.Ch10Theorem108Componentwise	compatibility	2	import NumStability.Algorithms.LinearSystems.Triangular.InverseBounds	c0004_direct
NumStability.Algorithms.Ch10Theorem108Componentwise	compatibility	3	import NumStability.Source.Higham.Chapter09.Problems	c0004_direct
NumStability.Algorithms.Ch10Theorem108Componentwise	compatibility	4	import NumStability.Source.Higham.Chapter09.Section01	c0004_direct
NumStability.Algorithms.Ch10Theorem108Componentwise	compatibility	5	import NumStability.Source.Higham.Chapter09.Section02	c0004_direct
NumStability.Algorithms.Ch10Theorem108Componentwise	compatibility	6	import NumStability.Source.Higham.Chapter09.Section03	c0004_direct
NumStability.Algorithms.Ch10Theorem108Componentwise	compatibility	7	import NumStability.Source.Higham.Chapter09.Section04	c0004_direct
NumStability.Algorithms.Ch10Theorem108Componentwise	compatibility	8	import NumStability.Source.Higham.Chapter09.Section05	c0004_direct
NumStability.Algorithms.Ch10Theorem108Componentwise	compatibility	9	import NumStability.Source.Higham.Chapter09.Section06	c0004_direct
NumStability.Algorithms.Ch10Theorem108Componentwise	compatibility	10	import NumStability.Source.Higham.Chapter09.Section08	c0004_direct
NumStability.Algorithms.Ch10Theorem108Componentwise	compatibility	11	import NumStability.Source.Higham.Chapter09.Section10	c0004_direct
NumStability.Algorithms.Ch10Theorem108Componentwise	compatibility	12	import NumStability.Source.Higham.Chapter09.Section11	c0004_direct
NumStability.Algorithms.Ch10Theorem108Componentwise	compatibility	13	import NumStability.Source.Higham.Chapter10.Theorem08.ComponentwisePerturbation.NormalizedResolvent.SourceBound	produced_destination
NumStability.Algorithms.Ch10Theorem108Componentwise	compatibility	14	import NumStability.Source.Higham.Chapter10.Theorem08.ComponentwisePerturbation.Resolvent	c0004_direct
NumStability.Algorithms.Ch10Theorem108Source	compatibility	1	import NumStability.Algorithms.HighamChapter10	c0004_direct
NumStability.Algorithms.Ch10Theorem108Source	compatibility	2	import NumStability.Source.Higham.Chapter10.Theorem08.NormwiseDiscrepancy.Counterexample.Uniqueness	produced_destination
NumStability.Algorithms.Ch10Theorem108Source	compatibility	3	import NumStability.Source.Higham.Chapter10.Theorem08.NormwiseDiscrepancy.LiteralSource	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyDemmel	retained_owner	1	import Mathlib.Algebra.BigOperators.Group.Finset.Basic	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyDemmel	retained_owner	2	import Mathlib.Algebra.Order.BigOperators.Group.Finset	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyDemmel	retained_owner	3	import Mathlib.Data.Real.Basic	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyDemmel	retained_owner	4	import Mathlib.Data.Real.Sqrt	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyDemmel	retained_owner	5	import Mathlib.Tactic.Linarith	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyDemmel	retained_owner	6	import Mathlib.Tactic.Ring	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyDemmel	retained_owner	7	import NumStability.Algorithms.Cholesky.CholeskySpec	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyDemmel	retained_owner	8	import NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.Demmel	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyDemmel	retained_owner	9	import NumStability.Analysis.Rounding	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyDemmel	retained_owner	10	import NumStability.FloatingPoint.Model	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyFl	retained_owner	1	import Mathlib.Algebra.BigOperators.Group.Finset.Basic	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyFl	retained_owner	2	import Mathlib.Algebra.Order.BigOperators.Group.Finset	c0004_direct
