gate	command	status	exit_code	stdout_sha256	artifact_sha256	notes
production_build	lake build NumStability	passed	0	D24314D76AFEF9908B30C8E86013FF0651C460EFA9D735A4A9C13213C150C263	D62CAF8DAC747AEE902D4A6D532F1A5E451D764A126A9410754D10202B10542F	live worker production build; 723.166 s; production bytes are identical in final materialization 05C73804
focused_destinations	lake build <30 R07 destination modules>	passed	0	F819B56DD815EB493682A3AFCCEBE0B752198140B94328C6D44C758ADEE2E420	788DC7987191EBF9325F8DE253DC793FAF3BF8AB1119F201B5E0918971C194E1	exact 30-module canonical destination roster
focused_canonical_tests	lake build <30 R07 canonical-only test modules>	passed	0	D0E53583E6D3688B5FB027A342D52912C8EB93729EF2E594BB63FEF290890C49	60CDF737B207BF571176378D40BF484004D8E61DF252C84C37CD8885830E804F	exact canonical_only class
focused_old_tests	lake build <45 R07 old-only test modules>	passed	0	1802152FEECF93FC48517E0D2B44D9522EDE4973BEB70BBC631A1C628294BFC4	60CDF737B207BF571176378D40BF484004D8E61DF252C84C37CD8885830E804F	exact old_only class
focused_consumer_tests	lake build <24 R07 consumer test modules>	passed	0	1D8498A43885B3CCE081DC97D4D8517B1F8C62866C66FB6D2D86262D29E92B2B	60CDF737B207BF571176378D40BF484004D8E61DF252C84C37CD8885830E804F	exact consumer class
focused_private_boundary_tests	lake build <R07 private-normalization and dependency-boundary modules>	passed	0	84D8D74752C0684476D97B37107041801C05ED15E48B2200EBBB3EC6904C7195	3D7B5DFFCEEE3C4F9AEB3AD6F3793F7457A7BE66BBF09F0C973D8195C7494C56	44 normalized private names plus 33 public closure witnesses
focused_test_aggregate	lake build NumStabilityTest.Reorganization.R07.All	passed	0	7C411E22EEDDEFE60BCA20B5445209E6B5673F82A9FD0DEFC0FB6213E10B0720	60CDF737B207BF571176378D40BF484004D8E61DF252C84C37CD8885830E804F	one aggregate over 101 isolated targets
full_build	lake build NumStability NumStabilityTest	passed	0	D8CDD754839D8912B6C72BB7AAB9E3A6C7EC24D36550F84B99FF6C26A02CF444	D62CAF8DAC747AEE902D4A6D532F1A5E451D764A126A9410754D10202B10542F	live worker full build; 15266.762 s; precedes terminal-blank normalization bridged below
lake_test	lake test	passed	0	B43D0C4D82B614B5F3F9099C7D971D8642AEC9061F7D2CEADC20C0C393AEB6C4	D62CAF8DAC747AEE902D4A6D532F1A5E451D764A126A9410754D10202B10542F	live worker test target; 95.514 s; precedes terminal-blank normalization bridged below
projection_materialization	python -B docs/architecture/deliveries/R07/CHECK_PROJECTION.py --control-root <control> --materialize-candidate	passed	0	A5B346057844216FF9F1F0DC19BBE86BCF4AA370326ECE906CF5115462AAD88D	07A3213243A770AE68C1DB76C7A9F120E65FDCDD00ADBFDCB354B785E5171376	117168449-byte four-root graph; JSON 0C8D7E65; Markdown 5954EF0D
projection_replay	python -B docs/architecture/deliveries/R07/CHECK_PROJECTION.py --control-root <control>	passed	0	71936608D60B62C3084ED4BFA881D3C58A384AD1321C161428A5306024607AA7	27313A98B70A8BFEC7F6DF1F2CBE796D4B420A03EE91D7BF136E8AF4F93E8A90	P0010 exact 194/243/752/775 replay; full 56903/1713/266387/382872/424082 census
static_delivery	python -B docs/architecture/deliveries/R07/CHECK_STATIC.py --control-root <control> --candidate benchmark-results/R07-candidate.tsv	passed	0	8CDA0E07C9DFD8173D9DB9D53177117EBB42F974D295B59D4DBF321AC0A1D63A	05C738043A6D990B7E2BBBE9B200E2A4B54AB8B042AFE9A308A6ACD1FF71A5FA	145 final postimages; 45 owners; 194 routes; 77 closure rows; 760 imports
request_replay_structural	python -B docs/architecture/deliveries/R07/CHECK_REQUEST_REPLAY.py --control-root <control> --full	passed	0	82F494EA1A9CF308F0BED4D0F6842DCB20CC373B5D95E7B40484F0239070163E	DFF0256BCDAB3DA2A3248D85A5A390E345AE5C49D45C6E099E26E315CF03B909	final materialization; checker 8A60B049; immutable R0011 forward/reverse; separate correction; layout compatibility provenance strict-source all pass; 2860/2770/90/0
request_replay_full_attempt1	python -B docs/architecture/deliveries/R07/CHECK_REQUEST_REPLAY.py --control-root <control> --full --full-build	harness_failed	1	BAAC9A78B18D4A4D85917719823402097D8094FCBFAAADAC24E388D9ADD19BF1	FB72273EEEF3EA45FDBB5AD99C3B54C75ACE38E91B8027D2D419984D8BE71682	cold build completed but Python decoded captured Lean UTF-8 as CP1252 and raised UnicodeDecodeError; 34313.747 s; no Lean failure reported; superseded by explicit UTF-8 checker
