owner_module	path	base_blob_oid	baseline_declarations	public_declarations	private_declarations	relocated_declarations	retained_declarations	destination_modules	wrapper_action	worker_change	postimage_sha256
NumStability.Algorithms.MatrixPowers	NumStability/Algorithms/MatrixPowers.lean	27a5dbd3027e045b19a2587ae466fb8cb8ff3f9f	0	0	0	0	0	-	import_only_wrapper	byte_identical	AE519CA18D462AACE223A6FBCBA9810FB186B1E11D6E9567617487D01796A163
NumStability.Algorithms.MatrixPowersComplex	NumStability/Algorithms/MatrixPowersComplex.lean	4cdcee5758a6e242c6fe1e43df5576f8f611c86d	0	0	0	0	0	-	import_only_wrapper	byte_identical	7A4BB9E23555CBB40D432A59EBC60440A07E6331CDF2BBB77DD3DB8A4E908B11
NumStability.Algorithms.MatrixPowersJordan	NumStability/Algorithms/MatrixPowersJordan.lean	2de1c582f428c0b9eeb306fbf386ae2a99019a33	0	0	0	0	0	-	import_only_wrapper	byte_identical	AD19AAB68EA723355A7141C03FAF5DEFBC705D978D00FD0AA56A214EA1703174
NumStability.Algorithms.MatrixPowersLp	NumStability/Algorithms/MatrixPowersLp.lean	ae615b79485e5246f08b8b3ea9a6f6d586b3909d	0	0	0	0	0	-	import_only_wrapper	byte_identical	FC33ED8D086F326A7E9E2AFAEEB670CE1999A7BE5841A4480D812E8D595506A1
NumStability.Algorithms.MatrixPowersLpJordan	NumStability/Algorithms/MatrixPowersLpJordan.lean	8dfc90102dcd524feea6f2e446dc461e6300ccb6	0	0	0	0	0	-	import_only_wrapper	byte_identical	A3409B722ACD8C18609517875D820836B2FEEAD97786D0CB3BFA41951FA47CBA
NumStability.Algorithms.MatrixPowersPseudospectral	NumStability/Algorithms/MatrixPowersPseudospectral.lean	f695567e81b76a4d8da5e21d6773344743603fc4	0	0	0	0	0	-	import_only_wrapper	byte_identical	673892C26ED2F8A3916338DFB396477C865969A188108802A8DC221C48D3C4F8
NumStability.Algorithms.MatrixPowersPseudospectralCriterion	NumStability/Algorithms/MatrixPowersPseudospectralCriterion.lean	bb6e64d4f63518fec3504001627342b5855abb13	0	0	0	0	0	-	import_only_wrapper	byte_identical	892DDCFF33E8CA62172BAE1D427B8EACBCA6699270B73A71D90C56A83BFADCF4
NumStability.Algorithms.MatrixPowersSpectral	NumStability/Algorithms/MatrixPowersSpectral.lean	215e3df31a20e159daccb71fdd333266bb249160	0	0	0	0	0	-	import_only_wrapper	byte_identical	F6926D9B18C5A4F708C8A6E8A6CC68EB39BBFDB8491861B8AD786ECDC4C6C159
NumStability.Analysis.BergerGeneral	NumStability/Analysis/BergerGeneral.lean	aa447e9b3c5ee731062c6ee25d85335134c729f2	10	5	5	10	0	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers	import_only_wrapper	modified	07C15E2160A98FD54AEE8D3539B5437E6785C16C524D5AE4DD8A41F2A0BE0A8E
NumStability.Analysis.BergerInequality	NumStability/Analysis/BergerInequality.lean	5be00dcefe5a546a674716a42a02b49229be12bf	1	0	1	1	0	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.Internal.HermitianEuclideanSpaceNotation	import_only_wrapper	modified	A4AC70DAE715EE4C8B2ECA0643566F03C687C3624A2CB4C1B186CA7493E3A04C
NumStability.Analysis.BergerResolvent	NumStability/Analysis/BergerResolvent.lean	a77f98344644f508c0b114085f799bb8fcbfe5b7	10	7	3	10	0	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo	import_only_wrapper	modified	DABE2E13723BBB0CF44856D2A582A4D757CB0F2D31101829000A383EE7BC8300
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	97	97	0	97	0	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.BlockDiagonal;NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.BlockDiagonalCompression;NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPair;NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairPinching;NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairRangeProjection;NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairRangeReflection;NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteDimensional;NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteMatrixOrder;NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealEmbedding;NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealOrder;NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ProjectionReflection;NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.RectangularCompression;NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.RectangularMultiplication;NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ReflectionAverage;NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.StrictPositivity	import_only_wrapper	modified	5033DBA229F9445BE0C34391E4F469E7423C37E060114B36D484921AD99725C0
NumStability.Analysis.CStarMatrixBridge	NumStability/Analysis/CStarMatrixBridge.lean	fb1650665f83c559c4e5eddf0ba4c4609a5b07a6	0	0	0	0	0	-	import_only_wrapper	byte_identical	B960AEFF1170B724DBB0F3941F05564A0D9F6CE163DF21FCDB3E683871506813
NumStability.Analysis.CStarMatrixExpectation	NumStability/Analysis/CStarMatrixExpectation.lean	071ce761d8bf5aeea364b1b8b4cca5257777f7c1	0	0	0	0	0	-	import_only_wrapper	byte_identical	0DC5AF1B1A6002AFA52BFCC987515FB04EFAE7A21A92C254DA3A25C68A6B4963
NumStability.Analysis.CStarMatrixTrace	NumStability/Analysis/CStarMatrixTrace.lean	31170df8844307ff79927478b05fb20d606e16b4	0	0	0	0	0	-	import_only_wrapper	byte_identical	7FDF6651A21D0DB858B5E50E7B5840404A6C8C0D67AE22BC53CA6DB0E05B9711
NumStability.Analysis.DunfordResidue	NumStability/Analysis/DunfordResidue.lean	24baf154ab274ed27b5d0b61a930ed986ba693aa	0	0	0	0	0	-	import_only_wrapper	byte_identical	7CA4A10C79C00934001803E94CA2E76FDF1894C83085C9D471C649A7D6B6C85A
NumStability.Analysis.HenriciExtremal	NumStability/Analysis/HenriciExtremal.lean	a2cf4169bcf1598b2452ec65245d4f66bcd60024	0	0	0	0	0	-	import_only_wrapper	byte_identical	F138113C2345C3D1EB082DB562C8A84585D02D87EA566B1B1D7320FE856424CF
NumStability.Analysis.HenriciSharpConstant	NumStability/Analysis/HenriciSharpConstant.lean	02ec7f58ae7f069c0bca602bac66e6d2a9fc3335	0	0	0	0	0	-	import_only_wrapper	byte_identical	EF62ED9F9567059183D5F2EDBE20A2FDF2D4480AD5FAF02952AD50D39B8F591A
NumStability.Analysis.HenriciSharpConstantExact	NumStability/Analysis/HenriciSharpConstantExact.lean	b71b93d9fd2bd971c9e103e19885d82414c358ee	0	0	0	0	0	-	import_only_wrapper	byte_identical	28853E366DC9E2842A94D1E552A1F62CA7837537F343895965B14AC55A6EE0A1
NumStability.Analysis.JordanNormalForm	NumStability/Analysis/JordanNormalForm.lean	756223f451bb007d40417cf119a51071956b2cd9	0	0	0	0	0	-	import_only_wrapper	byte_identical	8FE08F1FD832953F916F881F261C5B6E9F23265FE18406BE269F16D44AD8FDE3
NumStability.Analysis.LiebTrace	NumStability/Analysis/LiebTrace.lean	6aaed132214daa231ef4e8746fc4be2657071441	0	0	0	0	0	-	import_only_wrapper	byte_identical	CD0042FE72B4C2CB4999D4ED979312B1729BE2C890DAA26F0F7CA59101750C3C
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.KreissBridge	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.lean	a4a1f7e762d66404b52d947b1187c0957c9b9c2b	20	20	0	20	0	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ArcLengthPowerBounds.FiniteDimension;NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ResolventCoefficients.Analytic	import_only_wrapper	modified	3CFDCF50439DACB1265E6A9EEFC12C8D501488DB2F7B4B2085212CF41476FF48
NumStability.Analysis.MatrixPowersBaiDemmelGu	NumStability/Analysis/MatrixPowersBaiDemmelGu.lean	ac5b7ff504f9f66980fd191b772cf8d0ff6e8ae2	0	0	0	0	0	-	import_only_wrapper	byte_identical	7D85AA8E9083EDD8F6A6221ECE20BED47F36C78D9C421317DFCE8C51BD421FA3
NumStability.Analysis.MatrixPowersBaiDemmelGuDistance	NumStability/Analysis/MatrixPowersBaiDemmelGuDistance.lean	d5726c9b84c5dd1b8b90cff0001468374f089bad	0	0	0	0	0	-	import_only_wrapper	byte_identical	7143D8F2CD043F2565BC4EA1E647284075B1B7317E18E40FD7372144D1E5AE5F
NumStability.Analysis.MatrixPowersBinomialBound	NumStability/Analysis/MatrixPowersBinomialBound.lean	1006de836f6d95cf7d3d00483370a347a8bcb93f	17	4	13	17	0	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates	import_only_wrapper	modified	21ADEE688BC7415C2A9B907C805ACCF42657C674BE84D9DD1FB52E85251827A8
NumStability.Analysis.MatrixPowersGautschi	NumStability/Analysis/MatrixPowersGautschi.lean	07d51110a792be079c1205f7693d99bab4852285	0	0	0	0	0	-	import_only_wrapper	byte_identical	3231013E114AA861C911B87D8E1516126DD399C7399A9DD5659BC6DE3C346AE7
NumStability.Analysis.MatrixPowersHenrici	NumStability/Analysis/MatrixPowersHenrici.lean	d4294ce22974b7139bb282078b3149d3a2ee6669	0	0	0	0	0	-	import_only_wrapper	byte_identical	F1B86A1563B0E3CC4548378E2F729C99EDF7048193B7C9BB7F697F8A613A6520
NumStability.Analysis.MatrixPowersHenriciNormal	NumStability/Analysis/MatrixPowersHenriciNormal.lean	e8f693ba462480d2d36c3dbb5fad8525065e2205	2	2	0	2	0	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.NormalCharacterization.Schur	import_only_wrapper	modified	95B86AC3BE3C652A1E093EA2576916B970BCA8BDB02854ECD4EBAD5F9A6295AC
NumStability.Analysis.MatrixPowersKreiss	NumStability/Analysis/MatrixPowersKreiss.lean	b2e240cc0369e2858277c837542227b7fc422184	0	0	0	0	0	-	import_only_wrapper	byte_identical	6BAC6D35A8DEA3957122F1F22604F67455F8A78421CA46A5792EDC59B73396BA
NumStability.Analysis.MatrixPowersKreissSpijker	NumStability/Analysis/MatrixPowersKreissSpijker.lean	7213cc1236038e532708cc5ce4d04794b2c9683e	0	0	0	0	0	-	import_only_wrapper	byte_identical	BB5B8807D95A620B326C607AF163D6529975591A43E67001A4DDF7C6589BA3A4
NumStability.Analysis.MatrixPowersLaszlo	NumStability/Analysis/MatrixPowersLaszlo.lean	2c5dda2891d63423ca1c9b390778c04d2eb8dbd3	0	0	0	0	0	-	import_only_wrapper	byte_identical	D09314F06170A79BFDC7554C15F5E976A7461987E3F8BF8FE274BD3D51A21F03
NumStability.Analysis.MatrixPowersLp185Primary	NumStability/Analysis/MatrixPowersLp185Primary.lean	573feaaaa90c811d151dc6dc0e85ffc7bce29ea6	0	0	0	0	0	-	import_only_wrapper	byte_identical	E51A7856E0E665BCB6B3CB5ED224035EC53FDEDE38580DD08F4A764D31FC0EEE
NumStability.Analysis.MatrixPowersSchur	NumStability/Analysis/MatrixPowersSchur.lean	7fd000f29e3c9baff1616476d8627f271d4fc6e8	9	3	6	9	0	NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.NormalMatrices.Powers;NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.NormalCharacterization.Schur;NumStability.Analysis.LinearOperators.Schur.Complex.NormalTriangular.Diagonal	import_only_wrapper	modified	0FFB0307CB3EBBD58E5388CC5AEC8986CD4810BCF745BE2E0566423B20565856
