declaration	owner_module	destination_module
NumStability.Ch14Ext.Ch14Problem142Method1BFamilyDerivation.right_residual_family	NumStability.Algorithms.Ch14Problem142Families	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockFamilies.Derivations
NumStability.Ch14Ext.Ch14Problem142Method2CFamilyDerivation.left_residual_family	NumStability.Algorithms.Ch14Problem142Families	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockFamilies.Derivations
NumStability.Ch14Ext.Higham14Problem142Method1BDerivation.right_residual_firstOrder	NumStability.Algorithms.Ch14Problem142	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockFirstOrder.Derivations
NumStability.Ch14Ext.Higham14Problem142Method2CDerivation.left_residual_firstOrder	NumStability.Algorithms.Ch14Problem142	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockFirstOrder.Derivations
NumStability.Ch14Ext.ch14ext_backSub_zeroDiag_perturbed	NumStability.Source.Higham.Chapter14.Problem14	NumStability.Source.Higham.Chapter14.Problem14.FloatingPointDeterminant.HymanBackwardError
NumStability.Ch14Ext.ch14ext_cor146FinalizedForwardAbsoluteRemainder_family_isBigO_u_sq	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies
NumStability.Ch14Ext.ch14ext_cor146FinalizedForwardRelativeRemainder_family_isBigO_u_sq	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies
NumStability.Ch14Ext.ch14ext_cor146FinalizedForwardTerminal_family_isBigO_u_sq	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies
NumStability.Ch14Ext.ch14ext_cor146FinalizedResidualExactNormCorrection_family_isBigO_u_sq	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies
NumStability.Ch14Ext.ch14ext_cor146FinalizedResidualPrintedRemainder_family_isBigO_u_sq	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies
NumStability.Ch14Ext.ch14ext_cor146FinalizedResidualRemainder_family_isBigO_u_sq	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies
