baseline_owner_module	baseline_declaration_name	visibility	kind	projection_order	source_ordinal	destination_module	route_class	normalization_decision
NumStability.Algorithms.TestMatrices.Higham28Companion	NumStability.companionCharacteristicFormula_aeval_transpose	public	theorem	0	2	NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial	relocate_whole	-
NumStability.Algorithms.TestMatrices.Higham28Companion	NumStability.companionMatrix_charpoly	public	theorem	1	4	NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial	relocate_whole	-
NumStability.Algorithms.TestMatrices.Higham28Companion	NumStability.companionOfMatrix_charpoly	public	theorem	2	5	NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial	relocate_whole	-
NumStability.Algorithms.TestMatrices.Higham28Companion	NumStability.isSimilar_companion_rank_sub_scalar_ge	public	theorem	3	6	NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial	relocate_whole	-
NumStability.Algorithms.TestMatrices.Higham28Companion	_private.NumStability.Algorithms.TestMatrices.Higham28Companion.0.NumStability.companionCyclicSeed	private	definition	4	0	NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial	relocate_whole	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial.0.NumStability.companionCyclicSeed
NumStability.Algorithms.TestMatrices.Higham28Companion	_private.NumStability.Algorithms.TestMatrices.Higham28Companion.0.NumStability.companion_transpose_minpoly_natDegree_ge	private	theorem	5	3	NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial	relocate_whole	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial.0.NumStability.companion_transpose_minpoly_natDegree_ge
NumStability.Algorithms.TestMatrices.Higham28Companion	_private.NumStability.Algorithms.TestMatrices.Higham28Companion.0.NumStability.companion_transpose_pow_seed_succ	private	theorem	6	1	NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial	relocate_whole	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial.0.NumStability.companion_transpose_pow_seed_succ
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.companionExceptionalSquaredSingularValueMinus_le_one	public	theorem	0	30	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	-
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.companionExceptionalSquaredSingularValueMinus_occurs	public	theorem	1	36	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	-
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.companionExceptionalSquaredSingularValuePlus_occurs	public	theorem	2	35	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	-
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.companionGram_eigenvalue_eq_one_or_exceptional	public	theorem	3	11	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	-
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.companionSingularValues_eq_one_or_eq_exceptional	public	theorem	4	41	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	-
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.companionSingularValues_multiset_eq	public	theorem	5	40	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	-
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.companionSquaredSingularValues_count_one	public	theorem	6	37	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	-
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.companionSquaredSingularValues_count_one_eq_sub_two	public	theorem	7	38	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	-
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.companionSquaredSingularValues_eq_one_or_eq_plus_or_eq_minus	public	theorem	8	39	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	-
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability.companionSquaredSingularValues_eq_one_or_exceptional	public	theorem	9	27	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	-
