declaration	owner_module	visibility	selected_owner	closure_role	seed_memberships	membership_witnesses	co_route_component	minimum_depth	signature_edge_span	body_edge_span
NumStability.Polynomial.negOnePow_card_roots_lt_mul_abs_eval	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank	public	yes	reverse_dependent_boundary	_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank.0.NumStability.Polynomial.eval_pos_of_monic_of_roots_eq_zero;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank.0.NumStability.Polynomial.exists_isRoot_of_monic_of_odd_natDegree	"[{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank.0.NumStability.Polynomial.eval_pos_of_monic_of_roots_eq_zero"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank.0.NumStability.Polynomial.eval_pos_of_monic_of_roots_eq_zero""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank.0.NumStability.Polynomial.exists_isRoot_of_monic_of_odd_natDegree"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank.0.NumStability.Polynomial.exists_isRoot_of_monic_of_odd_natDegree""}]"	_private.NumStability.Algorithms.TestMatrices.Higham28GinibreRoots.0.NumStability.card_filter_le_card_filter_of_imp	1	0	2
NumStability.abs_ginibreHypergeometricTerm_succ_le	NumStability.Algorithms.TestMatrices.Higham28Ginibre	public	yes	reverse_dependent_boundary	_private.NumStability.Algorithms.TestMatrices.Higham28Ginibre.0.NumStability.ginibre_abs_sub_half_le_add	"[{""depth"":2,""edge_kind"":""body"",""predecessor"":""NumStability.abs_ginibreHypergeometricTerm_succ_le_half"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28Ginibre.0.NumStability.ginibre_abs_sub_half_le_add""}]"	_private.NumStability.Algorithms.TestMatrices.Higham28Ginibre.0.NumStability.ginibre_abs_sub_half_le_add	2	0	1
NumStability.abs_ginibreHypergeometricTerm_succ_le_half	NumStability.Algorithms.TestMatrices.Higham28Ginibre	public	yes	reverse_dependent_boundary	_private.NumStability.Algorithms.TestMatrices.Higham28Ginibre.0.NumStability.ginibre_abs_sub_half_le_add	"[{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Algorithms.TestMatrices.Higham28Ginibre.0.NumStability.ginibre_abs_sub_half_le_add"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28Ginibre.0.NumStability.ginibre_abs_sub_half_le_add""}]"	_private.NumStability.Algorithms.TestMatrices.Higham28Ginibre.0.NumStability.ginibre_abs_sub_half_le_add	1	0	1
NumStability.abs_realGinibre_hypergeometric_sub_one_le	NumStability.Algorithms.TestMatrices.Higham28Ginibre	public	yes	reverse_dependent_boundary	_private.NumStability.Algorithms.TestMatrices.Higham28Ginibre.0.NumStability.ginibre_abs_sub_half_le_add	"[{""depth"":3,""edge_kind"":""body"",""predecessor"":""NumStability.abs_ginibreHypergeometricTerm_succ_le"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28Ginibre.0.NumStability.ginibre_abs_sub_half_le_add""}]"	_private.NumStability.Algorithms.TestMatrices.Higham28Ginibre.0.NumStability.ginibre_abs_sub_half_le_add	3	0	1
NumStability.ae_ginibreRegularFiberMultiplicity_eq_realEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreIntegral	public	yes	reverse_dependent_boundary	_private.NumStability.Algorithms.TestMatrices.Higham28GinibreRoots.0.NumStability.card_filter_le_card_filter_of_imp	"[{""depth"":3,""edge_kind"":""body"",""predecessor"":""NumStability.ginibreRegularFiberMultiplicity_eq_realEigenvalueCount"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreRoots.0.NumStability.card_filter_le_card_filter_of_imp""}]"	_private.NumStability.Algorithms.TestMatrices.Higham28GinibreGaussianBridge.0.NumStability.ginibreGaussianBridgeMeasurableSpaceRSqMat	3	0	2
NumStability.ae_linearIndependent_standardGaussianColumns	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	public	yes	reverse_dependent_boundary	_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.measurableSet_linearIndependent_fin_cons;_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.span_range_ne_top_of_linearIndependent_of_card_lt	"[{""depth"":2,""edge_kind"":""body"",""predecessor"":""NumStability.ae_linearIndependent_standardGaussianColumns_aux"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.measurableSet_linearIndependent_fin_cons""},{""depth"":2,""edge_kind"":""body"",""predecessor"":""NumStability.ae_linearIndependent_standardGaussianColumns_aux"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.span_range_ne_top_of_linearIndependent_of_card_lt""}]"	_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.det_gsColumnsToMatrix_ne_zero_of_linearIndependent	2	0	1
NumStability.ae_linearIndependent_standardGaussianColumns_aux	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	public	yes	reverse_dependent_boundary	_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.measurableSet_linearIndependent_fin_cons;_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.span_range_ne_top_of_linearIndependent_of_card_lt	"[{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.measurableSet_linearIndependent_fin_cons"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.measurableSet_linearIndependent_fin_cons""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.span_range_ne_top_of_linearIndependent_of_card_lt"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.span_range_ne_top_of_linearIndependent_of_card_lt""}]"	_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.det_gsColumnsToMatrix_ne_zero_of_linearIndependent	1	0	2
NumStability.card_filter_lt_card_filter_of_mem	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	public	yes	reverse_dependent_boundary	_private.NumStability.Algorithms.TestMatrices.Higham28GinibreRoots.0.NumStability.card_filter_le_card_filter_of_imp	"[{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreRoots.0.NumStability.card_filter_le_card_filter_of_imp"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreRoots.0.NumStability.card_filter_le_card_filter_of_imp""}]"	_private.NumStability.Algorithms.TestMatrices.Higham28GinibreRoots.0.NumStability.card_filter_le_card_filter_of_imp	1	0	1
NumStability.ch28gf_expectedRealEigenvalueCount_eq_closedForm	NumStability.Algorithms.TestMatrices.Higham28GinibreFiniteFormula	public	yes	reverse_dependent_boundary	_private.NumStability.Algorithms.TestMatrices.Higham28Ginibre.0.NumStability.ginibre_abs_sub_half_le_add;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct.0.NumStability.ginibreCharacteristicProductSigmaFiniteRow;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreComplexPairs.0.NumStability.card_filter_im_neg_eq_pos_of_map_conj;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreComplexPairs.0.NumStability.card_partition_by_im;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreGaussianBridge.0.NumStability.matrixVolume_isAddHaarMeasure;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreJointDensity.0.NumStability.ginibreJointDensityMeasurableSpaceRSqMat;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberMatrixMeasurableAdd;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberMatrixVolumeIsAddHaar;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberMatrixVolumeSigmaFinite;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberMeasurableSpaceRSqMat;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberMeasureSpaceCoordinates;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberMeasureSpaceNuisance;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberMeasureSpaceNuisanceCore;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberMeasureSpaceRSqMat;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberNuisanceCoreMeasurableAdd;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberNuisanceCoreVolumeIsAddHaar;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberNuisanceVolumeIsAddHaar;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreParity.0.NumStability.hasSum_real_binomialSeries;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreParity.0.NumStability.one_half_rpow_three_halves;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreParity.0.NumStability.realGamma_five_halves_div_two;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreParity.0.NumStability.ringChoose_succ_mul;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreParity.0.NumStability.sqrt_two_div_pi_mul_sqrt_pi;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreParity.0.NumStability.sqrt_two_mul_one_half_rpow_three_halves;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreParity.0.NumStability.sqrt_two_mul_sqrt_one_half;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral.0.NumStability.euclideanVolume_unitBall_real;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral.0.NumStability.ginibreProjectiveConstant;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral.0.NumStability.integral_betaKernel;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral.0.NumStability.integral_ginibreProjectiveWeight_raw;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral.0.NumStability.integral_Ioi_betaKernel;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral.0.NumStability.mobius_betaKernel;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral.0.NumStability.mobius_hasDerivWithin;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral.0.NumStability.mobius_image_Ioo;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral.0.NumStability.mobius_injOn;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral.0.NumStability.sqrtPi_pow_succ;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreRecurrence.0.NumStability.abs_ginibreHypergeometricTelescopeCoefficient_le_two;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreRecurrence.0.NumStability.hasSum_ginibreHypergeometricTelescopeDifference;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreRecurrence.0.NumStability.realGinibre_hypergeometric_one_rpow;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreRecurrence.0.NumStability.summable_ginibreHypergeometricTelescopeTerm;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreRoots.0.NumStability.card_filter_le_card_filter_of_imp;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation.0.NumStability.ginibreSignedExpectationMeasurableSpace;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence.0.NumStability.ginibreIncidenceLebesgueMeasure_eq_signedVolume;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence.0.NumStability.ginibreSignedIncidenceLebesgueHaar;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence.0.NumStability.ginibreSignedIncidenceMeasurableSpaceRSqMat;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence.0.NumStability.ginibreSignedIncidenceMeasureSpaceRSqMat;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence.0.NumStability.ginibreSignedIncidenceSigmaFiniteRSqMat;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank.0.NumStability.one_eq_rankSign_sub_pairPrefix;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank.0.NumStability.Polynomial.eval_pos_of_monic_of_roots_eq_zero;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank.0.NumStability.Polynomial.exists_isRoot_of_monic_of_odd_natDegree;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank.0.NumStability.two_mul_alternating_range;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreTruncatedIncidence.0.NumStability.ginibreTruncatedStandardBorelCoordinates;_private.NumStability.Algorithms.TestMatrices.Higham28GinibreTruncatedIncidence.0.NumStability.ginibreTruncatedStandardBorelNuisance	"[{""depth"":9,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28Ginibre.0.NumStability.ginibre_abs_sub_half_le_add""},{""depth"":11,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct.0.NumStability.ginibreCharacteristicProductSigmaFiniteRow""},{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreComplexPairs.0.NumStability.card_filter_im_neg_eq_pos_of_map_conj""},{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreComplexPairs.0.NumStability.card_partition_by_im""},{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreGaussianBridge.0.NumStability.matrixVolume_isAddHaarMeasure""},{""depth"":6,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreJointDensity.0.NumStability.ginibreJointDensityMeasurableSpaceRSqMat""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberMatrixMeasurableAdd""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberMatrixVolumeIsAddHaar""},{""depth"":6,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberMatrixVolumeSigmaFinite""},{""depth"":6,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberMeasurableSpaceRSqMat""},{""depth"":6,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberMeasureSpaceCoordinates""},{""depth"":4,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberMeasureSpaceNuisance""},{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberMeasureSpaceNuisanceCore""},{""depth"":6,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberMeasureSpaceRSqMat""},{""depth"":6,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberNuisanceCoreMeasurableAdd""},{""depth"":6,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberNuisanceCoreVolumeIsAddHaar""},{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber.0.NumStability.ginibreOrthogonalFiberNuisanceVolumeIsAddHaar""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreParity.0.NumStability.hasSum_real_binomialSeries""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreParity.0.NumStability.one_half_rpow_three_halves""},{""depth"":6,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreParity.0.NumStability.realGamma_five_halves_div_two""},{""depth"":8,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreParity.0.NumStability.ringChoose_succ_mul""},{""depth"":6,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreParity.0.NumStability.sqrt_two_div_pi_mul_sqrt_pi""},{""depth"":6,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreParity.0.NumStability.sqrt_two_mul_one_half_rpow_three_halves""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreParity.0.NumStability.sqrt_two_mul_sqrt_one_half""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral.0.NumStability.euclideanVolume_unitBall_real""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral.0.NumStability.ginibreProjectiveConstant""},{""depth"":10,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral.0.NumStability.integral_betaKernel""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral.0.NumStability.integral_ginibreProjectiveWeight_raw""},{""depth"":9,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral.0.NumStability.integral_Ioi_betaKernel""},{""depth"":10,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral.0.NumStability.mobius_betaKernel""},{""depth"":10,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral.0.NumStability.mobius_hasDerivWithin""},{""depth"":10,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral.0.NumStability.mobius_image_Ioo""},{""depth"":10,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral.0.NumStability.mobius_injOn""},{""depth"":8,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral.0.NumStability.sqrtPi_pow_succ""},{""depth"":8,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreRecurrence.0.NumStability.abs_ginibreHypergeometricTelescopeCoefficient_le_two""},{""depth"":6,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreRecurrence.0.NumStability.hasSum_ginibreHypergeometricTelescopeDifference""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreRecurrence.0.NumStability.realGinibre_hypergeometric_one_rpow""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreRecurrence.0.NumStability.summable_ginibreHypergeometricTelescopeTerm""},{""depth"":8,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreRoots.0.NumStability.card_filter_le_card_filter_of_imp""},{""depth"":6,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation.0.NumStability.ginibreSignedExpectationMeasurableSpace""},{""depth"":4,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence.0.NumStability.ginibreIncidenceLebesgueMeasure_eq_signedVolume""},{""depth"":4,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence.0.NumStability.ginibreSignedIncidenceLebesgueHaar""},{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence.0.NumStability.ginibreSignedIncidenceMeasurableSpaceRSqMat""},{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence.0.NumStability.ginibreSignedIncidenceMeasureSpaceRSqMat""},{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence.0.NumStability.ginibreSignedIncidenceSigmaFiniteRSqMat""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank.0.NumStability.one_eq_rankSign_sub_pairPrefix""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank.0.NumStability.Polynomial.eval_pos_of_monic_of_roots_eq_zero""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank.0.NumStability.Polynomial.exists_isRoot_of_monic_of_odd_natDegree""},{""depth"":8,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank.0.NumStability.two_mul_alternating_range""},{""depth"":8,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreTruncatedIncidence.0.NumStability.ginibreTruncatedStandardBorelCoordinates""},{""depth"":9,""edge_kind"":""body"",""predecessor"":""NumStability.ch28gf_realGinibreFiniteExpectationFormula"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreTruncatedIncidence.0.NumStability.ginibreTruncatedStandardBorelNuisance""}]"	-	4	1	1
NumStability.ch28gf_integrable_detSq_matrix	NumStability.Algorithms.TestMatrices.Higham28GinibreFiniteFormula	public	yes	reverse_dependent_boundary	_private.NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct.0.NumStability.ginibreCharacteristicProductSigmaFiniteRow	"[{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.integrable_realGinibre_det_sub_smul_one_mul_det_sub_smul_one"",""seed"":""_private.NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct.0.NumStability.ginibreCharacteristicProductSigmaFiniteRow""}]"	-	5	2	3
