phase	gate	command	targets	target_sha256	jobs	mutex	exit_code	seconds	result	notes
evidence	scope	python -B docs/architecture/deliveries/R12/CHECK_SCOPE.py	51	-	0	-	0	2.790	pass	51 authorized paths; 3 modified owners; 48 additions; 24 control hashes
evidence	static	python -B docs/architecture/deliveries/R12/CHECK_STATIC.py	34	-	0	-	0	2.604	pass	34 exact public commands; zero private; six leaves; three complete aggregates; 26 isolated tests
integration	r0004_replay	python -B docs/architecture/deliveries/R12/CHECK_REQUEST_REPLAY.py	3	-	0	-	0	7.653	pass	exact R0004 forward and reverse replay plus active-control overlay
tests	tests_canonical	lake build NumStabilityTest.Reorganization.R12.Canonical.SourceHighamChapter13Equation23ProductBoundsPointRow NumStabilityTest.Reorganization.R12.Canonical.SourceHighamChapter13Equation25BackwardErrorBounds NumStabilityTest.Reorganization.R12.Canonical.SourceHighamChapter13Equation25PartitionedComputationImplementation1 NumStabilityTest.Reorganization.R12.Canonical.SourceHighamChapter13Table01BackwardErrorBoundsEndpoints NumStabilityTest.Reorganization.R12.Canonical.SourceHighamChapter13Table01DiagonalDominanceBounds NumStabilityTest.Reorganization.R12.Canonical.SourceHighamChapter13Table01ProductTransfersFamilies	6	F28302E80579ED38295DE0550BAFFB29042010197CEF48B25035620BEC2C8D33	3049	Local\lean-reorganization-2026-08	0	1202.848	pass	isolated frozen test-plan targets; canonical leaves exclude historical-owner reachability
tests	tests_focused	lake build NumStabilityTest.Reorganization.R12.Focused.SourceHighamChapter13Equation23ProductBoundsPointRow NumStabilityTest.Reorganization.R12.Focused.SourceHighamChapter13Equation25BackwardErrorBounds NumStabilityTest.Reorganization.R12.Focused.SourceHighamChapter13Equation25PartitionedComputationImplementation1 NumStabilityTest.Reorganization.R12.Focused.SourceHighamChapter13Table01BackwardErrorBoundsEndpoints NumStabilityTest.Reorganization.R12.Focused.SourceHighamChapter13Table01DiagonalDominanceBounds NumStabilityTest.Reorganization.R12.Focused.SourceHighamChapter13Table01ProductTransfersFamilies	6	BC83211408490466615CF5569C4718121F903E2AAF142990E688BC4519D0975A	3049	Local\lean-reorganization-2026-08	0	46.292	pass	isolated frozen focused targets
tests	tests_old_only	lake build NumStabilityTest.Reorganization.R12.OldOnly.SourceHighamChapter13Equation23 NumStabilityTest.Reorganization.R12.OldOnly.SourceHighamChapter13Equation25 NumStabilityTest.Reorganization.R12.OldOnly.SourceHighamChapter13Table01	3	63C42A0308507EBFE68D8354485230B4D6D16FC9B848995B3047948FFAD4F330	3157	Local\lean-reorganization-2026-08	0	1613.778	pass	all three historical aggregates compile in isolation
tests	tests_protected_consumer	lake build NumStabilityTest.Reorganization.R12.Consumer.AlgorithmsLUBlockLUTable13_1Families NumStabilityTest.Reorganization.R12.Consumer.HighamChapter13Table13_1 NumStabilityTest.Reorganization.R12.Consumer.SourceHighamChapter13BlockLU NumStabilityTest.Reorganization.R12.Consumer.SourceHighamChapter13Equation25Factorization NumStabilityTest.Reorganization.R12.Consumer.SourceHighamChapter13Problem04ComparisonChains NumStabilityTest.Reorganization.R12.Consumer.SourceHighamChapter13Problem04DeterminantChainProducts NumStabilityTest.Reorganization.R12.Consumer.SourceHighamChapter13Problem04GlobalTableauChain NumStabilityTest.Reorganization.R12.Consumer.SourceHighamChapter13Problem04InverseRatioChain NumStabilityTest.Reorganization.R12.Consumer.SourceHighamChapter13Problem04LowerComparisonChain NumStabilityTest.Reorganization.R12.Consumer.SourceHighamChapter13Problem04ProductBounds NumStabilityTest.Reorganization.R12.Consumer.SourceHighamChapter13Problem04RecursiveBudgetChains	11	5B0760D99BBD66F3134939A7BB6A4B74B3884F7C45DA61255CEF9A49E719C8C0	3227	Local\lean-reorganization-2026-08	0	406.547	pass	all 11 protected consumers compile through their production imports
tests	tests_all	lake build NumStabilityTest.Reorganization.R12.All	1	33F507E5FE8FDBDA78C547E1781BEAE78197157EA4DEB37D7057B59663A30105	3243	Local\lean-reorganization-2026-08	0	20.307	pass	declaration-free aggregate over all 26 isolated test modules
architecture	layout_worker	python -B tools/architecture/check_layout.py	2637	-	0	-	1	143.073	integrator_required	exact R0004 deferrals only: 27 R12 tests absent from root and stale Equation23 Equation25 Table01 umbrella baseline
architecture	compatibility_worker	python -B tools/architecture/check_compatibility.py	1246	-	0	-	0	18.106	pass	381 forwarding modules and 865 canonical targets
architecture	provenance_worker	python -B tools/architecture/check_provenance.py	142	-	0	-	0	0.605	pass	137 Apache-marked production files and five evidenced upstream modules
source	strict_source_worker	python -B tools/architecture/generate_baseline.py --skip-declarations --strict-source --output-dir benchmark-results/R12-worker-strict-source --name R12-worker-strict-source	0	-	0	Local\lean-reorganization-2026-08	0	17.778	pass	worker source graph strict tier and reachability checks
evidence	placeholder_scan	python -B docs/architecture/deliveries/R12/CHECK_STATIC.py	51	-	0	-	0	2.471	pass	changed-scope placeholder scan and exact declaration-command audit
evidence	tracked_generated	python -B docs/architecture/deliveries/R12/CHECK_SCOPE.py	51	-	0	-	0	2.723	pass	no tracked generated cache bytecode binary benchmark or forbidden-suffix artifact
evidence	diff_check	git diff --check 117aa2bb7e61f41e1531a78452f9f7f6cd5b0771 --	51	-	0	-	0	0.241	pass	worker diff has no whitespace errors
repository	library_and_tests	lake build NumStability NumStabilityTest	2	620A34827F60B599F6271BF25AD240EDC06E2999BD2470D653D33AEC59B6C797	8901	Local\lean-reorganization-2026-08	0	15733.085	pass	full production and repository test build
repository	lake_test	lake test	0	-	0	Local\lean-reorganization-2026-08	0	100.099	pass	Lake test driver
projection	candidate	python -B tools/architecture/generate_baseline.py --output-dir benchmark-results --name R12-candidate --keep-dependency-tsv benchmark-results/R12-candidate.tsv	0	-	6139	Local\lean-reorganization-2026-08	0	136.102	pass	full format-2 extraction; tsv=C49C94C9C298CFEAFAEB87095F2B8EF9C7513FEB22E9B5BC37F7BE72FF627866/116734107 json=EEB68C5AD19DA7C9C74B1960B85EDC0F7D4D2EC86442E9F315561A514699F215/99488 md=2DEE25D774D13DA08DCA95D7E9166418940BEBC08CA151FC149A208876A83AD6/16827
projection	deterministic_replay	python -B tools/architecture/generate_baseline.py --output-dir benchmark-results --name R12-candidate --dependency-tsv benchmark-results/R12-candidate.tsv	0	-	0	Local\lean-reorganization-2026-08	0	22.810	pass	byte-identical deterministic replay; tsv=C49C94C9C298CFEAFAEB87095F2B8EF9C7513FEB22E9B5BC37F7BE72FF627866/116734107 json=EEB68C5AD19DA7C9C74B1960B85EDC0F7D4D2EC86442E9F315561A514699F215/99488 md=2DEE25D774D13DA08DCA95D7E9166418940BEBC08CA151FC149A208876A83AD6/16827
projection	p0004_replay	python -B docs/architecture/deliveries/R12/CHECK_PROJECTION.py benchmark-results/R12-candidate.tsv	34	-	0	Local\lean-reorganization-2026-08	0	4.367	pass	34 relocated declarations; 80 signature edges; 133 body/proof edges; 139 union edges
integration	r0004_integrated_full	python -B docs/architecture/deliveries/R12/CHECK_REQUEST_REPLAY.py --full	3	-	8928	Local\lean-reorganization-2026-08	0	502.396	pass	exact R0004 replay and disposable active-control integrated overlay with every full gate green
evidence	diff_check_staged	git diff --cached --check	51	-	0	-	0	0.083	pass	final authorized staged payload has no whitespace errors
integrated	integrated_compile_tools	python -B -c compile-eight-architecture-tools-without-bytecode	8	-	0	Local\lean-reorganization-2026-08	0	0.325	pass	eight architecture tools compile from source without bytecode
integrated	integrated_phase_self_test	python -B tools/architecture/check_phase.py --self-test	0	-	0	Local\lean-reorganization-2026-08	0	11.879	pass	phase contract adversarial self-test
integrated	integrated_phase_projection_self_test	python -B tools/architecture/check_phase_projection.py --self-test	0	-	0	Local\lean-reorganization-2026-08	0	0.372	pass	phase projection plain/gzip and rejection self-test
integrated	integrated_completion_projection_self_test	python -B tools/architecture/check_completion_phase_projection.py --self-test	0	-	0	Local\lean-reorganization-2026-08	0	0.194	pass	completion projection and private-normalization self-test
integrated	integrated_completion_self_test	python -B tools/architecture/check_completion_phase.py --self-test	0	-	0	Local\lean-reorganization-2026-08	0	0.128	pass	completion contract constants graph and collision self-test
integrated	integrated_all_phases	python -B tools/architecture/check_phase.py --all-phases	11	-	0	Local\lean-reorganization-2026-08	0	54.142	pass	all historical and active phase contracts
integrated	integrated_completion_phase	python -B tools/architecture/check_completion_phase.py	1	-	0	Local\lean-reorganization-2026-08	0	22.848	pass	active C0001 completion controls and exact R11/R12 activation pins
integrated	integrated_layout	python -B tools/architecture/check_layout.py	2637	-	0	Local\lean-reorganization-2026-08	0	168.927	pass	R0004 postimages remove both worker-only layout findings; no legacy debt increased
integrated	integrated_compatibility	python -B tools/architecture/check_compatibility.py	1246	-	0	Local\lean-reorganization-2026-08	0	18.308	pass	381 forwarding modules and 865 canonical targets
integrated	integrated_provenance	python -B tools/architecture/check_provenance.py	142	-	0	Local\lean-reorganization-2026-08	0	0.581	pass	137 Apache-marked production files and five evidenced upstream modules
integrated	integrated_strict_source	python -B tools/architecture/generate_baseline.py --skip-declarations --strict-source --output-dir benchmark-results/R12-integrated-strict-source --name source	0	-	0	Local\lean-reorganization-2026-08	0	18.573	pass	disposable integrated strict tier and reachability checks
integrated	integrated_library_and_tests	lake build NumStability NumStabilityTest	2	620A34827F60B599F6271BF25AD240EDC06E2999BD2470D653D33AEC59B6C797	8928	Local\lean-reorganization-2026-08	0	8.780	pass	disposable R0004-integrated full production and repository test build
integrated	integrated_lake_test	lake test	0	-	0	Local\lean-reorganization-2026-08	0	8.812	pass	disposable R0004-integrated Lake test driver
integrated	integrated_staged_diff_check	git diff --cached --check	54	-	0	Local\lean-reorganization-2026-08	0	0.081	pass	disposable staged worker overlay plus three exact R0004 postimages has no whitespace errors
