declaration	baseline_owner	destination_module	retention	candidate_occurrences
NumStability.Higham13BlockLUBudgetChain.exists_blockLUFact_eq13_23_product	NumStability.Source.Higham.Chapter13.Equation23	NumStability.Source.Higham.Chapter13.Equation23.ProductBounds.PointRow	public_name_preserved	present_exactly_once
NumStability.Higham13BlockLUBudgetChain.exists_blockLUFact_eq13_23_product_exact_kappa	NumStability.Source.Higham.Chapter13.Equation23	NumStability.Source.Higham.Chapter13.Equation23.ProductBounds.PointRow	public_name_preserved	present_exactly_once
NumStability.higham13_eq13_23_point_row_from_growth	NumStability.Source.Higham.Chapter13.Equation23	NumStability.Source.Higham.Chapter13.Equation23.ProductBounds.PointRow	public_name_preserved	present_exactly_once
NumStability.higham13_eq13_25_implementation1_spd_family_from_partitioned_computation	NumStability.Source.Higham.Chapter13.Equation25	NumStability.Source.Higham.Chapter13.Equation25.PartitionedComputation.Implementation1	public_name_preserved	present_exactly_once
NumStability.spd_backward_error_bound	NumStability.Source.Higham.Chapter13.Equation25	NumStability.Source.Higham.Chapter13.Equation25.BackwardError.Bounds	public_name_preserved	present_exactly_once
NumStability.spd_backward_error_bound_higham_13_25	NumStability.Source.Higham.Chapter13.Equation25	NumStability.Source.Higham.Chapter13.Equation25.BackwardError.Bounds	public_name_preserved	present_exactly_once
NumStability.block_lu_stability_block_diagDom_col	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.DiagonalDominance.Bounds	public_name_preserved	present_exactly_once
NumStability.block_lu_stability_block_diagDom_row	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.DiagonalDominance.Bounds	public_name_preserved	present_exactly_once
NumStability.block_lu_stability_point_diagDom_col	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.DiagonalDominance.Bounds	public_name_preserved	present_exactly_once
NumStability.block_lu_stability_point_diagDom_row	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.DiagonalDominance.Bounds	public_name_preserved	present_exactly_once
NumStability.block_lu_stability_spd	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.DiagonalDominance.Bounds	public_name_preserved	present_exactly_once
NumStability.higham13_col_bdd_infNorm_stability_bound	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.DiagonalDominance.Bounds	public_name_preserved	present_exactly_once
NumStability.higham13_col_bdd_oneNorm_stability_bound	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.DiagonalDominance.Bounds	public_name_preserved	present_exactly_once
NumStability.higham13_col_bdd_stability_bound	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.DiagonalDominance.Bounds	public_name_preserved	present_exactly_once
NumStability.higham13_rowdom_largeL_A	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.DiagonalDominance.Bounds	public_name_preserved	present_exactly_once
