format	1
declaration	historical_module	destination_module	decision	kind	visibility	command_root	start_line
NumStability.DemmelHighamPerturbation	NumStability.Algorithms.Underdetermined.UnderdeterminedSpec	NumStability.Source.Higham.Chapter21.Theorem01.ComponentwisePerturbation.UnderdeterminedSpec	relocate_source	inductive	public	NumStability.DemmelHighamPerturbation	808
NumStability.DemmelHighamPerturbation.bound	NumStability.Algorithms.Underdetermined.UnderdeterminedSpec	NumStability.Source.Higham.Chapter21.Theorem01.ComponentwisePerturbation.UnderdeterminedSpec	relocate_source	theorem	public	NumStability.DemmelHighamPerturbation	808
NumStability.DemmelHighamPerturbation.casesOn	NumStability.Algorithms.Underdetermined.UnderdeterminedSpec	NumStability.Source.Higham.Chapter21.Theorem01.ComponentwisePerturbation.UnderdeterminedSpec	relocate_source	definition	public	NumStability.DemmelHighamPerturbation	808
NumStability.DemmelHighamPerturbation.eps_nonneg	NumStability.Algorithms.Underdetermined.UnderdeterminedSpec	NumStability.Source.Higham.Chapter21.Theorem01.ComponentwisePerturbation.UnderdeterminedSpec	relocate_source	theorem	public	NumStability.DemmelHighamPerturbation	808
NumStability.DemmelHighamPerturbation.kappa_pos	NumStability.Algorithms.Underdetermined.UnderdeterminedSpec	NumStability.Source.Higham.Chapter21.Theorem01.ComponentwisePerturbation.UnderdeterminedSpec	relocate_source	theorem	public	NumStability.DemmelHighamPerturbation	808
NumStability.DemmelHighamPerturbation.mk	NumStability.Algorithms.Underdetermined.UnderdeterminedSpec	NumStability.Source.Higham.Chapter21.Theorem01.ComponentwisePerturbation.UnderdeterminedSpec	relocate_source	constructor	public	NumStability.DemmelHighamPerturbation	808
NumStability.DemmelHighamPerturbation.rec	NumStability.Algorithms.Underdetermined.UnderdeterminedSpec	NumStability.Source.Higham.Chapter21.Theorem01.ComponentwisePerturbation.UnderdeterminedSpec	relocate_source	recursor	public	NumStability.DemmelHighamPerturbation	808
NumStability.DemmelHighamPerturbation.recOn	NumStability.Algorithms.Underdetermined.UnderdeterminedSpec	NumStability.Source.Higham.Chapter21.Theorem01.ComponentwisePerturbation.UnderdeterminedSpec	relocate_source	definition	public	NumStability.DemmelHighamPerturbation	808
NumStability.DemmelHighamPerturbation.small_pert	NumStability.Algorithms.Underdetermined.UnderdeterminedSpec	NumStability.Source.Higham.Chapter21.Theorem01.ComponentwisePerturbation.UnderdeterminedSpec	relocate_source	theorem	public	NumStability.DemmelHighamPerturbation	808
NumStability.Higham21ConcreteGivensReplayStep	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	inductive	public	NumStability.Higham21ConcreteGivensReplayStep	18
NumStability.Higham21ConcreteGivensReplayStep.casesOn	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	definition	public	NumStability.Higham21ConcreteGivensReplayStep	18
NumStability.Higham21ConcreteGivensReplayStep.ctorIdx	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	definition	public	NumStability.Higham21ConcreteGivensReplayStep	18
NumStability.Higham21ConcreteGivensReplayStep.distinct	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	theorem	public	NumStability.Higham21ConcreteGivensReplayStep	18
NumStability.Higham21ConcreteGivensReplayStep.exactTranspose	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	definition	public	NumStability.Higham21ConcreteGivensReplayStep.exactTranspose	40
NumStability.Higham21ConcreteGivensReplayStep.exactTranspose_orthogonal	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	theorem	public	NumStability.Higham21ConcreteGivensReplayStep.exactTranspose_orthogonal	46
NumStability.Higham21ConcreteGivensReplayStep.mk	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	constructor	public	NumStability.Higham21ConcreteGivensReplayStep	18
NumStability.Higham21ConcreteGivensReplayStep.mk.inj	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	theorem	public	NumStability.Higham21ConcreteGivensReplayStep	18
NumStability.Higham21ConcreteGivensReplayStep.mk.injEq	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	theorem	public	NumStability.Higham21ConcreteGivensReplayStep	18
NumStability.Higham21ConcreteGivensReplayStep.mk.noConfusion	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	definition	public	NumStability.Higham21ConcreteGivensReplayStep	18
NumStability.Higham21ConcreteGivensReplayStep.mk.sizeOf_spec	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	theorem	public	NumStability.Higham21ConcreteGivensReplayStep	18
NumStability.Higham21ConcreteGivensReplayStep.noConfusion	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	definition	public	NumStability.Higham21ConcreteGivensReplayStep	18
NumStability.Higham21ConcreteGivensReplayStep.noConfusionType	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	definition	public	NumStability.Higham21ConcreteGivensReplayStep	18
NumStability.Higham21ConcreteGivensReplayStep.p	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	definition	public	NumStability.Higham21ConcreteGivensReplayStep	18
NumStability.Higham21ConcreteGivensReplayStep.q	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	definition	public	NumStability.Higham21ConcreteGivensReplayStep	18
NumStability.Higham21ConcreteGivensReplayStep.rec	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	recursor	public	NumStability.Higham21ConcreteGivensReplayStep	18
NumStability.Higham21ConcreteGivensReplayStep.recOn	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	definition	public	NumStability.Higham21ConcreteGivensReplayStep	18
