format	1
historical_module	historical_path	selected	private	retained_public	retained_private	retained_total	relocated	reusable	source	facade_kind
NumStability.Algorithms.Underdetermined.Higham21	NumStability/Algorithms/Underdetermined/Higham21.lean	0	0	0	0	0	0	0	0	pure_import_shim
NumStability.Algorithms.Underdetermined.Higham21Attainability	NumStability/Algorithms/Underdetermined/Higham21Attainability.lean	27	5	6	5	11	16	0	16	declaration_bearing
NumStability.Algorithms.Underdetermined.Higham21Eq21_11Uniform	NumStability/Algorithms/Underdetermined/Higham21Eq21_11Uniform.lean	37	18	2	18	20	17	0	17	declaration_bearing
NumStability.Algorithms.Underdetermined.Higham21Eq21_8	NumStability/Algorithms/Underdetermined/Higham21Eq21_8.lean	32	0	1	0	1	31	0	31	declaration_bearing
NumStability.Algorithms.Underdetermined.Higham21Eq21_9	NumStability/Algorithms/Underdetermined/Higham21Eq21_9.lean	34	2	8	2	10	24	0	24	declaration_bearing
NumStability.Algorithms.Underdetermined.Higham21Equation21_11	NumStability/Algorithms/Underdetermined/Higham21Equation21_11.lean	3	0	2	0	2	1	0	1	declaration_bearing
NumStability.Algorithms.Underdetermined.Higham21Equation21_11Scalar	NumStability/Algorithms/Underdetermined/Higham21Equation21_11Scalar.lean	3	0	1	0	1	2	0	2	declaration_bearing
NumStability.Algorithms.Underdetermined.Higham21Givens	NumStability/Algorithms/Underdetermined/Higham21Givens.lean	11	0	0	0	0	11	3	8	pure_import_shim
NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability/Algorithms/Underdetermined/Higham21GivensClosure.lean	56	0	2	0	2	54	48	6	declaration_bearing
NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability/Algorithms/Underdetermined/Higham21GivensRounded.lean	54	0	5	0	5	49	44	5	declaration_bearing
NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability/Algorithms/Underdetermined/Higham21MGS.lean	63	0	0	0	0	63	48	15	pure_import_shim
NumStability.Algorithms.Underdetermined.Higham21MGSRounded	NumStability/Algorithms/Underdetermined/Higham21MGSRounded.lean	78	2	12	2	14	64	46	18	declaration_bearing
NumStability.Algorithms.Underdetermined.Higham21Perturbation	NumStability/Algorithms/Underdetermined/Higham21Perturbation.lean	20	7	9	7	16	4	0	4	declaration_bearing
NumStability.Algorithms.Underdetermined.Higham21PerturbationRadius	NumStability/Algorithms/Underdetermined/Higham21PerturbationRadius.lean	41	1	13	1	14	27	25	2	declaration_bearing
NumStability.Algorithms.Underdetermined.Higham21ProjectorNorm	NumStability/Algorithms/Underdetermined/Higham21ProjectorNorm.lean	17	0	0	0	0	17	6	11	pure_import_shim
NumStability.Algorithms.Underdetermined.Higham21QRFoundations	NumStability/Algorithms/Underdetermined/Higham21QRFoundations.lean	12	0	0	0	0	12	0	12	pure_import_shim
NumStability.Algorithms.Underdetermined.Higham21RankStability	NumStability/Algorithms/Underdetermined/Higham21RankStability.lean	5	0	0	0	0	5	0	5	pure_import_shim
NumStability.Algorithms.Underdetermined.Higham21SNEActualOutput	NumStability/Algorithms/Underdetermined/Higham21SNEActualOutput.lean	13	0	0	0	0	13	6	7	pure_import_shim
NumStability.Algorithms.Underdetermined.Higham21SNEClosure	NumStability/Algorithms/Underdetermined/Higham21SNEClosure.lean	50	0	5	0	5	45	15	30	declaration_bearing
NumStability.Algorithms.Underdetermined.Higham21SNEConditionTransfer	NumStability/Algorithms/Underdetermined/Higham21SNEConditionTransfer.lean	16	0	3	0	3	13	0	13	declaration_bearing
NumStability.Algorithms.Underdetermined.Higham21SNEEnvelopeTransfer	NumStability/Algorithms/Underdetermined/Higham21SNEEnvelopeTransfer.lean	18	0	0	0	0	18	16	2	pure_import_shim
NumStability.Algorithms.Underdetermined.Higham21SNEForward	NumStability/Algorithms/Underdetermined/Higham21SNEForward.lean	9	0	0	0	0	9	7	2	pure_import_shim
NumStability.Algorithms.Underdetermined.Higham21SNEQRMajorant	NumStability/Algorithms/Underdetermined/Higham21SNEQRMajorant.lean	6	0	0	0	0	6	4	2	pure_import_shim
NumStability.Algorithms.Underdetermined.Higham21SNERemainderBounds	NumStability/Algorithms/Underdetermined/Higham21SNERemainderBounds.lean	9	0	0	0	0	9	2	7	pure_import_shim
NumStability.Algorithms.Underdetermined.Higham21SNESigned	NumStability/Algorithms/Underdetermined/Higham21SNESigned.lean	20	0	0	0	0	20	8	12	pure_import_shim
NumStability.Algorithms.Underdetermined.Higham21SNEUniform	NumStability/Algorithms/Underdetermined/Higham21SNEUniform.lean	43	0	10	0	10	33	4	29	declaration_bearing
NumStability.Algorithms.Underdetermined.Higham21Theorem214SourceClosure	NumStability/Algorithms/Underdetermined/Higham21Theorem214SourceClosure.lean	12	0	2	0	2	10	0	10	declaration_bearing
NumStability.Algorithms.Underdetermined.UnderdeterminedSolve	NumStability/Algorithms/Underdetermined/UnderdeterminedSolve.lean	474	5	99	5	104	370	62	308	declaration_bearing
NumStability.Algorithms.Underdetermined.UnderdeterminedSpec	NumStability/Algorithms/Underdetermined/UnderdeterminedSpec.lean	75	0	0	0	0	75	43	32	pure_import_shim
