declaration	kind	visibility	historical_owner	destination_module	retention_reason	private_floor	closure_depth	witness_source	witness_target	witness_edge_kind	command_root	start_line
NumStability.G_fixes_oneEigenProjector_apply	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	classify_document_only_owner	no					NumStability.G_fixes_oneEigenProjector_apply	233
NumStability.G_mul_oneEigenProjector_eq	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	classify_document_only_owner	no					NumStability.G_mul_oneEigenProjector_eq	215
NumStability.J_mul_topProjector	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	classify_document_only_owner	no					NumStability.J_mul_topProjector	79
NumStability.RoundedStationarySolveCertificate	definition	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	classify_document_only_owner	no					NumStability.RoundedStationarySolveCertificate	42
NumStability.W_mul_bottomProjector	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.W_mul_bottomProjector	257
NumStability.X_inv_G_X_eq_blockJ	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	classify_document_only_owner	no					NumStability.X_inv_G_X_eq_blockJ	227
NumStability.blockJ	definition	public	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	classify_document_only_owner	no					NumStability.blockJ	83
NumStability.blockJ_bottom	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	classify_document_only_owner	no					NumStability.blockJ_bottom	113
NumStability.blockJ_bottom_row_sum_le	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	classify_document_only_owner	no					NumStability.blockJ_bottom_row_sum_le	121
NumStability.blockJ_cross	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	classify_document_only_owner	no					NumStability.blockJ_cross	105
NumStability.blockJ_top	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	classify_document_only_owner	no					NumStability.blockJ_top	97
NumStability.bottomProjector	definition	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.bottomProjector	55
NumStability.bottomProjector_apply_bottom	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.bottomProjector_apply_bottom	62
NumStability.bottomProjector_apply_top	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.bottomProjector_apply_top	71
NumStability.bottomProjector_idempotent	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.bottomProjector_idempotent	131
NumStability.bottomProjector_matPow_J_comm	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.bottomProjector_matPow_J_comm	614
NumStability.conjugate_matMul	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	classify_document_only_owner	no					NumStability.conjugate_matMul	162
NumStability.conjugated_bottomProjector_eq_semiconvergentE	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.conjugated_bottomProjector_eq_semiconvergentE	332
NumStability.drazinIG	definition	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.drazinIG	245
NumStability.drazinIG_mul_matSub_id_G_eq_semiconvergentE	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.drazinIG_mul_matSub_id_G_eq_semiconvergentE	391
NumStability.drazinIG_spec	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.drazinIG_spec	284
NumStability.eq_17_23_block	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.eq_17_23_block	190
NumStability.eq_17_25_limit	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.eq_17_25_limit	426
NumStability.eq_17_26_stationary_limit	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.eq_17_26_stationary_limit	469
NumStability.eq_17_30_block	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.eq_17_30_block	637
NumStability.eq_17_30_pow	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.eq_17_30_pow	651
NumStability.eq_17_31_normwise_bound	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	depends_on_private_closure	yes	2	NumStability.eq_17_31_normwise_bound	NumStability.singularErrorSourceTerm_norm_bound	body	NumStability.eq_17_31_normwise_bound	884
NumStability.eq_17_32_componentwise_bound	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	depends_on_private_closure	yes	2	NumStability.eq_17_32_componentwise_bound	NumStability.singularErrorSourceTerm_componentwise_bound	body	NumStability.eq_17_32_componentwise_bound	1344
NumStability.eq_conjugate_of_similarity	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	classify_document_only_owner	no					NumStability.eq_conjugate_of_similarity	145
NumStability.finiteResidualSigma_le_diagonalizable_bound	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	depends_on_private_closure	yes	1	NumStability.finiteResidualSigma_le_diagonalizable_bound	_private.NumStability.Algorithms.StationaryIteration.0.NumStability.residual_geometric_partial_le_ratio	body	NumStability.finiteResidualSigma_le_diagonalizable_bound	2572
NumStability.finiteResidualSigma_le_diagonalizable_max_bound	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	depends_on_private_closure	yes	2	NumStability.finiteResidualSigma_le_diagonalizable_max_bound	NumStability.finiteResidualSigma_le_diagonalizable_bound	body	NumStability.finiteResidualSigma_le_diagonalizable_max_bound	2669
NumStability.flStationaryIterationLower	definition	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	classify_document_only_owner	no					NumStability.flStationaryIterationLower	210
NumStability.flStationaryIterationLower_actual_forward_bound	theorem	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	classify_document_only_owner	no					NumStability.flStationaryIterationLower_actual_forward_bound	503
NumStability.flStationaryIterationLower_localErrorBound	theorem	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	classify_document_only_owner	no					NumStability.flStationaryIterationLower_localErrorBound	262
NumStability.flStationaryIterationLower_solveCertificate	theorem	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	classify_document_only_owner	no					NumStability.flStationaryIterationLower_solveCertificate	230
NumStability.flStationaryIterationUpper	definition	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	classify_document_only_owner	no					NumStability.flStationaryIterationUpper	220
NumStability.flStationaryIterationUpper_actual_forward_bound	theorem	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	classify_document_only_owner	no					NumStability.flStationaryIterationUpper_actual_forward_bound	536
NumStability.flStationaryIterationUpper_localErrorBound	theorem	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	classify_document_only_owner	no					NumStability.flStationaryIterationUpper_localErrorBound	277
NumStability.flStationaryIterationUpper_solveCertificate	theorem	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	classify_document_only_owner	no					NumStability.flStationaryIterationUpper_solveCertificate	246
NumStability.hasSum_GiE_entry_drazinIG	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.hasSum_GiE_entry_drazinIG	1216
NumStability.indexOneDrazinInverse_eq_drazinIG	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.indexOneDrazinInverse_eq_drazinIG	1654
NumStability.indexOneDrazinInverse_unique	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.indexOneDrazinInverse_unique	1601
NumStability.infNorm_GiE_Minv_le	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.infNorm_GiE_Minv_le	768
NumStability.infNorm_matPow_J_bottomProjector_le	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.infNorm_matPow_J_bottomProjector_le	730
NumStability.localErrorBound_of_roundedStationarySolveCertificate	theorem	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	classify_document_only_owner	no					NumStability.localErrorBound_of_roundedStationarySolveCertificate	125
NumStability.matMul_G_X_eq_X_blockJ	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	classify_document_only_owner	no					NumStability.matMul_G_X_eq_X_blockJ	159
NumStability.matMul_bottomProjector_left	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.matMul_bottomProjector_left	118
NumStability.matMul_bottomProjector_right	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.matMul_bottomProjector_right	92
NumStability.matMul_matSub_id_apply	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.matMul_matSub_id_apply	166
NumStability.matMul_row_id	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	classify_document_only_owner	no					NumStability.matMul_row_id	56
NumStability.matMul_row_zero	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	classify_document_only_owner	no					NumStability.matMul_row_zero	68
NumStability.matPow_G_tendsto_limit_drazin	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.matPow_G_tendsto_limit_drazin	440
NumStability.matPow_G_tendsto_oneEigenProjector	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	classify_document_only_owner	no					NumStability.matPow_G_tendsto_oneEigenProjector	419
NumStability.matPow_G_tendsto_oneEigenProjector_of_block_data	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	classify_document_only_owner	no					NumStability.matPow_G_tendsto_oneEigenProjector_of_block_data	349
NumStability.matPow_J_bottom_row_sum	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	classify_document_only_owner	no					NumStability.matPow_J_bottom_row_sum	369
NumStability.matPow_J_cross	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.matPow_J_cross	592
NumStability.matPow_J_mul_W_entry_tendsto_zero	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.matPow_J_mul_W_entry_tendsto_zero	1163
NumStability.matPow_J_top_entry	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	classify_document_only_owner	no					NumStability.matPow_J_top_entry	345
NumStability.matSub_id_G_mul_drazinIG_eq_semiconvergentE	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.matSub_id_G_mul_drazinIG_eq_semiconvergentE	375
NumStability.matSub_id_J_cross	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.matSub_id_J_cross	229
NumStability.matSub_id_J_mul_bottomProjector	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.matSub_id_J_mul_bottomProjector	269
NumStability.matSub_id_J_top_row	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.matSub_id_J_top_row	219
NumStability.matSub_id_matMul_apply	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.matSub_id_matMul_apply	146
NumStability.matSub_id_semiconvergentE	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	classify_document_only_owner	no					NumStability.matSub_id_semiconvergentE	267
NumStability.oneEigenProjector	definition	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	classify_document_only_owner	no					NumStability.oneEigenProjector	192
NumStability.oneEigenProjector_idempotent	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	classify_document_only_owner	no					NumStability.oneEigenProjector_idempotent	202
NumStability.residualSigmaSup_le_diagonalizable_max_bound	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	depends_on_private_closure	yes	3	NumStability.residualSigmaSup_le_diagonalizable_max_bound	NumStability.finiteResidualSigma_le_diagonalizable_max_bound	body	NumStability.residualSigmaSup_le_diagonalizable_max_bound	2838
NumStability.residualSigmaTsum_le_diagonalizable_bound	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	depends_on_private_closure	yes	1	NumStability.residualSigmaTsum_le_diagonalizable_bound	_private.NumStability.Algorithms.StationaryIteration.0.NumStability.residualSigmaTsum_entry_le_of_real_diagonalization	body	NumStability.residualSigmaTsum_le_diagonalizable_bound	2764
NumStability.residualSigmaTsum_le_diagonalizable_max_bound_direct	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	depends_on_private_closure	yes	2	NumStability.residualSigmaTsum_le_diagonalizable_max_bound_direct	NumStability.residualSigmaTsum_le_diagonalizable_bound	body	NumStability.residualSigmaTsum_le_diagonalizable_max_bound_direct	2822
NumStability.semiconvergentE	definition	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	classify_document_only_owner	no					NumStability.semiconvergentE	259
NumStability.semiconvergent_block_form_exists	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	classify_document_only_owner	no					NumStability.semiconvergent_block_form_exists	247
NumStability.sigma_bound	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	depends_on_private_closure	yes	1	NumStability.sigma_bound	_private.NumStability.Algorithms.StationaryIteration.0.NumStability.geom_partial_sum_le	body	NumStability.sigma_bound	2337
NumStability.singularErrorSourceNormSum_le_tsum	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.singularErrorSourceNormSum_le_tsum	861
NumStability.singularErrorSourceTerm_componentwise_bound	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	depends_on_private_closure	yes	1	NumStability.singularErrorSourceTerm_componentwise_bound	_private.NumStability.Algorithms.StationaryIteration.0.NumStability.singularErrorSourceTerm_term_eq	body	NumStability.singularErrorSourceTerm_componentwise_bound	1774
NumStability.singularErrorSourceTerm_componentwise_bound_of_local_error	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	depends_on_private_closure	yes	2	NumStability.singularErrorSourceTerm_componentwise_bound_of_local_error	NumStability.singularErrorSourceTerm_componentwise_bound	body	NumStability.singularErrorSourceTerm_componentwise_bound_of_local_error	2193
NumStability.singularErrorSourceTerm_norm_bound	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	depends_on_private_closure	yes	1	NumStability.singularErrorSourceTerm_norm_bound	_private.NumStability.Algorithms.StationaryIteration.0.NumStability.singularErrorSourceTerm_term_eq	body	NumStability.singularErrorSourceTerm_norm_bound	1725
NumStability.singularErrorSourceTerm_norm_bound_of_local_error	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	depends_on_private_closure	yes	2	NumStability.singularErrorSourceTerm_norm_bound_of_local_error	NumStability.singularErrorSourceTerm_norm_bound	body	NumStability.singularErrorSourceTerm_norm_bound_of_local_error	2163
NumStability.singular_error_split_finite_of_indexOneDrazin_projector	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	depends_on_private_closure	yes	4	NumStability.singular_error_split_finite_of_indexOneDrazin_projector	NumStability.stationaryDrazinRangeProjector_null_component_fixed	body	NumStability.singular_error_split_finite_of_indexOneDrazin_projector	1632
