declaration	historical_owner	destination_module	code	tier	disposition
MeasureTheory.Measure.pi_withDensity_ofReal	NumStability.Algorithms.TestMatrices.Higham28GinibreMeasure	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.GinibreMeasure	S_GIN_PROB	source	relocated
NumStability.CauchyAdmissible	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.CauchyAdmissible.casesOn	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.CauchyAdmissible.mk	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.CauchyAdmissible.rec	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.CauchyAdmissible.recOn	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.CauchyAdmissible.sum_ne_zero	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.CauchyAdmissible.x_injective	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.CauchyAdmissible.y_injective	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.GinibreIncidenceCoordinates	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.GinibreIncidenceNuisance	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.GinibrePlaneChartCoordinates	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneChart	S_GIN_PLANES	source	relocated
NumStability.GinibrePlaneChartNuisance	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneChart	S_GIN_PLANES	source	relocated
NumStability.GinibrePlaneIncidenceCoordinates	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibrePlaneIncidence	S_GIN_INC	source	relocated
NumStability.GinibreRawMatrix	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	NumStability.Analysis.TestMatrices.RealGinibre.GinibreRoots	R_GINIBRE	reusable	relocated
NumStability.HasAtLeastSignChanges	NumStability.Algorithms.TestMatrices.Higham28PascalOscillation	NumStability.Analysis.TestMatrices.Pascal.PascalOscillation	R_PASCAL	reusable	relocated
NumStability.HasExactlySignChanges	NumStability.Algorithms.TestMatrices.Higham28PascalOscillation	NumStability.Analysis.TestMatrices.Pascal.PascalOscillation	R_PASCAL	reusable	relocated
NumStability.HasLeftCyclicVector	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.HasPositiveDominantEigenvalue	NumStability.Algorithms.TestMatrices.Higham28Probability	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.Probability	S_GIN_PROB	source	relocated
NumStability.HilbertConditionAsymptotic	NumStability.Algorithms.TestMatrices.Higham28Asymptotics	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Asymptotics.Asymptotics	S_GIN_ASYM	source	relocated
NumStability.HilbertDetAsymptotic	NumStability.Algorithms.TestMatrices.Higham28Asymptotics	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Asymptotics.Asymptotics	S_GIN_ASYM	source	relocated
NumStability.HilbertDetLeadingLogRate	NumStability.Algorithms.TestMatrices.Higham28Asymptotics	NumStability.Analysis.TestMatrices.Hilbert.Asymptotics	R_HILBERT	reusable	relocated
NumStability.IsLeftCyclicFor	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
