declaration	owner	visibility	in_union_closure	in_signature_closure	in_body_closure
NumStability.Polynomial.negOnePow_card_roots_lt_mul_abs_eval	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank	public	True	False	True
NumStability.abs_ginibreHypergeometricTerm_succ_le	NumStability.Algorithms.TestMatrices.Higham28Ginibre	public	True	False	True
NumStability.abs_ginibreHypergeometricTerm_succ_le_half	NumStability.Algorithms.TestMatrices.Higham28Ginibre	public	True	False	True
NumStability.abs_realGinibre_hypergeometric_sub_one_le	NumStability.Algorithms.TestMatrices.Higham28Ginibre	public	True	False	True
NumStability.ae_ginibreRegularFiberMultiplicity_eq_realEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreIntegral	public	True	False	True
NumStability.ae_linearIndependent_standardGaussianColumns	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	public	True	False	True
NumStability.ae_linearIndependent_standardGaussianColumns_aux	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	public	True	False	True
NumStability.card_filter_lt_card_filter_of_mem	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	public	True	False	True
NumStability.ch28gf_expectedRealEigenvalueCount_eq_closedForm	NumStability.Algorithms.TestMatrices.Higham28GinibreFiniteFormula	public	True	False	True
NumStability.ch28gf_integrable_detSq_matrix	NumStability.Algorithms.TestMatrices.Higham28GinibreFiniteFormula	public	True	False	True
NumStability.ch28gf_integrable_det_shift_matrix	NumStability.Algorithms.TestMatrices.Higham28GinibreFiniteFormula	public	True	False	True
NumStability.ch28gf_integrable_oneRootIntegrand	NumStability.Algorithms.TestMatrices.Higham28GinibreFiniteFormula	public	True	False	True
NumStability.ch28gf_integrable_sliceIntegrand	NumStability.Algorithms.TestMatrices.Higham28GinibreFiniteFormula	public	True	False	True
NumStability.ch28gf_integrable_wgt_detSq	NumStability.Algorithms.TestMatrices.Higham28GinibreFiniteFormula	public	True	False	True
NumStability.ch28gf_integral_detShift_prod_eq_kernel	NumStability.Algorithms.TestMatrices.Higham28GinibreFiniteFormula	public	True	False	True
NumStability.ch28gf_integral_detSq_eq	NumStability.Algorithms.TestMatrices.Higham28GinibreFiniteFormula	public	True	False	True
NumStability.ch28gf_integral_slice_eq_kernelMoment	NumStability.Algorithms.TestMatrices.Higham28GinibreFiniteFormula	public	True	False	True
NumStability.ch28gf_kernelTransfer	NumStability.Algorithms.TestMatrices.Higham28GinibreFiniteFormula	public	True	False	True
NumStability.ch28gf_oneRootMoment_eq_factor_mul_integral_slice	NumStability.Algorithms.TestMatrices.Higham28GinibreFiniteFormula	public	True	False	True
NumStability.ch28gf_oneRootMoment_eq_factor_mul_kernelMoment	NumStability.Algorithms.TestMatrices.Higham28GinibreFiniteFormula	public	True	False	True
NumStability.ch28gf_realGinibreExpectedCountLimit	NumStability.Algorithms.TestMatrices.Higham28GinibreFiniteFormula	public	True	False	True
NumStability.ch28gf_realGinibreExpectedProportionLimit	NumStability.Algorithms.TestMatrices.Higham28GinibreFiniteFormula	public	True	False	True
NumStability.ch28gf_realGinibreFiniteExpectationFormula	NumStability.Algorithms.TestMatrices.Higham28GinibreFiniteFormula	public	True	False	True
NumStability.ch28gf_slice_eq	NumStability.Algorithms.TestMatrices.Higham28GinibreFiniteFormula	public	True	False	True
NumStability.companionCharacteristicFormula_aeval_transpose	NumStability.Algorithms.TestMatrices.Higham28Companion	public	True	False	True
NumStability.companionExceptionalSquaredSingularValueMinus_le_one	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	public	True	False	True
NumStability.companionExceptionalSquaredSingularValueMinus_occurs	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	public	True	False	True
NumStability.companionExceptionalSquaredSingularValuePlus_occurs	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	public	True	False	True
NumStability.companionGram_eigenvalue_eq_one_or_exceptional	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	public	True	False	True
NumStability.companionMatrix_charpoly	NumStability.Algorithms.TestMatrices.Higham28Companion	public	True	False	True
NumStability.companionMatrix_sub_scalar_rank_ge	NumStability.Algorithms.TestMatrices.Higham28Contracts	public	True	False	True
NumStability.companionOfMatrix_charpoly	NumStability.Algorithms.TestMatrices.Higham28Companion	public	True	False	True
NumStability.companionSingularValues_eq_one_or_eq_exceptional	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	public	True	False	True
NumStability.companionSingularValues_multiset_eq	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	public	True	False	True
NumStability.companionSquaredSingularValues_count_one	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	public	True	False	True
NumStability.companionSquaredSingularValues_count_one_eq_sub_two	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	public	True	False	True
NumStability.companionSquaredSingularValues_eq_one_or_eq_plus_or_eq_minus	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	public	True	False	True
NumStability.companionSquaredSingularValues_eq_one_or_exceptional	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	public	True	False	True
NumStability.companionSquaredSingularValues_multiset_eq	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	public	True	False	True
NumStability.companion_conjTranspose_mul_self_charpoly	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	public	True	False	True
NumStability.companion_conjTranspose_mul_self_charpoly_linearFactors	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	public	True	False	True
NumStability.companion_conjTranspose_mul_self_eigenvalue_eq_one_or_exceptional	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	public	True	False	True
NumStability.companion_conjTranspose_mul_self_roots_charpoly	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	public	True	False	True
NumStability.companion_conjTranspose_mul_self_sub_one_rank_le_two	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	public	True	False	True
NumStability.companion_hasLeftCyclicVector	NumStability.Algorithms.TestMatrices.Higham28Contracts	public	True	False	True
NumStability.companion_orderAtLeastThree_isStarNormal_iff	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	public	True	False	True
NumStability.companion_transpose_krylov_eq_reverseBasis	NumStability.Algorithms.TestMatrices.Higham28Contracts	public	True	False	True
NumStability.companion_transpose_krylov_linearIndependent	NumStability.Algorithms.TestMatrices.Higham28Contracts	public	True	False	True
