declaration	owner	reason
NumStability.IsNormalizedOrthogonalHaarLaw	NumStability.Algorithms.TestMatrices.Higham28Probability	consumes retained material (command-level closure)
NumStability.Polynomial.negOnePow_card_roots_lt_mul_abs_eval	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank	in the pinned reverse closure
NumStability.RealGinibreExpectedCountLimit	NumStability.Algorithms.TestMatrices.Higham28Probability	consumes retained material (command-level closure)
NumStability.RealGinibreFiniteExpectationFormula	NumStability.Algorithms.TestMatrices.Higham28Ginibre	consumes retained material (command-level closure)
NumStability.StewartTheorem28_1HaarConclusion	NumStability.Algorithms.TestMatrices.Higham28Stewart	consumes retained material (command-level closure)
NumStability.UniformPositivePerronAlmostSure	NumStability.Algorithms.TestMatrices.Higham28Probability	consumes retained material (command-level closure)
NumStability.abs_ginibreHypergeometricTerm_succ_le	NumStability.Algorithms.TestMatrices.Higham28Ginibre	in the pinned reverse closure
NumStability.abs_ginibreHypergeometricTerm_succ_le_half	NumStability.Algorithms.TestMatrices.Higham28Ginibre	in the pinned reverse closure
NumStability.abs_realGinibre_hypergeometric_sub_one_le	NumStability.Algorithms.TestMatrices.Higham28Ginibre	in the pinned reverse closure
NumStability.ae_ginibreRegularFiberMultiplicity_eq_realEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreIntegral	in the pinned reverse closure
NumStability.ae_linearIndependent_standardGaussianColumns	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	in the pinned reverse closure
NumStability.ae_linearIndependent_standardGaussianColumns_aux	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	in the pinned reverse closure
NumStability.aestronglyMeasurable_realEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	consumes retained material (command-level closure)
NumStability.analyticSet_complexRootTupleBelowCountProjection	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	consumes retained material (command-level closure)
NumStability.analyticSet_complexRootTupleCountProjection	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	consumes retained material (command-level closure)
NumStability.card_filter_lt_card_filter_of_mem	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	in the pinned reverse closure
