declaration	kind	visibility	owner_module	destination_code	destination_module	tier	pinned_by_private_closure	demoted	review_batch
NumStability.Ch15.H15_Theorem15_7	theorem	public	NumStability.Algorithms.LU.TridiagonalCondCh15	S:Theorem07/TridiagonalLU	NumStability.Source.Higham.Chapter15.Theorem07.TridiagonalLU.Basic	source	no	no	lu-tridiagonal
NumStability.Ch15.H15_Theorem15_8	theorem	public	NumStability.Algorithms.LU.TridiagonalCondCh15	S:Theorem08/TridiagonalDiagonalDominance	NumStability.Source.Higham.Chapter15.Theorem08.TridiagonalDiagonalDominance.Basic	source	no	no	lu-tridiagonal
NumStability.Ch15.H15_Theorem15_9	theorem	public	NumStability.Algorithms.LU.TridiagonalCondCh15	S:Theorem09/Ikebe	NumStability.Source.Higham.Chapter15.Theorem09.Ikebe.Basic	source	no	no	lu-tridiagonal
NumStability.Ch15.HasDirectionalGradientAt	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/Duality	NumStability.Algorithms.NormEstimation.PNorm.Duality.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.IsBoydConcreteNondegenerate	definition	public	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	R:PNorm/Boyd/SecondVariation	NumStability.Algorithms.NormEstimation.PNorm.Boyd.SecondVariation.BoydConcrete	reusable	no	no	boyd-scalar
NumStability.Ch15.IsBoydConcreteSourceStrongLocalMaximum	definition	public	NumStability.Algorithms.HighamChapter15BoydSourceClosure	S:Section02/Boyd/SourceDomain	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.BoydCompletion	source	no	no	boyd-bridges
NumStability.Ch15.IsBoydConcreteSourceStrongLocalMaximum.hasActualSecondDerivativeGap	theorem	public	NumStability.Algorithms.HighamChapter15BoydSourceClosure	RETAIN	NumStability.Algorithms.HighamChapter15BoydSourceClosure	historical	yes	no	boyd-bridges
NumStability.Ch15.IsBoydConcreteStationary	definition	public	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	R:PNorm/Boyd/FixedPoints	NumStability.Algorithms.NormEstimation.PNorm.Boyd.FixedPoints.BoydConcrete	reusable	no	no	boyd-scalar
NumStability.Ch15.IsBoydConcreteStrongLocalMaximum	definition	public	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	S:Section02/Boyd/Corrections	NumStability.Source.Higham.Chapter15.Section02.Boyd.Corrections.BoydConcrete	source	no	no	boyd-scalar
NumStability.Ch15.IsBoydInnerRowwiseSmoothDomain	definition	public	NumStability.Algorithms.HighamChapter15BoydRowwiseDomain	R:PNorm/Boyd/RowwiseDomain	NumStability.Algorithms.NormEstimation.PNorm.Boyd.RowwiseDomain.Basic	reusable	no	no	boyd-domains
NumStability.Ch15.IsBoydInnerSmoothDomain	definition	public	NumStability.Algorithms.HighamChapter15BoydSourceDomain	S:Section02/Boyd/SourceDomain	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.BoydDomain	source	no	no	boyd-domains
NumStability.Ch15.IsBoydNondegenerateTangentHessian	definition	public	NumStability.Algorithms.HighamChapter15BoydSourceLocal	R:PNorm/Boyd/SecondVariation	NumStability.Algorithms.NormEstimation.PNorm.Boyd.SecondVariation.BoydLocal	reusable	no	no	boyd-domains
NumStability.Ch15.IsBoydRowwiseCompositionSmooth	definition	public	NumStability.Algorithms.HighamChapter15BoydRowwiseDomain	R:PNorm/Boyd/RowwiseDomain	NumStability.Algorithms.NormEstimation.PNorm.Boyd.RowwiseDomain.Basic	reusable	no	no	boyd-domains
NumStability.Ch15.IsLocalContractionTo	definition	public	NumStability.Algorithms.HighamChapter15BoydBridges	R:PNorm/Boyd/LocalStability	NumStability.Algorithms.NormEstimation.PNorm.Boyd.LocalStability.BoydInterface	reusable	no	no	boyd-bridges
NumStability.Ch15.IsLocalSeminormContractionTo	definition	public	NumStability.Algorithms.HighamChapter15BoydLocalStability	R:PNorm/Boyd/LocalStability	NumStability.Algorithms.NormEstimation.PNorm.Boyd.LocalStability.BoydLocalStability	reusable	no	no	boyd-domains
NumStability.Ch15.IsPlusMinusOne	definition	public	NumStability.Algorithms.Ch15CondEstimators	R:OneNorm/LINPACK	NumStability.Algorithms.NormEstimation.OneNorm.LINPACK.Basic	reusable	no	no	onenorm-core
NumStability.Ch15.IsRealLpNormer	definition	public	NumStability.Algorithms.PNormPowerMethodGeneralP	R:PNorm/Duality	NumStability.Algorithms.NormEstimation.PNorm.Duality.PNormGeneral	reusable	no	no	pnorm-gen-rect
NumStability.Ch15.IsSubgradient	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/Duality	NumStability.Algorithms.NormEstimation.PNorm.Duality.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.IsUpperTriangular	definition	public	NumStability.Algorithms.Ch15CondEstimators	R:OneNorm/LINPACK	NumStability.Algorithms.NormEstimation.OneNorm.LINPACK.Basic	reusable	no	no	onenorm-core
