declaration	kind	visibility	historical_owner	destination_module	tier	disposition	command_root	start_line
NumStability.BlockDiagonalSourceSVDTailCertificate	inductive	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate	14022
NumStability.BlockDiagonalSourceSVDTailCertificate.casesOn	definition	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate	14022
NumStability.BlockDiagonalSourceSVDTailCertificate.head_diagonal	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate	14022
NumStability.BlockDiagonalSourceSVDTailCertificate.head_nonzero	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate	14022
NumStability.BlockDiagonalSourceSVDTailCertificate.isBestRankApproxFrob_of_tail_optimal	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate.isBestRankApproxFrob_of_tail_optimal	14140
NumStability.BlockDiagonalSourceSVDTailCertificate.left_column_count_le_row_dim	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate.left_column_count_le_row_dim	14068
NumStability.BlockDiagonalSourceSVDTailCertificate.left_columns	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate	14022
NumStability.BlockDiagonalSourceSVDTailCertificate.mk	constructor	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate	14022
NumStability.BlockDiagonalSourceSVDTailCertificate.of_rectRightGramOrderedSourceSplit	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate.of_rectRightGramOrderedSourceSplit	14202
NumStability.BlockDiagonalSourceSVDTailCertificate.of_rectRightGramOrderedSourceSplit_all_tail_pos_of_last_pos	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate.of_rectRightGramOrderedSourceSplit_all_tail_pos_of_last_pos	14404
NumStability.BlockDiagonalSourceSVDTailCertificate.of_rectRightGramOrderedSourceSplit_component_left	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate.of_rectRightGramOrderedSourceSplit_component_left	14258
NumStability.BlockDiagonalSourceSVDTailCertificate.of_rectRightGramOrderedSourceSplit_component_left_of_last_pos	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate.of_rectRightGramOrderedSourceSplit_component_left_of_last_pos	14315
NumStability.BlockDiagonalSourceSVDTailCertificate.of_rectRightGramOrderedSourceSplit_replacement_tail_left_of_last_pos	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate.of_rectRightGramOrderedSourceSplit_replacement_tail_left_of_last_pos	14439
NumStability.BlockDiagonalSourceSVDTailCertificate.of_rectRightGramOrderedSourceSplit_tail_left_of_last_pos	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate.of_rectRightGramOrderedSourceSplit_tail_left_of_last_pos	14366
NumStability.BlockDiagonalSourceSVDTailCertificate.of_rectangularThinSVD	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate.of_rectangularThinSVD	17394
NumStability.BlockDiagonalSourceSVDTailCertificate.of_rectangularThinSVD_head_pos	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate.of_rectangularThinSVD_head_pos	17520
