historical_owner	path	selected	private	retained_public	retained_private	retained_total	relocated	reusable	source	facade_kind
NumStability.Algorithms.RandNLA.ElementwiseSampling	NumStability/Algorithms/RandNLA/ElementwiseSampling.lean	84	0	0	0	0	84	82	2	pure_import_shim
NumStability.Algorithms.RandNLA.ElementwiseSpectral	NumStability/Algorithms/RandNLA/ElementwiseSpectral.lean	308	0	17	0	17	291	91	200	declaration_bearing
NumStability.Algorithms.RandNLA.ElementwiseTraceMGF	NumStability/Algorithms/RandNLA/ElementwiseTraceMGF.lean	11	0	0	0	0	11	1	10	pure_import_shim
NumStability.Algorithms.RandNLA.HitCountConcentration	NumStability/Algorithms/RandNLA/HitCountConcentration.lean	95	1	2	1	3	92	55	37	declaration_bearing
NumStability.Algorithms.RandNLA.LeastSquaresSketch	NumStability/Algorithms/RandNLA/LeastSquaresSketch.lean	140	0	8	0	8	132	75	57	declaration_bearing
NumStability.Algorithms.RandNLA.LowRankApprox	NumStability/Algorithms/RandNLA/LowRankApprox.lean	805	0	0	0	0	805	466	339	pure_import_shim
NumStability.Algorithms.RandNLA.Preconditioning	NumStability/Algorithms/RandNLA/Preconditioning.lean	1179	0	66	0	66	1113	1082	31	declaration_bearing
NumStability.Algorithms.RandNLA.RowSampling	NumStability/Algorithms/RandNLA/RowSampling.lean	77	0	0	0	0	77	73	4	pure_import_shim
NumStability.Algorithms.RandNLA.RowSamplingGram	NumStability/Algorithms/RandNLA/RowSamplingGram.lean	96	1	22	1	23	73	69	4	declaration_bearing
NumStability.Algorithms.RandNLA.RowSamplingLeverage	NumStability/Algorithms/RandNLA/RowSamplingLeverage.lean	20	0	2	0	2	18	15	3	declaration_bearing
NumStability.Algorithms.RandNLA.RowSamplingLeverageComputedBasis	NumStability/Algorithms/RandNLA/RowSamplingLeverageComputedBasis.lean	43	0	0	0	0	43	36	7	pure_import_shim
NumStability.Algorithms.RandNLA.RowSamplingLeverageMGF	NumStability/Algorithms/RandNLA/RowSamplingLeverageMGF.lean	32	0	0	0	0	32	12	20	pure_import_shim
NumStability.Algorithms.RandNLA.RowSamplingTraceMGF	NumStability/Algorithms/RandNLA/RowSamplingTraceMGF.lean	11	0	0	0	0	11	1	10	pure_import_shim
NumStability.Algorithms.RandNLA.UniformRowSampling	NumStability/Algorithms/RandNLA/UniformRowSampling.lean	33	1	9	1	10	23	22	1	declaration_bearing
NumStability.Algorithms.RandNLA.UniformRowSamplingComposition	NumStability/Algorithms/RandNLA/UniformRowSamplingComposition.lean	11	0	1	0	1	10	6	4	declaration_bearing
NumStability.Algorithms.RandNLA.UniformRowSamplingFP	NumStability/Algorithms/RandNLA/UniformRowSamplingFP.lean	377	0	95	0	95	282	204	78	declaration_bearing
NumStability.Algorithms.RandNLA.UniformRowSamplingMGF	NumStability/Algorithms/RandNLA/UniformRowSamplingMGF.lean	32	0	0	0	0	32	32	0	pure_import_shim
