wave	role	old_module	canonical_targets	direct_production_consumers	compatibility_policy
F0	compatibility	NumStability.Analysis.CStarMatrixBridge	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge; NumStability.Analysis.MatrixAlgebra	NumStability.Analysis; NumStability.Analysis.OperatorLog	retain exact declaration-free wrapper
F0	compatibility	NumStability.Analysis.CStarMatrixExpectation	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge; NumStability.Analysis.CStarMatrices.Expectation.Finite; NumStability.Analysis.CStarMatrices.Trace.Basic; NumStability.Analysis.FiniteProbability; NumStability.Analysis.FunctionalCalculus.OperatorLog.Monotonicity; NumStability.Analysis.MatrixAlgebra; NumStability.Analysis.MatrixSpectral	NumStability.Analysis; NumStability.Analysis.LiebTrace	retain exact declaration-free wrapper
F0	compatibility	NumStability.Analysis.CStarMatrixTrace	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge; NumStability.Analysis.CStarMatrices.Trace.Basic; NumStability.Analysis.FunctionalCalculus.OperatorLog.Monotonicity; NumStability.Analysis.MatrixAlgebra; NumStability.Analysis.MatrixSpectral	NumStability.Analysis; NumStability.Analysis.CStarMatrixExpectation	retain exact declaration-free wrapper
F0	compatibility	NumStability.Analysis.DunfordResidue	NumStability.Analysis.FunctionalCalculus.Resolvent.Analyticity; NumStability.Analysis.FunctionalCalculus.Resolvent.DunfordResidue; NumStability.Analysis.LinearOperators.Pseudospectra.Perturbation.ConvergenceCriterion; NumStability.Analysis.LinearOperators.Pseudospectra.Resolvent.LowerBounds; NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.PseudospectralCriterion	NumStability.Algorithms; NumStability.Analysis.PseudospectralPowerBound	retain exact declaration-free wrapper
F0	compatibility	NumStability.Analysis.HenriciExtremal	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.DepartureFromNormality; NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.Extremal	NumStability.Algorithms; NumStability.Analysis.HenriciSharpConstant	retain exact declaration-free wrapper
F0	compatibility	NumStability.Analysis.HenriciSharpConstant	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.DepartureFromNormality; NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.Extremal; NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.ImprovedConstant	NumStability.Algorithms; NumStability.Analysis.HenriciSharpConstantExact	retain exact declaration-free wrapper
F0	compatibility	NumStability.Analysis.HenriciSharpConstantExact	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.DepartureFromNormality; NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.Extremal; NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.ImprovedConstant; NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SharpConstant	NumStability.Algorithms; NumStability.Analysis	retain exact declaration-free wrapper
F0	compatibility	NumStability.Analysis.InverseOpNorm2	NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.SingularValue; NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.StructuredLyapunov; NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.StructuredSylvester; NumStability.Analysis.MatrixSpectral; NumStability.Analysis.SingularValues.InverseBounds.Gram; NumStability.Analysis.SingularValues.InverseBounds.OperatorTwo; NumStability.Analysis.SingularValues.InverseBounds.Rayleigh; NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.Equation23; NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.Equation24; NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.Equation26; NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.Equation27; NumStability.Source.Higham.Chapter16.Section04.PracticalErrorBounds.Equation28	NumStability.Algorithms; NumStability.Analysis	retain exact declaration-free wrapper
F0	compatibility	NumStability.Analysis.JordanNormalForm	NumStability.Analysis.LinearOperators.Jordan.NormalForm.PrimaryDecomposition	NumStability.Algorithms; NumStability.Analysis.NilpotentJordanChain; NumStability.Source.Higham.Chapter28.Companion.Basic	retain exact declaration-free wrapper
F0	compatibility	NumStability.Analysis.LiebTrace	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge; NumStability.Analysis.CStarMatrices.Expectation.Finite; NumStability.Analysis.CStarMatrices.Trace.Basic; NumStability.Analysis.FiniteProbability; NumStability.Analysis.FunctionalCalculus.OperatorLog.Monotonicity; NumStability.Analysis.MatrixAlgebra; NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity; NumStability.Analysis.MatrixSpectral	NumStability.Analysis	retain exact declaration-free wrapper
F0	compatibility	NumStability.Analysis.NilpotentJordanChain	NumStability.Analysis.LinearOperators.Jordan.NormalForm.NilpotentChains; NumStability.Analysis.LinearOperators.Jordan.NormalForm.PrimaryDecomposition	NumStability.Algorithms; NumStability.Analysis	retain exact declaration-free wrapper
F0	compatibility	NumStability.Analysis.OperatorLog	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge; NumStability.Analysis.FunctionalCalculus.OperatorLog.Monotonicity; NumStability.Analysis.MatrixAlgebra	NumStability.Analysis; NumStability.Analysis.CStarMatrixTrace; NumStability.Analysis.LiebTrace	retain exact declaration-free wrapper
F0	compatibility	NumStability.Analysis.PseudospectralLowerBound	NumStability.Analysis.LinearOperators.Pseudospectra.Perturbation.ConvergenceCriterion; NumStability.Analysis.LinearOperators.Pseudospectra.Perturbation.LowerBounds; NumStability.Analysis.SingularValues.Basic; NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.PseudospectralCriterion	NumStability.Algorithms; NumStability.Analysis	retain exact declaration-free wrapper
F0	compatibility	NumStability.Analysis.PseudospectralPowerBound	NumStability.Analysis.FunctionalCalculus.Resolvent.Analyticity; NumStability.Analysis.FunctionalCalculus.Resolvent.DunfordResidue; NumStability.Analysis.LinearOperators.Pseudospectra.Perturbation.ConvergenceCriterion; NumStability.Analysis.LinearOperators.Pseudospectra.PowerBounds.Contour; NumStability.Analysis.LinearOperators.Pseudospectra.Resolvent.LowerBounds; NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Equations08To14.PowerBound; NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.PseudospectralCriterion	NumStability.Algorithms	retain exact declaration-free wrapper
F0	compatibility	NumStability.Analysis.RealInvariantSubspace	NumStability.Analysis.LinearOperators.Schur.Real.InvariantSubspace.Complexification; NumStability.Analysis.LinearOperators.Schur.Real.InvariantSubspace.Existence; NumStability.Analysis.LinearOperators.Schur.Real.InvariantSubspace.TwoByTwo	NumStability.Algorithms; NumStability.Analysis; NumStability.Analysis.RealQuasiSchur	retain exact declaration-free wrapper
F0	compatibility	NumStability.Analysis.RealQuasiSchur	NumStability.Analysis.LinearOperators.Schur.Real.InvariantSubspace.Complexification; NumStability.Analysis.LinearOperators.Schur.Real.InvariantSubspace.Existence; NumStability.Analysis.LinearOperators.Schur.Real.InvariantSubspace.TwoByTwo; NumStability.Analysis.LinearOperators.Schur.Real.QuasiTriangular.API; NumStability.Analysis.LinearOperators.Schur.Real.QuasiTriangular.Basic; NumStability.Analysis.LinearOperators.Schur.Real.QuasiTriangular.BlockEmbedding; NumStability.Analysis.LinearOperators.Schur.Real.QuasiTriangular.Deflation; NumStability.Analysis.LinearOperators.Schur.Real.QuasiTriangular.Existence; NumStability.Analysis.LinearOperators.Schur.Real.QuasiTriangular.OrthogonalFrame; NumStability.Analysis.LinearOperators.Schur.Real.QuasiTriangular.Reindex; NumStability.Analysis.LinearOperators.Schur.Real.QuasiTriangular.TrailingConjugation	NumStability.Algorithms; NumStability.Analysis	retain exact declaration-free wrapper
F0	compatibility	NumStability.Analysis.RealSchurTriangulation	NumStability.Analysis.LinearOperators.Schur.Real.Triangularization.SplitCharpoly	NumStability.Algorithms; NumStability.Analysis	retain exact declaration-free wrapper
F0	compatibility	NumStability.Analysis.ResolventFunctionalCalculus	NumStability.Analysis.FunctionalCalculus.Resolvent.Analyticity; NumStability.Analysis.LinearOperators.Pseudospectra.Perturbation.ConvergenceCriterion; NumStability.Analysis.LinearOperators.Pseudospectra.Resolvent.LowerBounds; NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.PseudospectralCriterion	NumStability.Algorithms; NumStability.Analysis.DunfordResidue	retain exact declaration-free wrapper
F0	compatibility	NumStability.Analysis.SchurTriangulation	NumStability.Analysis.LinearOperators.Schur.Complex.BlockEmbedding; NumStability.Analysis.LinearOperators.Schur.Complex.Deflation; NumStability.Analysis.LinearOperators.Schur.Complex.Triangulation	NumStability.Algorithms; NumStability.Analysis	retain exact declaration-free wrapper
