wave	role	old_module	proposed_canonical_module	compatibility_policy
A	source	NumStability.HDP.ContractSignatures.C_01_hcor_h1_d2_d5	NumStability.Source.Vershynin.Chapter01.Section02.Corollary05.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_01_hex_h1_d2_d2	NumStability.Source.Vershynin.Chapter01.Section02.Exercise02.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_01_hlem_h1_d2_d1	NumStability.Source.Vershynin.Chapter01.Section02.Lemma01.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_01_hprop_h1_d2_d4	NumStability.Source.Vershynin.Chapter01.Section02.Proposition04.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_01_hthm_h1_d3_d1	NumStability.Source.Vershynin.Chapter01.Section03.Theorem01.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_01_hthm_hcauchy_hschwarz	NumStability.Source.Vershynin.Chapter01.CauchySchwarz.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_01_hthm_hjensen	NumStability.Source.Vershynin.Chapter01.JensenInequality.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_02_heq_h2_d12	NumStability.Source.Vershynin.Chapter02.Equation12.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_02_hex_h2_d2_d10b	NumStability.Source.Vershynin.Chapter02.Section02.Exercise10B.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_02_hex_h2_d3_d5	NumStability.Source.Vershynin.Chapter02.Section03.Exercise05.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_02_hex_h2_d5_d1	NumStability.Source.Vershynin.Chapter02.Section05.Exercise01.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_02_hex_h2_d5_d5a	NumStability.Source.Vershynin.Chapter02.Section05.Exercise05A.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_02_hex_h2_d6_d9	NumStability.Source.Vershynin.Chapter02.Section06.Exercise09.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_02_hexample_h2_d5_d8b	NumStability.Source.Vershynin.Chapter02.Section05.Example08B.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_02_hexample_h2_d5_d8c	NumStability.Source.Vershynin.Chapter02.Section05.Example08C.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_02_hexample_h2_d7_d13	NumStability.Source.Vershynin.Chapter02.Section07.Example13.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_02_hlem_h2_d6_d8	NumStability.Source.Vershynin.Chapter02.Section06.Lemma08.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_02_hlem_hexponential_hmarkov	NumStability.Source.Vershynin.Chapter02.ExponentialMarkov.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_02_hlem_hmgf_hindependent_hsum	NumStability.Source.Vershynin.Chapter02.IndependentSumMGF.Signature	retain old path as exact import-only wrapper
