wave	role	old_module	canonical_module	family_route	loc	public_objects	private_objects	sha256	direct_production_consumers	wrapper_imports
Higham02Residual	source	NumStability.Analysis.HighamChapter2ElementaryFunctions	NumStability.Source.Higham.Chapter02.Section10.ArctangentRange.CorrectRoundingCounterexample	NumStability.Source.Higham.Chapter02.Section10.ArctangentRange.All	173	1	6	E6CC36BCBF04CE49F2D39AD2AA1E1A7556AE0397BF3F71E8970745CAFF1394ED	NumStability.Analysis	NumStability.Source.Higham.Chapter02.Section10.ArctangentRange.All
Higham02Residual	source	NumStability.Analysis.HighamChapter2FmaDiscriminant	NumStability.Source.Higham.Chapter02.Section06.Discriminant.FusedMultiplyAdd.Counterexample	NumStability.Source.Higham.Chapter02.Section06.Discriminant.FusedMultiplyAdd.All	200	2	8	246DE09A556A8F571D280A9674570E42D0FC429F7769BDC9A0511D635A54E635	NumStability.Analysis	NumStability.Source.Higham.Chapter02.Section06.Discriminant.FusedMultiplyAdd.All
Higham02Residual	source	NumStability.Analysis.HighamChapter2Lindemann	NumStability.Source.Higham.Chapter02.Section10.Tablemaker.HermiteLindemann.MidpointStability	NumStability.Source.Higham.Chapter02.Section10.Tablemaker.HermiteLindemann.All	116	2	2	09EFC448C3B6DF5622BE247039A93E1AF1B7EE75FA048FA2BFB08316852FEB37	NumStability.Analysis	NumStability.Source.Higham.Chapter02.Section10.Tablemaker.HermiteLindemann.All
Higham02Residual	source	NumStability.Analysis.Problem2_3	NumStability.Source.Higham.Chapter02.Problem03.AdjacentPrecisionValues.IeeeSingleDoubleGaps	NumStability.Source.Higham.Chapter02.Problem03.AdjacentPrecisionValues.All	2028	31	10	44EB8A1BC0861A67EA36C990346EB426E438D71DEA4F8B1F08802E503BCC8E3F	NumStability.Analysis	NumStability.Source.Higham.Chapter02.Problem03.AdjacentPrecisionValues.All
Higham02Residual	source	NumStability.Analysis.Problem2_10	NumStability.Source.Higham.Chapter02.Problem10.DivisionRoundTrip.IeeeDoubleAudit	NumStability.Source.Higham.Chapter02.Problem10.DivisionRoundTrip.All	25596	956	158	2780A3B827DACBE999C778AFA712CA8A14576E4842A2C7792A65405A731577D0	NumStability.Algorithms.WilkinsonAttainability; NumStability.Analysis; NumStability.Analysis.Problem2_12; NumStability.Analysis.Problem2_24	NumStability.Source.Higham.Chapter02.Problem10.DivisionRoundTrip.All
Higham02Residual	source	NumStability.Analysis.Problem2_12	NumStability.Source.Higham.Chapter02.Problem12.ReciprocalProduct.IeeeDoubleRounding	NumStability.Source.Higham.Chapter02.Problem12.ReciprocalProduct.All	314	6	2	5AFCA4244FD65CC61DD075245165A92FAD47F3F2B6C51CA382BD2576C745B201	NumStability.Analysis; NumStability.Analysis.Problem2_13	NumStability.Source.Higham.Chapter02.Problem10.DivisionRoundTrip.All; NumStability.Source.Higham.Chapter02.Problem12.ReciprocalProduct.All
Higham02Residual	source	NumStability.Analysis.Problem2_13	NumStability.Source.Higham.Chapter02.Problem13.ReciprocalProductThreshold.IeeeDoubleCertificate	NumStability.Source.Higham.Chapter02.Problem13.ReciprocalProductThreshold.All	1678	62	10	6A315B066F8138F11DB0F92078EAAED865BAE2CDB1BEDDEDCFC0455DCED07035	NumStability.Analysis; NumStability.Analysis.Problem2_14	NumStability.Source.Higham.Chapter02.Problem13.ReciprocalProductThreshold.All
Higham02Residual	source	NumStability.Analysis.Problem2_14	NumStability.Source.Higham.Chapter02.Problem14.UnitRoundoffProbe.IeeeEvaluation	NumStability.Source.Higham.Chapter02.Problem14.UnitRoundoffProbe.All	400	12	8	7296D53AAFBDDA5448496639B1C0A102454C811A0C20F7609637C221013C1A05	NumStability.Analysis; NumStability.Analysis.Problem2_26; NumStability.Analysis.Problem2_27	NumStability.Source.Higham.Chapter02.Problem13.ReciprocalProductThreshold.All; NumStability.Source.Higham.Chapter02.Problem14.UnitRoundoffProbe.All
Higham02Residual	source	NumStability.Analysis.Problem2_17	NumStability.Source.Higham.Chapter02.Section06.Discriminant.StandardModel.Counterexample	NumStability.Source.Higham.Chapter02.Section06.Discriminant.StandardModel.All	124	4	2	C90CCB1C81BAE8AA2E2500ECA636B0A8137D4D7769666BC29EDCDC7BD3B6AD6C	NumStability.Analysis	NumStability.Source.Higham.Chapter02.Section06.Discriminant.StandardModel.All
Higham02Residual	source	NumStability.Analysis.Problem2_20	NumStability.Source.Higham.Chapter02.Problem21.HypotenuseNormalization.StandardModelCounterexample	NumStability.Source.Higham.Chapter02.Problem21.HypotenuseNormalization.All	109	3	2	470D7E8C25ACB64DD4975F21AFD8170AC93B3A509214962B6097DE26CDC3EF93	NumStability.Analysis	NumStability.Source.Higham.Chapter02.Problem21.HypotenuseNormalization.All
Higham02Residual	source	NumStability.Analysis.Problem2_24	NumStability.Source.Higham.Chapter02.Problem25.NonzeroEvaluation.IeeeFiniteInputs	NumStability.Source.Higham.Chapter02.Problem25.NonzeroEvaluation.All	553	27	3	E93587AB2773A463F04B7BB43065AC45F7445CFD570666DACFA1B7A67A99D165	NumStability.Analysis; NumStability.Source.Higham.Chapter27.SoftwareEnvironment	NumStability.Source.Higham.Chapter02.Problem25.NonzeroEvaluation.All
Higham02Residual	source	NumStability.Analysis.Problem2_27	NumStability.Source.Higham.Chapter02.Problem28.IterativeDivisionTermination.ConvergenceTest	NumStability.Source.Higham.Chapter02.Problem28.IterativeDivisionTermination.All	301	13	1	4C1465A75B7DE733C6B4C99D2E39D7914ED1144EDF50C1CD1C658B841A18F08F	NumStability.Analysis	NumStability.Source.Higham.Chapter02.Problem14.UnitRoundoffProbe.All; NumStability.Source.Higham.Chapter02.Problem28.IterativeDivisionTermination.All
