reviewed_composition	canonical_tier	old_module	canonical_module	loc	direct_dependencies	downstream_consumers	migration_action	representative_declaration	rationale	exclusions
source	source	NumStability.Algorithms.HighamChapter10	NumStability.Source.Higham.Chapter10.Endpoints	2326	Mathlib.Data.Complex.Basic;NumStability.Algorithms.Cholesky.CholeskyDemmel;NumStability.Algorithms.Cholesky.CholeskyFl;NumStability.Algorithms.Cholesky.CholeskyNonsym;NumStability.Algorithms.Cholesky.CholeskyPSD;NumStability.Algorithms.Cholesky.CholeskySpec;NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.Certificates;NumStability.Algorithms.LinearSystems.Cholesky.Perturbation.Basic;NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.KahanMatrix;NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.ScaledStage;NumStability.Analysis.MatrixNorms.EntrywiseAbsolute.Basic;NumStability.Analysis.MatrixNorms.SpectralExtrema.Basic;NumStability.Analysis.MatrixSpectral;NumStability.Source.Higham.Chapter09.Problems;NumStability.Source.Higham.Chapter09.Section01;NumStability.Source.Higham.Chapter09.Section02;NumStability.Source.Higham.Chapter09.Section03;NumStability.Source.Higham.Chapter09.Section04;NumStability.Source.Higham.Chapter09.Section05;NumStability.Source.Higham.Chapter09.Section06;NumStability.Source.Higham.Chapter09.Section08;NumStability.Source.Higham.Chapter09.Section10;NumStability.Source.Higham.Chapter09.Section11;NumStability.Source.Higham.Chapter10.Equation07.AbsoluteFactorNorm.Endpoints;NumStability.Source.Higham.Chapter10.Equation29.Mathias.Endpoints;NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.Endpoints;NumStability.Source.Higham.Chapter10.Lemma11.PivotSequenceStability.Endpoints;NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.Endpoints;NumStability.Source.Higham.Chapter10.Problem01.PositiveSemidefiniteEntries.Basic;NumStability.Source.Higham.Chapter10.Problem04.UnpivotedGrowth.Basic;NumStability.Source.Higham.Chapter10.Problem08.LeadingMinorsCounterexample.Basic;NumStability.Source.Higham.Chapter10.Section01.Factorization.Basic;NumStability.Source.Higham.Chapter10.Section02.ErrorAnalysis.Basic;NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.Endpoints;NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.Endpoints;NumStability.Source.Higham.Chapter10.Theorem06.RoundedCholesky.Endpoints;NumStability.Source.Higham.Chapter10.Theorem07.FailureVacuity.Endpoints;NumStability.Source.Higham.Chapter10.Theorem08.ComponentwisePerturbation.Endpoints;NumStability.Source.Higham.Chapter10.Theorem08.NormwiseDiscrepancy.Endpoints;NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.Endpoints	13 production and 2 isolated tests	move retained source graph to canonical source owner; retain exact wrapper	higham10_1_cholesky_existence	W03 already extracted the reusable foundations; the retained declarations form the source-numbered Chapter 10 endpoint graph and its tightly coupled support	LeVeque Chapter01;gate/audit/ledger artifacts;module-audit.json;unit-index.json
source	source	NumStability.Algorithms.Ch10ActualSourceClosure	NumStability.Source.Higham.Chapter10.Theorem06.RoundedCholesky.ScaledForwardError	92	NumStability.Algorithms.HighamChapter10;NumStability.Source.Higham.Chapter10.Theorem06.RoundedCholesky.ActualClosure	1 production and 1 isolated test	move declarations to canonical source owner; retain exact wrapper	higham10_6_actual_source_closed	literal Theorem 10.6 scaled forward-error closure for the concrete rounded factorization and solves	same wave exclusions
source	source	NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.ErrorBounds	2384	Mathlib.Data.Complex.BigOperators;NumStability.Algorithms.ComplexBackwardError;NumStability.Algorithms.HighamChapter10;NumStability.Analysis.ComplexArithmetic;NumStability.Analysis.MatrixAlgebra;NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.SourceClosure	1 production and 1 isolated test	move declarations to canonical source owner; retain exact wrapper	higham10_30_complexPositiveDefinite_GE_backward_error_source	Equation (10.30) positive-definite symmetric-part growth and complex LU backward-error chain	same wave exclusions
source	source	NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.TailNormBounds	264	NumStability.Algorithms.HighamChapter10;NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.GramFamily;NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.Limit	1 production and 1 isolated test	move declarations to canonical source owner; retain exact wrapper	higham10KahanW_op2_eq_product	Kahan-family tail identities and operator-norm sharpness certificate for Lemma 10.13	same wave exclusions
source	source	NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.StoppingErrorBounds	316	NumStability.Algorithms.HighamChapter10;NumStability.Source.Higham.Chapter10.Lemma11.PivotSequenceStability.SourceClosure;NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	1 production and 1 isolated test	move declarations to canonical source owner; retain exact wrapper	higham10_14_completePivotedPSD_actual_source_closed	actual complete-pivoting stopping test and componentwise/operator-norm error consequences	same wave exclusions
source	source	NumStability.Algorithms.Ch10Theorem108Componentwise	NumStability.Source.Higham.Chapter10.Theorem08.ComponentwisePerturbation.ComponentwiseBounds	573	NumStability.Algorithms.Cholesky.CholeskySpec;NumStability.Algorithms.LinearSystems.Triangular.InverseBounds;NumStability.Source.Higham.Chapter09.Problems;NumStability.Source.Higham.Chapter09.Section01;NumStability.Source.Higham.Chapter09.Section02;NumStability.Source.Higham.Chapter09.Section03;NumStability.Source.Higham.Chapter09.Section04;NumStability.Source.Higham.Chapter09.Section05;NumStability.Source.Higham.Chapter09.Section06;NumStability.Source.Higham.Chapter09.Section08;NumStability.Source.Higham.Chapter09.Section10;NumStability.Source.Higham.Chapter09.Section11;NumStability.Source.Higham.Chapter10.Theorem08.ComponentwisePerturbation.Resolvent	1 production and 1 isolated test	move declarations to canonical source owner; retain exact wrapper	higham10_8_componentwise_source	Theorem 10.8 normalized resolvent and componentwise perturbation bounds	same wave exclusions
source	source	NumStability.Algorithms.Ch10Theorem108Source	NumStability.Source.Higham.Chapter10.Theorem08.NormwiseDiscrepancy.FactorUniqueness	36	NumStability.Algorithms.HighamChapter10;NumStability.Source.Higham.Chapter10.Theorem08.NormwiseDiscrepancy.LiteralSource	1 production and 1 isolated test	move declarations to canonical source owner; retain exact wrapper	higham10_8_counterRhat_unique	uniqueness endpoint for the displayed perturbed Cholesky factor in Theorem 10.8	same wave exclusions
source	source	NumStability.Algorithms.Cholesky.Higham1014SourceError	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.RankSensitiveError	755	NumStability.Source.Higham.Chapter09.DoolittleClosure;NumStability.Source.Higham.Chapter10.Theorem07;NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.SourceError;NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.SourceSuccess	2 production and 1 isolated test	move declarations to canonical source owner; retain exact wrapper	higham10_14_source_success_and_error	Theorem 10.14 rank-sensitive equations (10.24)--(10.25) and success/error endpoint	same wave exclusions
source	source	NumStability.Algorithms.Cholesky.Higham1014Equation1022	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.SchurAsymptotics	846	NumStability.Algorithms.Cholesky.Higham1014SourceError;NumStability.Algorithms.HighamChapter10;NumStability.Analysis.FirstOrder.AsymptoticFamilies;NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.Equation22	1 production and 1 isolated test	move declarations to canonical source owner; retain exact wrapper	higham10_14_equation_10_22_family	Equation (10.22) Schur perturbation, quadratic remainder, and first-order asymptotic chain	same wave exclusions
source	source	NumStability.Algorithms.Cholesky.Higham1029Source	NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.LUGrowth	209	NumStability.Algorithms.HighamChapter10;NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.Equation29	3 production and 1 isolated test	move declarations to canonical source owner; retain exact wrapper	higham10_29_source_lu_growth_bound	Equation (10.29) LU growth bound through the symmetric-part inverse	same wave exclusions
