role	old_module	canonical_module	compatibility_policy	representative_declaration
source	NumStability.Source.Higham.Chapter11.Higham11BunchActualSharpGrowthClosure	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.Bunch.CertifiedSharpGrowth	retain old path as exact import-only wrapper	Higham11BunchCertifiedExecution
source	NumStability.Source.Higham.Chapter11.Higham11BunchExactTrace	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.Bunch.ExactTrace	retain old path as exact import-only wrapper	Higham11BunchMatrix
source	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanActualSelector	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.BunchKaufman.PivotSelection	retain old path as exact import-only wrapper	higham11_2_bunchKaufmanFirstColumnMaximizers
source	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactGrowth	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.BunchKaufman.ExactGrowthBounds	retain old path as exact import-only wrapper	higham11_4_exactArithmeticBunchKaufmanMaxEntryNorm_productBound
source	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactGrowthArithmetic	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.BunchKaufman.ExactArithmetic	retain old path as exact import-only wrapper	higham11_2_exactArithmeticBunchKaufmanExecution
source	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactTrace	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.BunchKaufman.ExactTrace	retain old path as exact import-only wrapper	Higham11BunchKaufmanMatrix
source	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExplicitInverseSolve	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.BunchKaufman.ExplicitInverseSolve	retain old path as exact import-only wrapper	higham11_2_flExplicitInverseSolve
source	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExplicitInverseTerminalClosedForm	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.BunchKaufman.ExplicitInverseClosedFormErrorBound	retain old path as exact import-only wrapper	Higham11RoundedBunchKaufmanExecution.computedSolve_backward_error_normwise_forty_actual_explicitInverse_source_polynomial
source	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedAccumulated	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.BunchKaufman.Rounded.LocalFactorProducts	retain old path as exact import-only wrapper	higham11_2_ldltProduct
source	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedBridge	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.BunchKaufman.Rounded.TwoByTwoSolve	retain old path as exact import-only wrapper	higham11_5_twoByTwoPivotSolveStable_residual
source	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedClosure	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.BunchKaufman.Rounded.PivotResiduals	retain old path as exact import-only wrapper	higham11_2_bunchKaufmanRoundedSchurTwo_residual_bound
source	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedExecution	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.BunchKaufman.Rounded.Execution	retain old path as exact import-only wrapper	Higham11RoundedBunchKaufmanExecution
source	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedFactors	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.BunchKaufman.Rounded.GlobalFactors	retain old path as exact import-only wrapper	Higham11RoundedBunchKaufmanExecution.flatProduct
source	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGlobal	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.BunchKaufman.Rounded.GlobalResidual	retain old path as exact import-only wrapper	Higham11RoundedBunchKaufmanExecution.backwardError
source	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGrowth	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.BunchKaufman.Rounded.GrowthBounds	retain old path as exact import-only wrapper	Higham11RoundedBunchKaufmanExecution.roundedGrowthFactor
source	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGrowthSolve	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.BunchKaufman.Rounded.GrowthSolveError	retain old path as exact import-only wrapper	Higham11RoundedBunchKaufmanExecution.computedSolve_backward_error_normwise_forty_source
source	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedMiddleSolve	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.BunchKaufman.Rounded.MiddleSolveError	retain old path as exact import-only wrapper	Higham11RoundedBunchKaufmanExecution.actualMiddleSolve_backward_error
source	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedSolve	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.BunchKaufman.Rounded.SolveError	retain old path as exact import-only wrapper	Higham11RoundedBunchKaufmanExecution.computedSolve_backward_error_normwise_of_growth_source
source	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedTerminal	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.BunchKaufman.Rounded.ErrorBound	retain old path as exact import-only wrapper	Higham11RoundedBunchKaufmanExecution.computedSolve_backward_error_normwise_forty_actual_source
source	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedTerminalClosedForm	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.BunchKaufman.Rounded.ClosedFormErrorBound	retain old path as exact import-only wrapper	Higham11RoundedBunchKaufmanExecution.computedSolve_backward_error_normwise_forty_actual_source_polynomial
source	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanSourceCorrection	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.BunchKaufman.ComputedProductCorrection	retain old path as exact import-only wrapper	higham11_4_exact_product_bound_does_not_imply_same_computed_bound
source	NumStability.Source.Higham.Chapter11.Higham11BunchSharpGrowthBridge	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.Bunch.SharpGrowthAnalysis	retain old path as exact import-only wrapper	higham11_1_bunchSharpGrowth_ratio_bound
source	NumStability.Source.Higham.Chapter11.Higham11BunchTraceHadamard	NumStability.Source.Higham.Chapter11.SymmetricIndefinite.Bunch.TraceHadamardBounds	retain old path as exact import-only wrapper	higham11_1_exists_exactBunchTrace_all_stageRatio_le_maxEntryNorm
source	NumStability.Source.Higham.Chapter11.Higham11Chapter9ActualExecutorBridge	NumStability.Source.Higham.CrossChapter.Chapter09To11.ExecutorForwardError	retain old path as exact import-only wrapper	higham11_7_forwardError_family_condition_product_of_actual_block_ldlt_executor
