role	old_module	canonical_module	compatibility_policy	representative_declaration
source	NumStability.Algorithms.Underdetermined.Higham21Attainability	NumStability.Source.Higham.Chapter21.Theorem01.Attainability	retain old path as exact import-only wrapper	higham21Theorem21_1Majorant
source	NumStability.Algorithms.Underdetermined.Higham21Eq21_11Uniform	NumStability.Source.Higham.Chapter21.Equation11.UniformFixedRadius	retain old path as exact import-only wrapper	higham21Eq21_11UniformDirectionEnvelope
source	NumStability.Algorithms.Underdetermined.Higham21Eq21_8	NumStability.Source.Higham.Chapter21.Equation08	retain old path as exact import-only wrapper	higham21Eq21_8HadamardEnvelope
source	NumStability.Algorithms.Underdetermined.Higham21Eq21_9	NumStability.Source.Higham.Chapter21.Equation09	retain old path as exact import-only wrapper	higham21Eq21_9NormwiseMatrixBudget
source	NumStability.Algorithms.Underdetermined.Higham21Equation21_11	NumStability.Source.Higham.Chapter21.Equation11.QuadraticRemainder	retain old path as exact import-only wrapper	higham21Eq21_11QuadraticCoefficient
source	NumStability.Algorithms.Underdetermined.Higham21Equation21_11Scalar	NumStability.Source.Higham.Chapter21.Equation11.ScalarEndpoint	retain old path as exact import-only wrapper	higham21_eq21_11_firstOrder_norm_le_rowwise_cond2_scalar
source	NumStability.Algorithms.Underdetermined.Higham21Givens	NumStability.Source.Higham.Chapter21.Theorem04.Givens.QMethod	retain old path as exact import-only wrapper	higham21_givens_qr_backward_error_to_generic_certificate
source	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Source.Higham.Chapter21.Theorem04.Givens.ConcreteReplay	retain old path as exact import-only wrapper	Higham21ConcreteGivensReplayStep
source	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Source.Higham.Chapter21.Theorem04.Givens.StoredReplay	retain old path as exact import-only wrapper	Higham21StoredGivensRotation
source	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Source.Higham.Chapter21.Theorem04.ModifiedGramSchmidt.ComparisonBounds	retain old path as exact import-only wrapper	higham21MGSRectKappa2With
source	NumStability.Algorithms.Underdetermined.Higham21MGSRounded	NumStability.Source.Higham.Chapter21.Theorem04.ModifiedGramSchmidt.RoundedFormation	retain old path as exact import-only wrapper	higham21FlMGSCorrectedStep
source	NumStability.Algorithms.Underdetermined.Higham21Perturbation	NumStability.Source.Higham.Chapter21.Theorem01.PerturbationBounds	retain old path as exact import-only wrapper	higham21Theorem21_1NullspaceMajorant
source	NumStability.Algorithms.Underdetermined.Higham21PerturbationRadius	NumStability.Source.Higham.Chapter21.Theorem01.FixedRadius	retain old path as exact import-only wrapper	higham21RectOpNorm2
source	NumStability.Algorithms.Underdetermined.Higham21ProjectorNorm	NumStability.Source.Higham.Chapter21.ProjectorComplementNorm	retain old path as exact import-only wrapper	higham21_complement_projector_rectOpNorm2Le_exact
source	NumStability.Algorithms.Underdetermined.Higham21QRFoundations	NumStability.Source.Higham.Chapter21.QRFoundations	retain old path as exact import-only wrapper	higham21_rectGram_det_ne_zero_of_transpose_full_col_rank
source	NumStability.Algorithms.Underdetermined.Higham21RankStability	NumStability.Source.Higham.Chapter21.Theorem01.RankStability	retain old path as exact import-only wrapper	higham21_theorem21_1_transpose_left_inverse_of_right_inverse
source	NumStability.Algorithms.Underdetermined.Higham21SNEActualOutput	NumStability.Source.Higham.Chapter21.SemiNormalEquations.ComputedOutput	retain old path as exact import-only wrapper	higham21SNEExactFormedOutput
source	NumStability.Algorithms.Underdetermined.Higham21SNEClosure	NumStability.Source.Higham.Chapter21.SemiNormalEquations.HouseholderAnalysis	retain old path as exact import-only wrapper	higham21SNEHouseholderQFull
source	NumStability.Algorithms.Underdetermined.Higham21SNEConditionTransfer	NumStability.Source.Higham.Chapter21.SemiNormalEquations.ConditionTransfer	retain old path as exact import-only wrapper	higham21SNEPseudoinverseDifferenceCoefficient
source	NumStability.Algorithms.Underdetermined.Higham21SNEEnvelopeTransfer	NumStability.Source.Higham.Chapter21.SemiNormalEquations.EnvelopeTransfer	retain old path as exact import-only wrapper	higham21_sne_split_triangular_solve_backward_error
source	NumStability.Algorithms.Underdetermined.Higham21SNEForward	NumStability.Source.Higham.Chapter21.SemiNormalEquations.ForwardError	retain old path as exact import-only wrapper	higham21SNEComputedNormalSolution
source	NumStability.Algorithms.Underdetermined.Higham21SNEQRMajorant	NumStability.Source.Higham.Chapter21.SemiNormalEquations.QRMajorant	retain old path as exact import-only wrapper	higham21_sne_qr_error_transpose_action_le_majorant
source	NumStability.Algorithms.Underdetermined.Higham21SNERemainderBounds	NumStability.Source.Higham.Chapter21.SemiNormalEquations.RemainderBounds	retain old path as exact import-only wrapper	higham21_dh1993_factor_difference_vecNorm2_le_radius
source	NumStability.Algorithms.Underdetermined.Higham21SNESigned	NumStability.Source.Higham.Chapter21.SemiNormalEquations.SignedFactorAnalysis	retain old path as exact import-only wrapper	higham21SNEDHFactorLeadingAt
source	NumStability.Algorithms.Underdetermined.Higham21SNEUniform	NumStability.Source.Higham.Chapter21.SemiNormalEquations.UniformBounds	retain old path as exact import-only wrapper	higham21SNEHouseholderSourceEnvelope
source	NumStability.Algorithms.Underdetermined.Higham21Theorem214SourceClosure	NumStability.Source.Higham.Chapter21.Theorem04.SourceEndpoint	retain old path as exact import-only wrapper	higham21_topBlock_det_ne_zero_of_perturbed_transpose_injective
