role	old_module	canonical_declaration_owners	compatibility_target	representative_declaration	rationale
source	NumStability.Algorithms.TestMatrices.Higham28Ginibre	NumStability.Source.Higham.Chapter28.RealGinibre.ExpectedCountAsymptotic	NumStability.Source.Higham.Chapter28.RealGinibre.ExpectedCountAsymptotic	realGinibreExpectedCountClosedForm	closed-form expected-count asymptotic and Chapter 28 endpoint
source	NumStability.Algorithms.TestMatrices.Higham28GinibreAbsoluteDetRecurrence	NumStability.Source.Higham.Chapter28.RealGinibre.AbsoluteDeterminantRecurrence	NumStability.Source.Higham.Chapter28.RealGinibre.AbsoluteDeterminantRecurrence	ginibreTraceStretch	absolute-characteristic-determinant recurrence infrastructure
source	NumStability.Algorithms.TestMatrices.Higham28GinibreAtlas	NumStability.Source.Higham.Chapter28.RealGinibre.EigenpairAtlas	NumStability.Source.Higham.Chapter28.RealGinibre.EigenpairAtlas	ginibreMatrixCoordinates	finite affine atlas for real eigenpairs
source	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	NumStability.Source.Higham.Chapter28.RealGinibre.CharacteristicProduct	NumStability.Source.Higham.Chapter28.RealGinibre.CharacteristicProduct	integral_realGinibre_coordinateProduct	characteristic-product evaluation in the real-Ginibre law
source	NumStability.Algorithms.TestMatrices.Higham28GinibreComplexPairs	NumStability.Source.Higham.Chapter28.RealGinibre.ConjugatePairs	NumStability.Source.Higham.Chapter28.RealGinibre.ConjugatePairs	complexUpperEigenvalueCount	real roots and complex-conjugate pairs
source	NumStability.Algorithms.TestMatrices.Higham28GinibreCorollary31Factor	NumStability.Source.Higham.Chapter28.RealGinibre.Corollary31Normalization	NumStability.Source.Higham.Chapter28.RealGinibre.Corollary31Normalization	gaussianZeroPow_mul_projectiveConstant	Corollary 3.1 normalization
source	NumStability.Algorithms.TestMatrices.Higham28GinibreDeterminantIntegral	NumStability.Source.Higham.Chapter28.RealGinibre.DeterminantIntegral	NumStability.Source.Higham.Chapter28.RealGinibre.DeterminantIntegral	lintegral_ginibreIncidence_gaussian_eq_rootCount	Gaussian determinant integral
source	NumStability.Algorithms.TestMatrices.Higham28GinibreDeterminantMoment	NumStability.Source.Higham.Chapter28.RealGinibre.AbsoluteCharacteristicMoment	NumStability.Source.Higham.Chapter28.RealGinibre.AbsoluteCharacteristicMoment	realGinibreAbsoluteCharacteristicMoment	absolute characteristic moment and recurrence factors
source	NumStability.Algorithms.TestMatrices.Higham28GinibreDimensionTwo	NumStability.Source.Higham.Chapter28.RealGinibre.DimensionTwo	NumStability.Source.Higham.Chapter28.RealGinibre.DimensionTwo	realGinibreTwoDiscriminant	exact two-dimensional expectation
source	NumStability.Algorithms.TestMatrices.Higham28GinibreExpectationGlue	NumStability.Source.Higham.Chapter28.RealGinibre.ExpectationRecurrence	NumStability.Source.Higham.Chapter28.RealGinibre.ExpectationRecurrence	ginibreCorollary31Factor_mul_increment	scalar bridge between determinant and expected-count recurrences
source	NumStability.Algorithms.TestMatrices.Higham28GinibreFiniteFormula	NumStability.Source.Higham.Chapter28.RealGinibre.FiniteExpectationFormula	NumStability.Source.Higham.Chapter28.RealGinibre.FiniteExpectationFormula	ch28gf_realGinibreFiniteExpectationFormula	finite expectation formula and final limit
