module	path	routed_declarations	public_declarations	private_declarations	canonical_routes	status
NumStability.Algorithms.MatrixPowers	NumStability/Algorithms/MatrixPowers.lean	53	53	0	NumStability.Algorithms.MatrixPowers.ComputedIteration.Model; NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.Real; NumStability.Analysis.LinearOperators.MatrixPowers.JordanScaling.RealDiagonal; NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.Equations04And05.RealDiagonal; NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Equations08To14.ComputedIteration; NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.RealCases	classified_compatibility
NumStability.Algorithms.MatrixPowersComplex	NumStability/Algorithms/MatrixPowersComplex.lean	23	23	0	NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.Complex; NumStability.Analysis.LinearOperators.MatrixPowers.JordanScaling.Complex; NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Equations08To14.ComplexSimilarity; NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.ComplexJordan	classified_compatibility
NumStability.Algorithms.MatrixPowersJordan	NumStability/Algorithms/MatrixPowersJordan.lean	19	19	0	NumStability.Analysis.LinearOperators.MatrixPowers.JordanScaling.RealJordan; NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.Equations04And05.RealJordan; NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.RealJordan	classified_compatibility
NumStability.Algorithms.MatrixPowersLp	NumStability/Algorithms/MatrixPowersLp.lean	16	16	0	NumStability.Analysis.LinearOperators.MatrixPowers.LpBounds.ComplexDiagonal; NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.Equations04And05.LpDiagonal	classified_compatibility
NumStability.Algorithms.MatrixPowersLpJordan	NumStability/Algorithms/MatrixPowersLpJordan.lean	8	8	0	NumStability.Analysis.LinearOperators.MatrixPowers.LpBounds.ComplexJordan; NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.Equations04And05.LpJordan	classified_compatibility
NumStability.Algorithms.MatrixPowersPseudospectral	NumStability/Algorithms/MatrixPowersPseudospectral.lean	7	7	0	NumStability.Analysis.LinearOperators.Pseudospectra.Perturbation.Definitions; NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.PseudospectralPackaging	classified_compatibility
NumStability.Algorithms.MatrixPowersPseudospectralCriterion	NumStability/Algorithms/MatrixPowersPseudospectralCriterion.lean	6	6	0	NumStability.Analysis.LinearOperators.Pseudospectra.Perturbation.ConvergenceCriterion; NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.PseudospectralCriterion	classified_compatibility
NumStability.Algorithms.MatrixPowersSpectral	NumStability/Algorithms/MatrixPowersSpectral.lean	10	10	0	NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.SpectralRadius; NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.SpectralCriterion	classified_compatibility
NumStability.Analysis.MatrixPowersBaiDemmelGu	NumStability/Analysis/MatrixPowersBaiDemmelGu.lean	22	22	0	NumStability.Analysis.LinearOperators.MatrixPowers.BaiDemmelGu.StabilityRadius; NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.BaiDemmelGu	classified_compatibility
NumStability.Analysis.MatrixPowersBaiDemmelGuDistance	NumStability/Analysis/MatrixPowersBaiDemmelGuDistance.lean	33	33	0	NumStability.Analysis.LinearOperators.MatrixPowers.BaiDemmelGu.DistanceToInstability	classified_compatibility
