reviewed_composition	historical_owner	loc	compiler_declarations	public_declarations	private_reverse_closure	canonical_reusable_destinations	canonical_source_destinations	direct_dependencies	external_consumers	migration_action	representative_declaration	exclusions
source_atomic_closure	NumStability.Algorithms.Sylvester.Higham16	8151	138	135	3	-	NumStability.Source.Higham.Chapter16.Section04.PracticalErrorBounds.SchurTransformClosure	W05 Sylvester equation/backward-error/perturbation semantic leaves;Chapter16 Sections01-05 endpoints	four Chapter16 source leaves;historical family leaves;historical aggregate	move the typed private/reverse closure as one source unit;retarget old internal imports;exact declaration-free wrapper	sylvester_schur_transform_identity	LeVeque Chapter01;gates;audits;ledgers;.faithfulness-audit;module-audit.json;unit-index.json
source_atomic_closure	NumStability.Algorithms.Sylvester.Higham16AutoCondition	518	8	8	0	-	NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.AutomaticBounds.Equations23To28	Algorithms.MatrixEquations.Sylvester.Conditioning.AutomaticBounds.GramPositivity;Higham16VecNorm retained source closure	historical aggregate	move the inseparable automatic Chapter16 endpoint group to source;exact declaration-free wrapper	exists_sylvesterOp_sigmaMin_of_no_common_complex_right_eigenvalue	same wave exclusions
import_shim	NumStability.Algorithms.Sylvester.Higham16Eq9Assembly	11	0	0	0	NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.TriangularBartelsStewart.ResidualAssembly;NumStability.Analysis.Rounding	NumStability.Source.Higham.Chapter16.Section04.PracticalErrorBounds.SchurTransformClosure;NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equation09.Assembly;NumStability.Source.Higham.Chapter19.Core	current five direct imports with Higham16 replaced by its source destination	Higham16Eq9EndToEnd;historical aggregate	rewrite exact canonical/source target set;remain declaration-free	n/a	same wave exclusions
import_shim	NumStability.Algorithms.Sylvester.Higham16Eq9EndToEnd	10	0	0	0	NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.TriangularBartelsStewart.EndToEnd;NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.TriangularBartelsStewart.ResidualAssembly;NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.TriangularBartelsStewart.RoundedSolve	NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equation09.Assembly;NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equation09.EndToEnd;NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.SpectralCompletion;NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.RoundedTriangular	current imports with both historical dependencies expanded to semantic targets	Higham16RoundedExecutor;historical aggregate	rewrite exact canonical/source target set;remain declaration-free	n/a	same wave exclusions
source_atomic_closure	NumStability.Algorithms.Sylvester.Higham16HessenbergRounded	415	2	2	0	-	NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.AutomaticRealSchur	Higham16HessenbergSchur retained source closure;existing HessenbergRounded endpoint	historical aggregate	move Chapter16 automatic-real-Schur endpoints to source;exact declaration-free wrapper	H16_eq16_4_8_auto_realSchur_exists_original_solution_of_no_common	same wave exclusions
source_atomic_closure	NumStability.Algorithms.Sylvester.Higham16HessenbergSchur	815	34	34	0	-	NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.ShiftedHessenbergSolvability	Higham16Spectrum and Higham16VecNorm retained source closures;Higham Chapters09 and16 endpoints	historical aggregate	move cross-chapter shifted Hessenberg solvability closure to source;exact declaration-free wrapper	existsUnique_isSylvesterSolutionRect_and_HessenbergGEPPUTrace_growth_of_upperHessenberg_triangular_sepLowerBound	same wave exclusions
import_shim	NumStability.Algorithms.Sylvester.Higham16Lyapunov	13	0	0	0	NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.StructuredLyapunov;NumStability.Algorithms.MatrixEquations.Sylvester.Equation.Diagonal;NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.FirstOrder;NumStability.Algorithms.MatrixEquations.Sylvester.Perturbation.Basic	NumStability.Source.Higham.Chapter16.Section04.PracticalErrorBounds.SchurTransformClosure;NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.Equation22;NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.Equation26;NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.Equation27;NumStability.Source.Higham.Chapter16.Section04.PracticalErrorBounds.Equation28	current imports with Higham16 and SylvesterPerturbation expanded	NumStability.Analysis.InverseOpNorm2;historical aggregate	rewrite exact canonical/source target set;remain declaration-free	n/a	same wave exclusions
import_shim	NumStability.Algorithms.Sylvester.Higham16LyapunovSigmaMin	9	0	0	0	NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.SigmaMinBounds.Lyapunov;NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.SingularValue	NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.SigmaMinCorollaries.Lyapunov	current three semantic imports	Higham16VecNorm;historical aggregate	retain exact declaration-free semantic route	n/a	same wave exclusions
source_atomic_closure	NumStability.Algorithms.Sylvester.Higham16Minimizers	10770	194	168	26	-	NumStability.Source.Higham.Chapter16.Section04.PracticalErrorBounds.Equation29Extensions.AttainedMinimizerCompletion	Algorithms.MatMul;attained-minima semantic leaves;Higham16 and Higham16VecNorm retained source closures;Chapter16 attained-minimum and Equation29 endpoints	Higham16SpectrumMinimizers;historical aggregate	move the genuine-private attained-minimum/practical-bound reverse closure as one source unit;exact declaration-free wrapper	exists_sylvesterBackwardError_minimizer	same wave exclusions
import_shim	NumStability.Algorithms.Sylvester.Higham16NormEstimator	11	0	0	0	NumStability.Algorithms.NormEstimation.OneNorm.PowerMethod;NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.PracticalErrorBounds;NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.PracticalEstimator.OneNorm;NumStability.Algorithms.NormEstimation.OneNorm.GeneralIndex	NumStability.Source.Higham.Chapter16.Section04.PracticalErrorBounds.NormEstimator.Equation29	current five semantic imports	historical aggregate	retain exact declaration-free semantic route	n/a	same wave exclusions
