baseline_owner_module	baseline_declaration_name	visibility	kind	baseline_order	destination_module	route_class	normalization_decision
NumStability.Algorithms.Ch15CondEstimators	NumStability.Ch15.linpackD_isPlusMinusOne	public	theorem	1	NumStability.Source.Higham.Chapter15.Algorithm05.LINPACKConditionEstimator.InverseNormBound.TriangularSolve	source	approved_owner_block_route
NumStability.Algorithms.Ch15CondEstimators	NumStability.Ch15.linpackY_infNorm_le_infNorm_inv	public	theorem	2	NumStability.Source.Higham.Chapter15.Algorithm05.LINPACKConditionEstimator.InverseNormBound.TriangularSolve	source	approved_owner_block_route
NumStability.Algorithms.Ch15CondEstimators	NumStability.Ch15.linpackY_infNorm_le_infNorm_inv_nonsingular	public	theorem	3	NumStability.Source.Higham.Chapter15.Algorithm05.LINPACKConditionEstimator.InverseNormBound.TriangularSolve	source	approved_owner_block_route
NumStability.Algorithms.Ch15CondEstimators	_private.NumStability.Algorithms.Ch15CondEstimators.0.NumStability.Ch15.linpackYSteps_solves	private	theorem	4	NumStability.Source.Higham.Chapter15.Algorithm05.LINPACKConditionEstimator.InverseNormBound.TriangularSolve	source	approved_owner_block_route
NumStability.Algorithms.Ch15CondEstimators	_private.NumStability.Algorithms.Ch15CondEstimators.0.NumStability.Ch15.linpackYSteps_stable	private	theorem	5	NumStability.Source.Higham.Chapter15.Algorithm05.LINPACKConditionEstimator.InverseNormBound.TriangularSolve	source	approved_owner_block_route
NumStability.Algorithms.Ch15CondEstimators	_private.NumStability.Algorithms.Ch15CondEstimators.0.NumStability.Ch15.linpackYSteps_value_at	private	theorem	6	NumStability.Source.Higham.Chapter15.Algorithm05.LINPACKConditionEstimator.InverseNormBound.TriangularSolve	source	approved_owner_block_route
NumStability.Algorithms.Ch15CondEstimators	_private.NumStability.Algorithms.Ch15CondEstimators.0.NumStability.Ch15.matMulVec_upperTri_split	private	theorem	7	NumStability.Source.Higham.Chapter15.Algorithm05.LINPACKConditionEstimator.InverseNormBound.TriangularSolve	source	approved_owner_block_route
NumStability.Algorithms.Chapter15CondEst	NumStability.Higham15.H15_Algorithm15_4_condEstimate_le_kappaOne	public	theorem	1	NumStability.Source.Higham.Chapter15.Algorithm04.LAPACKNormEstimator.ConditionEstimate.Bounds	source	approved_owner_block_route
NumStability.Algorithms.Chapter15CondEst	NumStability.Higham15.H15_Algorithm15_4_exact_ratio_witness	public	theorem	2	NumStability.Source.Higham.Chapter15.Algorithm04.LAPACKNormEstimator.ConditionEstimate.Bounds	source	approved_owner_block_route
NumStability.Algorithms.Chapter15CondEst	NumStability.Higham15.H15_Algorithm15_4_lower_bound	public	theorem	3	NumStability.Source.Higham.Chapter15.Algorithm04.LAPACKNormEstimator.ConditionEstimate.Bounds	source	approved_owner_block_route
NumStability.Algorithms.Chapter15CondEst	NumStability.Higham15.H15_Algorithm15_4_ratio_witness	public	theorem	4	NumStability.Source.Higham.Chapter15.Algorithm04.LAPACKNormEstimator.ConditionEstimate.Bounds	source	approved_owner_block_route
NumStability.Algorithms.Chapter15CondEst	NumStability.Higham15.H15_Algorithm15_4_scaled_le_kappaOne	public	theorem	5	NumStability.Source.Higham.Chapter15.Algorithm04.LAPACKNormEstimator.ConditionEstimate.Bounds	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	NumStability.Ch15.boydConstrainedLagrangianFirst_hasDerivAt	public	theorem	1	NumStability.Source.Higham.Chapter15.Section02.Boyd.LocalConvergence.ConstrainedLagrangian.Differentiation	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	NumStability.Ch15.boydConstrainedLagrangianLine_hasDerivAt	public	theorem	2	NumStability.Source.Higham.Chapter15.Section02.Boyd.LocalConvergence.ConstrainedLagrangian.Differentiation	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	NumStability.Ch15.boydConstrainedSecondVariation_is_second_derivative	public	theorem	3	NumStability.Source.Higham.Chapter15.Section02.Boyd.LocalConvergence.ConstrainedLagrangian.Differentiation	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	_private.NumStability.Algorithms.HighamChapter15BoydConcreteLemma3.0.NumStability.Ch15.boyd_weight_exponents_cancel	private	theorem	4	NumStability.Source.Higham.Chapter15.Section02.Boyd.LocalConvergence.ConstrainedLagrangian.Differentiation	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	_private.NumStability.Algorithms.HighamChapter15BoydConcreteLemma3.0.NumStability.Ch15.hasDerivAt_abs_rpow_affine	private	theorem	5	NumStability.Source.Higham.Chapter15.Section02.Boyd.LocalConvergence.ConstrainedLagrangian.Differentiation	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	_private.NumStability.Algorithms.HighamChapter15BoydConcreteLemma3.0.NumStability.Ch15.hasDerivAt_gradientFactor_affine	private	theorem	6	NumStability.Source.Higham.Chapter15.Section02.Boyd.LocalConvergence.ConstrainedLagrangian.Differentiation	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydScalar	NumStability.Ch15.boydScalar_basis_mem_carrier	public	theorem	1	NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ScalarCase.Iteration	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydScalar	NumStability.Ch15.boydScalar_carrier_eq_basis	public	theorem	2	NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ScalarCase.Iteration	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydScalar	NumStability.Ch15.boydScalar_xnext_basis_eq	public	theorem	3	NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ScalarCase.Iteration	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydScalar	NumStability.Ch15.boydScalar_xnext_basis_nonneg	public	theorem	4	NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ScalarCase.Iteration	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydScalar	NumStability.Ch15.boydScalar_xseq_basis_eq	public	theorem	5	NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ScalarCase.Iteration	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydScalar	NumStability.Ch15.boydScalar_zof_basis_nonneg	public	theorem	6	NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ScalarCase.Iteration	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydScalar	NumStability.Ch15.higham15_boyd_global_of_nonnegative_irreducibleGram_all_dimensions	public	theorem	7	NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ScalarCase.Iteration	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydScalar	NumStability.Ch15.higham15_boyd_global_scalar	public	theorem	8	NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ScalarCase.Iteration	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydScalar	_private.NumStability.Algorithms.HighamChapter15BoydScalar.0.NumStability.Ch15.scalarBasis	private	definition	9	NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ScalarCase.Iteration	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydSourceClosure	NumStability.Ch15.IsBoydConcreteSourceStrongLocalMaximum.hasActualSecondDerivativeGap	public	theorem	1	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.StrongLocalMaximum.Convergence	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydSourceClosure	NumStability.Ch15.higham15_boyd_source_linear_of_strongLocalMaximum_subsequentialLimit	public	theorem	2	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.StrongLocalMaximum.Convergence	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydSourceClosure	NumStability.Ch15.rect_general_boyd_concrete_source_local_linear	public	theorem	3	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.StrongLocalMaximum.Convergence	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydSourceClosure	NumStability.Ch15.rect_general_boyd_concrete_source_local_linear_uniform	public	theorem	4	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.StrongLocalMaximum.Convergence	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative	NumStability.Ch15.boydConstrainedLagrangianFirst_hasDerivAt_rowwise_source_domain	public	theorem	1	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.SecondDerivative.Rowwise	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative	NumStability.Ch15.boydConstrainedSecondVariation_is_second_derivative_rowwise_source_domain	public	theorem	2	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.SecondDerivative.Rowwise	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative	_private.NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative.0.NumStability.Ch15.hasDerivAt_gradientFactor_affine_of_ne	private	theorem	3	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.SecondDerivative.Rowwise	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative	_private.NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative.0.NumStability.Ch15.hasDerivAt_gradientFactor_affine_of_two_le	private	theorem	4	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.SecondDerivative.Rowwise	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	NumStability.RectPNormPair.higham15_rectangular_infinity_counterexample_stops_at_four	public	theorem	1	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	NumStability.RectPNormPair.higham15_rectangular_infinity_n_plus_one_source_discrepancy	public	theorem	2	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleX1	private	definition	3	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleX2	private	definition	4	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleX3	private	definition	5	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleX4	private	definition	6	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY0	private	definition	7	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY1	private	definition	8	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY2	private	definition	9	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY3	private	definition	10	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY4	private	definition	11	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ0	private	definition	12	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ1	private	definition	13	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ2	private	definition	14	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ3	private	definition	15	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ4	private	definition	16	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
