record_kind	direction	consumer_module	consumer_path	consumer_scope	consumer_wave	target_wave	target_owner	relation	edge_kind	source_declaration	targets	witness	details
common_direct_project_dependency		NumStability.Algorithms.MatVec	NumStability/Algorithms/MatVec.lean	already_complete	-	R03+R07		direct_dependency			R03:NumStability.Algorithms.LinearSystems.IterativeRefinement.Core;NumStability.Source.Higham.Chapter12.IterativeRefinement.Chapter12Bounds;NumStability.Source.Higham.Chapter12.IterativeRefinement.LegacyChapter11Surface|R07:NumStability.Algorithms.MatrixPowers		r03_owner_count=3;r07_owner_count=1
common_direct_project_dependency		NumStability.Algorithms.PolynomialEvaluation.MatrixNorms	NumStability/Algorithms/PolynomialEvaluation/MatrixNorms.lean	already_complete	-	R03+R07		direct_dependency			R03:NumStability.Algorithms.Horner|R07:NumStability.Algorithms.MatrixPowers		r03_owner_count=1;r07_owner_count=1
common_direct_project_dependency		NumStability.Analysis.Conditioning.DistanceToSingularity	NumStability/Analysis/Conditioning/DistanceToSingularity.lean	already_complete	-	R03+R07		direct_dependency			R03:NumStability.Analysis.HighamChapter7;NumStability.Source.Higham.Chapter06.Theorem05.DistanceToSingularity.Chapter07Equation26|R07:NumStability.Analysis.MatrixPowersBaiDemmelGuDistance		r03_owner_count=2;r07_owner_count=1
common_direct_project_dependency		NumStability.Analysis.MatrixAlgebra	NumStability/Analysis/MatrixAlgebra.lean	already_complete	-	R03+R07		direct_dependency			R03:NumStability.Algorithms.Horner;NumStability.Algorithms.LinearSystems.IterativeRefinement.Core;NumStability.Analysis.InstabilityWithoutCancellation;NumStability.Analysis.SampleVariance;NumStability.Source.Higham.Chapter08.Equation15.GlobalEnvelopeCounterexample.RawCube;NumStability.Source.Higham.Chapter12.IterativeRefinement.Chapter12Bounds;NumStability.Source.Higham.Chapter12.IterativeRefinement.LegacyChapter11Surface|R07:NumStability.Algorithms.MatrixPowers;NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge;NumStability.Analysis.CStarMatrixBridge		r03_owner_count=7;r07_owner_count=3
common_direct_project_dependency		NumStability.Analysis.MatrixNorms.Basic	NumStability/Analysis/MatrixNorms/Basic.lean	already_complete	-	R03+R07		direct_dependency			R03:NumStability.Source.Higham.Chapter06.Theorem05.DistanceToSingularity.Chapter07Equation26|R07:NumStability.Algorithms.MatrixPowersComplex;NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.KreissBridge		r03_owner_count=1;r07_owner_count=2
common_direct_project_dependency		NumStability.Analysis.MatrixNorms.SpectralRadius	NumStability/Analysis/MatrixNorms/SpectralRadius.lean	already_complete	-	R03+R07		direct_dependency			R03:NumStability.Analysis.HighamChapter7;NumStability.Source.Higham.Chapter06.Theorem05.DistanceToSingularity.Chapter07Equation26|R07:NumStability.Algorithms.MatrixPowersPseudospectral		r03_owner_count=2;r07_owner_count=1
common_direct_project_dependency		NumStability.Analysis.Rounding	NumStability/Analysis/Rounding.lean	already_complete	-	R03+R07		direct_dependency			R03:NumStability.Algorithms.Ch5SourceClosure;NumStability.Algorithms.Horner;NumStability.Algorithms.LU.Doolittle;NumStability.Algorithms.LinearSystems.IterativeRefinement.Core;NumStability.Algorithms.LinearSystems.LU.Doolittle.BackwardError;NumStability.Algorithms.LinearSystems.LU.Doolittle.Basic;NumStability.Algorithms.LinearSystems.LU.Doolittle.Budgets;NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates;NumStability.Algorithms.LinearSystems.LU.Doolittle.RoundedEntries;NumStability.Algorithms.Summation.Tree.ArbitraryOrderError.PivotNormalized;NumStability.Analysis.AccuracyTests;NumStability.Analysis.CancellationOfRoundingErrors;NumStability.Source.Higham.Chapter08.Section03.TriangularSystems.ArbitraryOrder;NumStability.Source.Higham.Chapter12.IterativeRefinement.Chapter12Bounds;NumStability.Source.Higham.Chapter12.IterativeRefinement.LegacyChapter11Surface|R07:NumStability.Algorithms.MatrixPowers		r03_owner_count=15;r07_owner_count=1
owner_reachability	R03->R07	NumStability.Algorithms.Ch5DerivativeError	NumStability/Algorithms/Ch5DerivativeError.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Algorithms.Ch5DerivativeError -> NumStability.Algorithms.Horner -> NumStability.Algorithms.PolynomialEvaluation.MatrixNorms -> NumStability.Algorithms.MatMul -> NumStability.Algorithms.MatVec -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=8
owner_reachability	R03->R07	NumStability.Algorithms.Ch5SourceClosure	NumStability/Algorithms/Ch5SourceClosure.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Algorithms.Ch5SourceClosure -> NumStability.Source.Higham.Chapter05.Section03.NewtonEvaluation.Basic -> NumStability.Algorithms.MatMul -> NumStability.Algorithms.MatVec -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=7
owner_reachability	R03->R07	NumStability.Algorithms.Higham5FastPolynomialEvaluation	NumStability/Algorithms/Higham5FastPolynomialEvaluation.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Algorithms.Higham5FastPolynomialEvaluation -> NumStability.Algorithms.Horner -> NumStability.Algorithms.PolynomialEvaluation.MatrixNorms -> NumStability.Algorithms.MatMul -> NumStability.Algorithms.MatVec -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=8
