owner_module	path	base_blob_oid	current_tier	debt_flags	declaration_count	semantic_classification	destination_modules	compatibility_action	split_rationale	dependency_rationale	review_status
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability/Algorithms/LinearSystems/LeastSquares/Equality/Basic.lean	227d2fe497fac8bb191785335a4151f4502a1da8	source	-	388	retain_document	-	retained with review documentation	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	NumStability/Algorithms/LinearSystems/Underdetermined/QR/Givens/StoredReplay/Closure.lean	544e87447d31c51de52d683c9e2df2ac66b664be	reusable	noncanonical_modules	48	relocate_whole	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.EndToEnd.Core	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.ForwardError.ActualOutput	NumStability/Algorithms/LinearSystems/Underdetermined/SeminormalEquations/ForwardError/ActualOutput.lean	76ec3be0431d00fcf272a4ff49458110b2e4e052	reusable	noncanonical_modules	6	relocate_whole	NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.ForwardError.ComputedOutput.Core	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.HouseholderClosure.Closure	NumStability/Algorithms/LinearSystems/Underdetermined/SeminormalEquations/HouseholderClosure/Closure.lean	e99fd65835b77e3bb248cdd8b255132cc596c1cf	reusable	noncanonical_modules	15	relocate_whole	NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.Householder.EndToEnd	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.HouseholderClosure.Uniform	NumStability/Algorithms/LinearSystems/Underdetermined/SeminormalEquations/HouseholderClosure/Uniform.lean	41290e05db5784032832f633a0e8c8956f71c276	reusable	noncanonical_modules	4	relocate_whole	NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.Householder.Uniform	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21	NumStability/Algorithms/Underdetermined/Higham21.lean	1b72f8aa06a16037a96e30148f144ce4dc8cd990	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21Attainability	NumStability/Algorithms/Underdetermined/Higham21Attainability.lean	41353f77b26c5e0388a993a54f34ff9096223e95	unclassified	noncanonical_modules;unclassified_modules	11	relocate_whole	NumStability.Source.Higham.Chapter21.Attainability.Results	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21Eq21_11Uniform	NumStability/Algorithms/Underdetermined/Higham21Eq21_11Uniform.lean	e15597feaf7f81868d8a498af04bbc806c91e9a3	unclassified	noncanonical_modules;unclassified_modules	20	relocate_whole	NumStability.Source.Higham.Chapter21.Equation11.UniformEnvelope.Core	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21Eq21_8	NumStability/Algorithms/Underdetermined/Higham21Eq21_8.lean	dbc793b02480d0509f85ac9d57afea3d2ab501fd	unclassified	noncanonical_modules;unclassified_modules	1	relocate_whole	NumStability.Source.Higham.Chapter21.Equation08.Results.Core	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21Eq21_9	NumStability/Algorithms/Underdetermined/Higham21Eq21_9.lean	c8c8daf39f541e3b1fc5df5c26c6aa8629369c30	unclassified	noncanonical_modules;unclassified_modules	10	relocate_whole	NumStability.Source.Higham.Chapter21.Equation09.Results.Core	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21Equation21_11	NumStability/Algorithms/Underdetermined/Higham21Equation21_11.lean	aef244a7d0b215fdf742c2faed1abe1c55c36831	unclassified	noncanonical_modules;unclassified_modules	2	relocate_whole	NumStability.Source.Higham.Chapter21.Equation11.Results.Core	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
