aggregate_module	new_child_module	representative_public_declaration	integration_build_target
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis	NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	NumStability.fl_cholesky_pivots_pos_sharp_certified	NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis
NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite	NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.KahanTelescope.Identity	NumStability.kahanR_tail_eq	NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite
NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite	NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.PivotedFactorization.Existence	NumStability.spd_pivoted_cholesky	NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite
NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite	NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.StageEmbedding.InteriorMass	NumStability.stage_interior_mass_from_full	NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite
NumStability.Analysis.MatrixNorms.SpectralExtrema	NumStability.Analysis.MatrixNorms.SpectralExtrema.PrincipalSubmatrices.Bounds	NumStability.finiteMaxEigenvalue_leading_principal_le	NumStability.Analysis.MatrixNorms.SpectralExtrema
NumStability.Source.Higham.Chapter10.Equation29.Mathias	NumStability.Source.Higham.Chapter10.Equation29.Mathias.RoundedSchur.Bounds	NumStability.higham10_mathias_flSchur_runsToCompletion	NumStability.Source.Higham.Chapter10.Equation29.Mathias
NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite	NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	NumStability.higham10_30_complexPositiveDefinite_exists_noPivotLU	NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite
NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness	NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.OperatorNorm.SourceBound	NumStability.higham10KahanW_op2_eq_product	NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness
NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness	NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.UnboundedGrowth.Construction	NumStability.higham10_18_isPosSemiDef	NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness
NumStability.Source.Higham.Chapter10.Problem01.PositiveSemidefiniteEntries	NumStability.Source.Higham.Chapter10.Problem01.PositiveSemidefiniteEntries.EntryBounds.Results	NumStability.psd_abs_entry_le_sqrt_diag	NumStability.Source.Higham.Chapter10.Problem01.PositiveSemidefiniteEntries
NumStability.Source.Higham.Chapter10.Problem04.UnpivotedGrowth	NumStability.Source.Higham.Chapter10.Problem04.UnpivotedGrowth.PositivePivots.Bounds	NumStability.higham10_problem_10_4_unpivoted_ge_positive_pivots_and_growth	NumStability.Source.Higham.Chapter10.Problem04.UnpivotedGrowth
NumStability.Source.Higham.Chapter10.Section01.Factorization	NumStability.Source.Higham.Chapter10.Section01.Factorization.ExistenceUniqueness.Results	NumStability.higham10_1_cholesky_existence	NumStability.Source.Higham.Chapter10.Section01.Factorization
NumStability.Source.Higham.Chapter10.Section02.ErrorAnalysis	NumStability.Source.Higham.Chapter10.Section02.ErrorAnalysis.FactorizationAndSolve.Bounds	NumStability.higham10_3_fl_cholesky_certificate	NumStability.Source.Higham.Chapter10.Section02.ErrorAnalysis
NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite	NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.ConstructiveFactorization.Existence	NumStability.psd_cholesky_existence	NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite
NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite	NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.PivotingAndScaling.Results	NumStability.higham10_9_psd_cholesky_existence	NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite
NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite	NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.QuadraticFormBounds.WeightedNorm	NumStability.psd_quadForm_le_trace	NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite
NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite	NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.TrailingTermination.Bound	NumStability.fl_cp_termination_trailing_bound	NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite
NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart	NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.LUGrowth.Equation29	NumStability.higham10_29_source_lu_growth_bound	NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart
NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart	NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.SchurStages.Bounds	NumStability.higham10_29_stage_operator_le	NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart
NumStability.Source.Higham.Chapter10.Theorem06.RoundedCholesky	NumStability.Source.Higham.Chapter10.Theorem06.RoundedCholesky.ForwardError.ActualAlgorithm	NumStability.higham10_6_actual_source_closed	NumStability.Source.Higham.Chapter10.Theorem06.RoundedCholesky
NumStability.Source.Higham.Chapter10.Theorem08.ComponentwisePerturbation	NumStability.Source.Higham.Chapter10.Theorem08.ComponentwisePerturbation.NormalizedResolvent.SourceBound	NumStability.higham10_8_normalized_componentwise_resolvent	NumStability.Source.Higham.Chapter10.Theorem08.ComponentwisePerturbation
NumStability.Source.Higham.Chapter10.Theorem08.NormwiseDiscrepancy	NumStability.Source.Higham.Chapter10.Theorem08.NormwiseDiscrepancy.Counterexample.Uniqueness	NumStability.higham10_8_counterRhat_unique	NumStability.Source.Higham.Chapter10.Theorem08.NormwiseDiscrepancy
NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualComputation.ErrorBounds	NumStability.higham10_14_completePivotedPSD_actual_source_closed	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD
