destination	tier	owner	root_import_order	root_lean_import_line	frontier_lean_import_line	expansion_depth	expansion_path	disposition	final_import_present
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	reusable	NumStability.Algorithms.HighamChapter10	1	import Mathlib.Data.Complex.Basic	import Mathlib.Data.Complex.Basic	0	Mathlib.Data.Complex.Basic	preserved_direct	1
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	reusable	NumStability.Algorithms.HighamChapter10	2	import NumStability.Algorithms.Cholesky.CholeskyDemmel	import NumStability.Algorithms.Cholesky.CholeskyDemmel	0	NumStability.Algorithms.Cholesky.CholeskyDemmel	preserved_direct	1
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	reusable	NumStability.Algorithms.HighamChapter10	3	import NumStability.Algorithms.Cholesky.CholeskyFl	import NumStability.Algorithms.Cholesky.CholeskyFl	0	NumStability.Algorithms.Cholesky.CholeskyFl	preserved_direct	1
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	reusable	NumStability.Algorithms.HighamChapter10	4	import NumStability.Algorithms.Cholesky.CholeskyNonsym	import NumStability.Algorithms.Cholesky.CholeskyNonsym	0	NumStability.Algorithms.Cholesky.CholeskyNonsym	preserved_direct	1
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	reusable	NumStability.Algorithms.HighamChapter10	5	import NumStability.Algorithms.Cholesky.CholeskyPSD	import Mathlib.Algebra.BigOperators.Field	1	NumStability.Algorithms.Cholesky.CholeskyPSD -> Mathlib.Algebra.BigOperators.Field	preserved_recursive	1
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	reusable	NumStability.Algorithms.HighamChapter10	5	import NumStability.Algorithms.Cholesky.CholeskyPSD	import Mathlib.Algebra.BigOperators.Group.Finset.Basic	1	NumStability.Algorithms.Cholesky.CholeskyPSD -> Mathlib.Algebra.BigOperators.Group.Finset.Basic	preserved_recursive	1
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	reusable	NumStability.Algorithms.HighamChapter10	5	import NumStability.Algorithms.Cholesky.CholeskyPSD	import Mathlib.Algebra.Order.BigOperators.Group.Finset	1	NumStability.Algorithms.Cholesky.CholeskyPSD -> Mathlib.Algebra.Order.BigOperators.Group.Finset	preserved_recursive	1
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	reusable	NumStability.Algorithms.HighamChapter10	5	import NumStability.Algorithms.Cholesky.CholeskyPSD	import Mathlib.Data.Real.Basic	1	NumStability.Algorithms.Cholesky.CholeskyPSD -> Mathlib.Data.Real.Basic	preserved_recursive	1
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	reusable	NumStability.Algorithms.HighamChapter10	5	import NumStability.Algorithms.Cholesky.CholeskyPSD	import Mathlib.Data.Real.Sqrt	1	NumStability.Algorithms.Cholesky.CholeskyPSD -> Mathlib.Data.Real.Sqrt	preserved_recursive	1
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	reusable	NumStability.Algorithms.HighamChapter10	5	import NumStability.Algorithms.Cholesky.CholeskyPSD	import Mathlib.LinearAlgebra.Matrix.Block	1	NumStability.Algorithms.Cholesky.CholeskyPSD -> Mathlib.LinearAlgebra.Matrix.Block	preserved_recursive	1
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	reusable	NumStability.Algorithms.HighamChapter10	5	import NumStability.Algorithms.Cholesky.CholeskyPSD	import Mathlib.LinearAlgebra.Matrix.NonsingularInverse	1	NumStability.Algorithms.Cholesky.CholeskyPSD -> Mathlib.LinearAlgebra.Matrix.NonsingularInverse	preserved_recursive	1
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	reusable	NumStability.Algorithms.HighamChapter10	5	import NumStability.Algorithms.Cholesky.CholeskyPSD	import Mathlib.LinearAlgebra.Matrix.Rank	1	NumStability.Algorithms.Cholesky.CholeskyPSD -> Mathlib.LinearAlgebra.Matrix.Rank	preserved_recursive	1
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	reusable	NumStability.Algorithms.HighamChapter10	5	import NumStability.Algorithms.Cholesky.CholeskyPSD	import Mathlib.Tactic.FieldSimp	1	NumStability.Algorithms.Cholesky.CholeskyPSD -> Mathlib.Tactic.FieldSimp	preserved_recursive	1
