historical_module	c0004_transitive_dependency	c0004_distance	postmove_status	proof
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability.Algorithms.Cholesky.CholeskySpec	1	retained	direct_import_set_superset
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability.Algorithms.DotProduct	4	retained	direct_import_set_superset
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability.Algorithms.LU.GaussianElimination	1	retained	direct_import_set_superset
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability.Algorithms.LU.GrowthFactor	2	retained	direct_import_set_superset
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability.Algorithms.LU.LUSolve	3	retained	direct_import_set_superset
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability.Algorithms.LinearSystems.Cholesky.Factorization.Spec	2	retained	direct_import_set_superset
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.Basic	1	retained	direct_import_set_superset
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability.Algorithms.LinearSystems.Triangular.BackSubstitution	4	retained	direct_import_set_superset
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability.Algorithms.LinearSystems.Triangular.ForwardSubstitution	4	retained	direct_import_set_superset
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability.Algorithms.MatMul	2	retained	direct_import_set_superset
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability.Algorithms.MatVec	3	retained	direct_import_set_superset
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability.Algorithms.OuterProduct	2	retained	direct_import_set_superset
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	7	retained	direct_import_set_superset
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability.Analysis.CStarMatrices.Expectation.Finite	7	retained	direct_import_set_superset
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability.Analysis.CStarMatrices.Trace.Basic	7	retained	direct_import_set_superset
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability.Analysis.Error.Measures.Componentwise	5	retained	direct_import_set_superset
