declaration	owner_module	visibility	selected_owner	closure_role
NumStability.Ch14Ext.Ch14Problem142Method1BFamilyDerivation.right_residual_family	NumStability.Algorithms.Ch14Problem142Families	public	yes	reverse_dependent
NumStability.Ch14Ext.Ch14Problem142Method2CFamilyDerivation.left_residual_family	NumStability.Algorithms.Ch14Problem142Families	public	yes	reverse_dependent
NumStability.Ch14Ext.Higham14Problem142Method1BDerivation.right_residual_firstOrder	NumStability.Algorithms.Ch14Problem142	public	yes	reverse_dependent
NumStability.Ch14Ext.Higham14Problem142Method2CDerivation.left_residual_firstOrder	NumStability.Algorithms.Ch14Problem142	public	yes	reverse_dependent
NumStability.Ch14Ext.ch14ext_cor146FinalizedForwardAbsoluteRemainder_family_isBigO_u_sq	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	public	yes	reverse_dependent
NumStability.Ch14Ext.ch14ext_cor146FinalizedForwardRelativeRemainder_family_isBigO_u_sq	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	public	yes	reverse_dependent
NumStability.Ch14Ext.ch14ext_cor146FinalizedForwardTerminal_family_isBigO_u_sq	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	public	yes	reverse_dependent
NumStability.Ch14Ext.ch14ext_cor146FinalizedResidualExactNormCorrection_family_isBigO_u_sq	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	public	yes	reverse_dependent
NumStability.Ch14Ext.ch14ext_cor146FinalizedResidualPrintedRemainder_family_isBigO_u_sq	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	public	yes	reverse_dependent
NumStability.Ch14Ext.ch14ext_cor146FinalizedResidualRemainder_family_isBigO_u_sq	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	public	yes	reverse_dependent
NumStability.Ch14Ext.ch14ext_cor146FinalizedResidualTerminal_family_isBigO_u_sq	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	public	yes	reverse_dependent
