baseline_owner_module	baseline_declaration_name	visibility	kind	projection_order	source_ordinal	destination_module	route_class	normalization_decision
NumStability.Analysis.BergerGeneral	NumStability.norm_pow_le_two_mul_numericalRadius_pow	public	theorem	0	9	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers	relocate_whole	-
NumStability.Analysis.BergerGeneral	NumStability.numericalRadiusCLM_pow_le	public	theorem	1	7	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers	relocate_whole	-
NumStability.Analysis.BergerGeneral	NumStability.numericalRadiusCLM_pow_le_one_of_le_one	public	theorem	2	6	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers	relocate_whole	-
NumStability.Analysis.BergerGeneral	NumStability.numericalRadiusCLM_pow_pointwise_le_of_le_one	public	theorem	3	5	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers	relocate_whole	-
NumStability.Analysis.BergerGeneral	NumStability.numericalRadius_pow_le	public	theorem	4	8	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers	relocate_whole	-
NumStability.Analysis.BergerGeneral	_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_smul_pow	private	theorem	5	4	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers	relocate_whole	rename:_private.NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers.0.NumStability.bergerGeneral_smul_pow
NumStability.Analysis.BergerGeneral	_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_sum_p	private	theorem	6	3	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers	relocate_whole	rename:_private.NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers.0.NumStability.bergerGeneral_sum_p
NumStability.Analysis.BergerGeneral	_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_telescoping	private	theorem	7	2	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers	relocate_whole	rename:_private.NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers.0.NumStability.bergerGeneral_telescoping
NumStability.Analysis.BergerGeneral	_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_unit_root	private	theorem	8	1	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers	relocate_whole	rename:_private.NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers.0.NumStability.bergerGeneral_unit_root
NumStability.Analysis.BergerGeneral	_private.NumStability.Analysis.BergerGeneral.0.NumStability.term𝔼	private	definition	9	0	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers	relocate_whole	rename:_private.NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers.0.NumStability.term𝔼
NumStability.Analysis.BergerInequality	_private.NumStability.Analysis.BergerInequality.0.NumStability.term𝔼	private	definition	0	0	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.Internal.HermitianEuclideanSpaceNotation	relocate_whole	rename:_private.NumStability.Analysis.LinearOperators.NumericalRadius.Berger.Internal.HermitianEuclideanSpaceNotation.0.NumStability.term𝔼
NumStability.Analysis.BergerResolvent	NumStability.norm_apply_sq_add_norm_inner_sq_le	public	theorem	0	3	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo	relocate_whole	-
NumStability.Analysis.BergerResolvent	NumStability.norm_pow_two_le_two_mul_numericalRadius_sq	public	theorem	1	9	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo	relocate_whole	-
NumStability.Analysis.BergerResolvent	NumStability.numericalRadiusCLM_pow_two_le	public	theorem	2	5	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo	relocate_whole	-
NumStability.Analysis.BergerResolvent	NumStability.numericalRadiusCLM_pow_two_le_one_of_le_one	public	theorem	3	4	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo	relocate_whole	-
NumStability.Analysis.BergerResolvent	NumStability.numericalRadiusCLM_pow_two_pow_le	public	theorem	4	8	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo	relocate_whole	-
NumStability.Analysis.BergerResolvent	NumStability.numericalRadius_pow_two_le	public	theorem	5	6	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo	relocate_whole	-
NumStability.Analysis.BergerResolvent	NumStability.numericalRadius_pow_two_pow_le	public	theorem	6	7	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo	relocate_whole	-
NumStability.Analysis.BergerResolvent	_private.NumStability.Analysis.BergerResolvent.0.NumStability.exists_unit_sq_mul	private	theorem	7	1	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo	relocate_whole	rename:_private.NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo.0.NumStability.exists_unit_sq_mul
NumStability.Analysis.BergerResolvent	_private.NumStability.Analysis.BergerResolvent.0.NumStability.inner_diag_diff	private	theorem	8	2	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo	relocate_whole	rename:_private.NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo.0.NumStability.inner_diag_diff
NumStability.Analysis.BergerResolvent	_private.NumStability.Analysis.BergerResolvent.0.NumStability.term𝔼	private	definition	9	0	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo	relocate_whole	rename:_private.NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo.0.NumStability.term𝔼
