module	path	base_blob_oid	current_tier	debt_flags	phase_scope	lane_id	wave_id	planned_actions	rationale
NumStability.Algorithms.MatrixPowers	NumStability/Algorithms/MatrixPowers.lean	27a5dbd3027e045b19a2587ae466fb8cb8ff3f9f	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;document;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Algorithms.MatrixPowersComplex	NumStability/Algorithms/MatrixPowersComplex.lean	4cdcee5758a6e242c6fe1e43df5576f8f611c86d	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;document;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Algorithms.MatrixPowersJordan	NumStability/Algorithms/MatrixPowersJordan.lean	2de1c582f428c0b9eeb306fbf386ae2a99019a33	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;document;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Algorithms.MatrixPowersLp	NumStability/Algorithms/MatrixPowersLp.lean	ae615b79485e5246f08b8b3ea9a6f6d586b3909d	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;document;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Algorithms.MatrixPowersLpJordan	NumStability/Algorithms/MatrixPowersLpJordan.lean	8dfc90102dcd524feea6f2e446dc461e6300ccb6	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;document;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Algorithms.MatrixPowersPseudospectral	NumStability/Algorithms/MatrixPowersPseudospectral.lean	f695567e81b76a4d8da5e21d6773344743603fc4	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;document;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Algorithms.MatrixPowersPseudospectralCriterion	NumStability/Algorithms/MatrixPowersPseudospectralCriterion.lean	bb6e64d4f63518fec3504001627342b5855abb13	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;document;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Algorithms.MatrixPowersSpectral	NumStability/Algorithms/MatrixPowersSpectral.lean	215e3df31a20e159daccb71fdd333266bb249160	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;document;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.BergerGeneral	NumStability/Analysis/BergerGeneral.lean	aa447e9b3c5ee731062c6ee25d85335134c729f2	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.BergerInequality	NumStability/Analysis/BergerInequality.lean	5be00dcefe5a546a674716a42a02b49229be12bf	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.BergerResolvent	NumStability/Analysis/BergerResolvent.lean	a77f98344644f508c0b114085f799bb8fcbfe5b7	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	reusable	noncanonical_modules	in_scope	codex-lane	R07	rename	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.CStarMatrixBridge	NumStability/Analysis/CStarMatrixBridge.lean	fb1650665f83c559c4e5eddf0ba4c4609a5b07a6	unclassified	noncanonical_modules;unclassified_modules	in_scope	codex-lane	R07	classify;migrate;rename;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.CStarMatrixExpectation	NumStability/Analysis/CStarMatrixExpectation.lean	071ce761d8bf5aeea364b1b8b4cca5257777f7c1	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.CStarMatrixTrace	NumStability/Analysis/CStarMatrixTrace.lean	31170df8844307ff79927478b05fb20d606e16b4	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.DunfordResidue	NumStability/Analysis/DunfordResidue.lean	24baf154ab274ed27b5d0b61a930ed986ba693aa	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.HenriciExtremal	NumStability/Analysis/HenriciExtremal.lean	a2cf4169bcf1598b2452ec65245d4f66bcd60024	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.HenriciSharpConstant	NumStability/Analysis/HenriciSharpConstant.lean	02ec7f58ae7f069c0bca602bac66e6d2a9fc3335	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.HenriciSharpConstantExact	NumStability/Analysis/HenriciSharpConstantExact.lean	b71b93d9fd2bd971c9e103e19885d82414c358ee	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.JordanNormalForm	NumStability/Analysis/JordanNormalForm.lean	756223f451bb007d40417cf119a51071956b2cd9	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.LiebTrace	NumStability/Analysis/LiebTrace.lean	6aaed132214daa231ef4e8746fc4be2657071441	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
