owner_module	path	base_blob_oid	baseline_declaration_name	ilean_path	ilean_sha256	ilean_root	source_ordinal	start_line_0	start_column_0	end_line_0	end_column_0	selection_start_line_0	selection_start_column_0	selection_end_line_0	selection_end_column_0	command_sha256
NumStability.Analysis.BergerGeneral	NumStability/Analysis/BergerGeneral.lean	aa447e9b3c5ee731062c6ee25d85335134c729f2	_private.NumStability.Analysis.BergerGeneral.0.NumStability.term𝔼	NumStability/Analysis/BergerGeneral.ilean	4EC68F5874C95EB80F9FA5E60A7140E52CA51E34423106969F7C63A8D5C84CA7	_private.NumStability.Analysis.BergerGeneral.0.NumStability._aux_NumStability_Analysis_BergerGeneral___macroRules__private_NumStability_Analysis_BergerGeneral_0_NumStability_term𝔼_1	0	109	0	109	47	109	0	109	47	77F44725CC92DEB7D2CEF6DE4874B92B44335B3E45DE82693FA73EC68D864854
NumStability.Analysis.BergerGeneral	NumStability/Analysis/BergerGeneral.lean	aa447e9b3c5ee731062c6ee25d85335134c729f2	_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_unit_root	NumStability/Analysis/BergerGeneral.ilean	4EC68F5874C95EB80F9FA5E60A7140E52CA51E34423106969F7C63A8D5C84CA7	_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_unit_root	1	115	0	143	32	123	16	123	39	071345BA5F53E387D76C137B544292DB158447AC20864BC8C47F1054E7133C51
NumStability.Analysis.BergerGeneral	NumStability/Analysis/BergerGeneral.lean	aa447e9b3c5ee731062c6ee25d85335134c729f2	_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_telescoping	NumStability/Analysis/BergerGeneral.ilean	4EC68F5874C95EB80F9FA5E60A7140E52CA51E34423106969F7C63A8D5C84CA7	_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_telescoping	2	145	0	170	5	153	16	153	41	45899C0C01CD62D3C9AB950A86FE92B0BEC59A995B59245997F214386E1BD508
NumStability.Analysis.BergerGeneral	NumStability/Analysis/BergerGeneral.lean	aa447e9b3c5ee731062c6ee25d85335134c729f2	_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_sum_p	NumStability/Analysis/BergerGeneral.ilean	4EC68F5874C95EB80F9FA5E60A7140E52CA51E34423106969F7C63A8D5C84CA7	_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_sum_p	3	172	0	211	30	180	16	180	35	35F9B7FA54D0508B3B5E89180864E9865142EE5660CF2DB83FEFCD8D22E0DF7C
NumStability.Analysis.BergerGeneral	NumStability/Analysis/BergerGeneral.lean	aa447e9b3c5ee731062c6ee25d85335134c729f2	_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_smul_pow	NumStability/Analysis/BergerGeneral.ilean	4EC68F5874C95EB80F9FA5E60A7140E52CA51E34423106969F7C63A8D5C84CA7	_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_smul_pow	4	213	0	226	13	217	16	217	38	B9D213511D30DC287BC686A4B6B47F10560E407F78237CA969122C0F989AABFE
NumStability.Analysis.BergerGeneral	NumStability/Analysis/BergerGeneral.lean	aa447e9b3c5ee731062c6ee25d85335134c729f2	NumStability.numericalRadiusCLM_pow_pointwise_le_of_le_one	NumStability/Analysis/BergerGeneral.ilean	4EC68F5874C95EB80F9FA5E60A7140E52CA51E34423106969F7C63A8D5C84CA7	NumStability.numericalRadiusCLM_pow_pointwise_le_of_le_one	5	232	0	309	16	244	8	244	53	336BE5268E4F28D71A37D100747D44D08F437980E4DD98C8563FB849ED9F323B
NumStability.Analysis.BergerGeneral	NumStability/Analysis/BergerGeneral.lean	aa447e9b3c5ee731062c6ee25d85335134c729f2	NumStability.numericalRadiusCLM_pow_le_one_of_le_one	NumStability/Analysis/BergerGeneral.ilean	4EC68F5874C95EB80F9FA5E60A7140E52CA51E34423106969F7C63A8D5C84CA7	NumStability.numericalRadiusCLM_pow_le_one_of_le_one	6	311	0	321	65	314	8	314	47	7FAA167F0FA9F086411F3DCC4B976C3B89549C155B195DDFDA004C8D43FE40BE
NumStability.Analysis.BergerGeneral	NumStability/Analysis/BergerGeneral.lean	aa447e9b3c5ee731062c6ee25d85335134c729f2	NumStability.numericalRadiusCLM_pow_le	NumStability/Analysis/BergerGeneral.ilean	4EC68F5874C95EB80F9FA5E60A7140E52CA51E34423106969F7C63A8D5C84CA7	NumStability.numericalRadiusCLM_pow_le	7	323	0	403	16	333	8	333	33	4908CF9B3FEA4334B0FB5514F708101CD66DD237A92B9490D89F65F7DEDD3DF1
NumStability.Analysis.BergerGeneral	NumStability/Analysis/BergerGeneral.lean	aa447e9b3c5ee731062c6ee25d85335134c729f2	NumStability.numericalRadius_pow_le	NumStability/Analysis/BergerGeneral.ilean	4EC68F5874C95EB80F9FA5E60A7140E52CA51E34423106969F7C63A8D5C84CA7	NumStability.numericalRadius_pow_le	8	409	0	421	37	418	8	418	30	6F9A2F29A2A16DCB6BCEBFB0C6906C0CC663E529B423D1EF0E9004B998CD9530
NumStability.Analysis.BergerGeneral	NumStability/Analysis/BergerGeneral.lean	aa447e9b3c5ee731062c6ee25d85335134c729f2	NumStability.norm_pow_le_two_mul_numericalRadius_pow	NumStability/Analysis/BergerGeneral.ilean	4EC68F5874C95EB80F9FA5E60A7140E52CA51E34423106969F7C63A8D5C84CA7	NumStability.norm_pow_le_two_mul_numericalRadius_pow	9	423	0	435	80	433	8	433	47	C4272BE5DA8D0C6CC997DED6EB57761CBC45C20ED145DDED544EE3130573C5A4
NumStability.Analysis.BergerInequality	NumStability/Analysis/BergerInequality.lean	5be00dcefe5a546a674716a42a02b49229be12bf	_private.NumStability.Analysis.BergerInequality.0.NumStability.term𝔼	NumStability/Analysis/BergerInequality.ilean	CAC0C371BD9F136527A200C5BFEAB1094653029BC04F1B636207639EE1488BC9	_private.NumStability.Analysis.BergerInequality.0.NumStability._aux_NumStability_Analysis_BergerInequality___macroRules__private_NumStability_Analysis_BergerInequality_0_NumStability_term𝔼_1	0	87	0	87	47	87	0	87	47	77F44725CC92DEB7D2CEF6DE4874B92B44335B3E45DE82693FA73EC68D864854
NumStability.Analysis.BergerResolvent	NumStability/Analysis/BergerResolvent.lean	a77f98344644f508c0b114085f799bb8fcbfe5b7	_private.NumStability.Analysis.BergerResolvent.0.NumStability.term𝔼	NumStability/Analysis/BergerResolvent.ilean	7846A5BB49B779782AAF942A14DCAD0E90FB8AAC428580FC8339F12C2C3E18CF	_private.NumStability.Analysis.BergerResolvent.0.NumStability._aux_NumStability_Analysis_BergerResolvent___macroRules__private_NumStability_Analysis_BergerResolvent_0_NumStability_term𝔼_1	0	123	0	123	47	123	0	123	47	77F44725CC92DEB7D2CEF6DE4874B92B44335B3E45DE82693FA73EC68D864854
NumStability.Analysis.BergerResolvent	NumStability/Analysis/BergerResolvent.lean	a77f98344644f508c0b114085f799bb8fcbfe5b7	_private.NumStability.Analysis.BergerResolvent.0.NumStability.exists_unit_sq_mul	NumStability/Analysis/BergerResolvent.ilean	7846A5BB49B779782AAF942A14DCAD0E90FB8AAC428580FC8339F12C2C3E18CF	_private.NumStability.Analysis.BergerResolvent.0.NumStability.exists_unit_sq_mul	1	147	0	170	87	152	16	152	34	9726FCFE55B51F26B0D5FA79CCDC40B97785B0DE680DA8F08ED7CFEEEBF1368D
NumStability.Analysis.BergerResolvent	NumStability/Analysis/BergerResolvent.lean	a77f98344644f508c0b114085f799bb8fcbfe5b7	_private.NumStability.Analysis.BergerResolvent.0.NumStability.inner_diag_diff	NumStability/Analysis/BergerResolvent.ilean	7846A5BB49B779782AAF942A14DCAD0E90FB8AAC428580FC8339F12C2C3E18CF	_private.NumStability.Analysis.BergerResolvent.0.NumStability.inner_diag_diff	2	172	0	182	6	177	16	177	31	C78314BDFA649D76EE18ADFFC77A83651C285524BB840ACD99D2F654A7B80AF9
NumStability.Analysis.BergerResolvent	NumStability/Analysis/BergerResolvent.lean	a77f98344644f508c0b114085f799bb8fcbfe5b7	NumStability.norm_apply_sq_add_norm_inner_sq_le	NumStability/Analysis/BergerResolvent.ilean	7846A5BB49B779782AAF942A14DCAD0E90FB8AAC428580FC8339F12C2C3E18CF	NumStability.norm_apply_sq_add_norm_inner_sq_le	3	184	0	259	49	196	8	196	42	73648ECBDDBCE72AF9FF41CB5875A2FDD52CFD456A005C9ED5A5A2751892F429
NumStability.Analysis.BergerResolvent	NumStability/Analysis/BergerResolvent.lean	a77f98344644f508c0b114085f799bb8fcbfe5b7	NumStability.numericalRadiusCLM_pow_two_le_one_of_le_one	NumStability/Analysis/BergerResolvent.ilean	7846A5BB49B779782AAF942A14DCAD0E90FB8AAC428580FC8339F12C2C3E18CF	NumStability.numericalRadiusCLM_pow_two_le_one_of_le_one	4	265	0	284	14	272	8	272	51	1EBCAB5CD0BD8FFC235E252FB8F16C0DF6E5744A752435CCE4B4D418CE55E9A1
NumStability.Analysis.BergerResolvent	NumStability/Analysis/BergerResolvent.lean	a77f98344644f508c0b114085f799bb8fcbfe5b7	NumStability.numericalRadiusCLM_pow_two_le	NumStability/Analysis/BergerResolvent.ilean	7846A5BB49B779782AAF942A14DCAD0E90FB8AAC428580FC8339F12C2C3E18CF	NumStability.numericalRadiusCLM_pow_two_le	5	286	0	335	16	294	8	294	37	A180E3E66BD348899894D26891E50C2F46505B60A797CDB576E63225E027B4AC
NumStability.Analysis.BergerResolvent	NumStability/Analysis/BergerResolvent.lean	a77f98344644f508c0b114085f799bb8fcbfe5b7	NumStability.numericalRadius_pow_two_le	NumStability/Analysis/BergerResolvent.ilean	7846A5BB49B779782AAF942A14DCAD0E90FB8AAC428580FC8339F12C2C3E18CF	NumStability.numericalRadius_pow_two_le	6	346	0	356	39	353	8	353	34	31545A670404072277A914ECEDE525AB85F2F85AB0665F70D24FDCE18C51AAB6
NumStability.Analysis.BergerResolvent	NumStability/Analysis/BergerResolvent.lean	a77f98344644f508c0b114085f799bb8fcbfe5b7	NumStability.numericalRadius_pow_two_pow_le	NumStability/Analysis/BergerResolvent.ilean	7846A5BB49B779782AAF942A14DCAD0E90FB8AAC428580FC8339F12C2C3E18CF	NumStability.numericalRadius_pow_two_pow_le	7	358	0	379	44	364	8	364	38	B2A2E77F6F69B6BE9EA936C1A17BE3B9C44FA59358C1492899F35C690FFDD02F
NumStability.Analysis.BergerResolvent	NumStability/Analysis/BergerResolvent.lean	a77f98344644f508c0b114085f799bb8fcbfe5b7	NumStability.numericalRadiusCLM_pow_two_pow_le	NumStability/Analysis/BergerResolvent.ilean	7846A5BB49B779782AAF942A14DCAD0E90FB8AAC428580FC8339F12C2C3E18CF	NumStability.numericalRadiusCLM_pow_two_pow_le	8	381	0	400	47	385	8	385	41	0C9D4CA90D6DC2169C7D3CD330F80EAEA2963777E1E188A0DE9095FD1181FA5D
NumStability.Analysis.BergerResolvent	NumStability/Analysis/BergerResolvent.lean	a77f98344644f508c0b114085f799bb8fcbfe5b7	NumStability.norm_pow_two_le_two_mul_numericalRadius_sq	NumStability/Analysis/BergerResolvent.ilean	7846A5BB49B779782AAF942A14DCAD0E90FB8AAC428580FC8339F12C2C3E18CF	NumStability.norm_pow_two_le_two_mul_numericalRadius_sq	9	402	0	412	82	410	8	410	50	549CAFAC6A735A7B2ABE5D1E4D3FD0DDE74B6E26D69F95A7AB9061E1118F7C97
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.finiteComplexCStarMatrix	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.finiteComplexCStarMatrix	0	40	0	44	47	42	18	42	42	5416222910548B564A5BAFABED276443F4B81494EC18A010AF2D6B1E2CA200C1
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.finiteComplexCStarMatrix_apply	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.finiteComplexCStarMatrix_apply	1	46	0	49	55	47	8	47	38	A1D2BA10CABE550913CC6C80298D6D90CB93636DC677A446F2E26364543E8FB2
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.finiteComplexCStarMatrix_zero	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.finiteComplexCStarMatrix_zero	2	51	0	57	6	53	8	53	37	91569A713F535007F30A819124D5E594E2628C3089340AC2AE96E1D3F80DDF1A
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.finiteComplexCStarMatrix_add	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.finiteComplexCStarMatrix_add	3	59	0	65	6	60	8	60	36	F6BA9BFBD7A352A1E615E8B286C30C3DB5B42556E97B5D5B30D8C05924D81835
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.finiteComplexCStarMatrix_smul	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.finiteComplexCStarMatrix_smul	4	67	0	73	6	68	8	68	37	3C3E80D3078929863208FA67E79341C356458154718B93DF31F163FA2E1D93C7
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.finiteComplexCStarMatrix_mul	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.finiteComplexCStarMatrix_mul	5	75	0	82	44	77	8	77	36	665208F2A2306CC8160B88DFA6CA9F7BE58D550D7EA7C823780ED53886339A69
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.finiteComplexCStarMatrix_isSelfAdjoint_of_symmetric	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.finiteComplexCStarMatrix_isSelfAdjoint_of_symmetric	6	84	0	91	15	85	8	85	59	6581A4C6FD9B159BBD1BC4A679C7F9E04A79D973E8A14A236A754034FBEAC24B
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.finiteComplexCStarMatrix_sub	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.finiteComplexCStarMatrix_sub	7	93	0	99	6	94	8	94	36	5C177693B8412CDEC3C8985F2DA9D30814F72D4610E828F15B96AECC18E336FC
