module	tier
NumStability.Analysis.Polynomials.RealRootCounting	reusable
NumStability.Analysis.Probability.Haar.NormalizedOrthogonalMatrixLaw	reusable
NumStability.Analysis.TestMatrices.Orthogonal.HaarFiberMeasure	reusable
NumStability.Analysis.TestMatrices.RandomSVD.GroupLawRecursion	reusable
NumStability.Analysis.TestMatrices.RandomSVD.StewartMeasurability	reusable
NumStability.Analysis.TestMatrices.RealGinibre.ProjectiveWeightIntegral	reusable
NumStability.Source.Higham.Chapter28.Equation02.DeterminantAsymptotics	source
NumStability.Source.Higham.Chapter28.Section01.HilbertConditioning.ConditionLogRate	source
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.CharacteristicProductMoments	source
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.ClosedFormAsymptotics	source
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.ExpectedCountFormula	source
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.ExpectedCountTransfer	source
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.DimensionTwoExact	source
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.PlaneSylvesterJacobian	source
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.LebesgueMomentDensities	source
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.ProductLaw	source
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.RootMeasurability.EigenvalueCounts	source
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.AlternatingRankSheets	source
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.OneRootMomentReduction	source
NumStability.Source.Higham.Chapter28.Section02.UniformPositive.PerronAlmostSure	source
NumStability.Source.Higham.Chapter28.Section03.RandomSVD.SingleHouseholderRankTwo	source
NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.HaarConclusion	source
NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	source
NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.RawFiberConclusion	source
NumStability.Source.Higham.Chapter28.Section04.Pascal.IdentityCubeRoot	source
NumStability.Source.Higham.Chapter28.Section04.Pascal.MomentMatrix	source
NumStability.Source.Higham.Chapter28.Section04.Pascal.OptimalPerturbationRate	source
NumStability.Source.Higham.Chapter28.Section04.Pascal.OscillationEigenbasis	source
NumStability.Source.Higham.Chapter28.Section04.Pascal.OscillationSpectrum	source
NumStability.Source.Higham.Chapter28.Section04.Pascal.SignChangeCount	source
NumStability.Source.Higham.Chapter28.Section04.Pascal.SingularizingPerturbation	source
NumStability.Source.Higham.Chapter28.Section04.Pascal.TotalPositivity	source
NumStability.Source.Higham.Chapter28.Section04.ReciprocalSpectrumSPD.TriangularInvolution	source
NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.CharacteristicPolynomial	source
NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SecondDifferenceCondition	source
NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenpairs	source
NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors	source
NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial	source
NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory	source
NumStability.Source.Higham.Chapter28.Section06.Companion.Normality	source
NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	source
