module	path	base_blob_oid	current_tier	debt_flags	phase_scope	lane_id	wave_id	planned_actions	rationale
NumStability	NumStability.lean	704da6db617ae1a3c53dc4d96d18dbb6145de905	aggregate	-	already_complete	-	-	-	-
NumStability.Algorithms	NumStability/Algorithms.lean	92471cc9bddd007506bac87c206b8e58e0d891e9	aggregate	-	in_scope	integration-lane	I01	compatibility_cleanup;entrypoint_cleanup	Clean C0000 consumer reserved for hash-pinned integrator import cutover and reviewed postimage union.
NumStability.Algorithms.AccumulatorSum	NumStability/Algorithms/AccumulatorSum.lean	99951bd3d6865f110ea529c77203767e1bfdefc9	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.AitkenDenominator	NumStability/Algorithms/AitkenDenominator.lean	191c102743cc9843cb2eeab24e7e13fa33ce35fa	reusable	-	already_complete	-	-	-	-
NumStability.Algorithms.Arithmetic.DotProduct.NoGuard	NumStability/Algorithms/Arithmetic/DotProduct/NoGuard.lean	6e50ad2f873fddd0db28570f9a770e071e7068fc	aggregate	-	already_complete	-	-	-	-
NumStability.Algorithms.Arithmetic.DotProduct.NoGuard.Core	NumStability/Algorithms/Arithmetic/DotProduct/NoGuard/Core.lean	805b6a5b6af99e83cc10e0573314b4bbdd15ef9e	reusable	-	already_complete	-	-	-	-
NumStability.Algorithms.Arithmetic.DotProduct.NoGuard.Tree	NumStability/Algorithms/Arithmetic/DotProduct/NoGuard/Tree.lean	83698ceca90b2c7c4388ded3b9da6164f08f201d	reusable	-	already_complete	-	-	-	-
NumStability.Algorithms.AutomaticErrorAnalysis.Higham26	NumStability/Algorithms/AutomaticErrorAnalysis/Higham26.lean	da10623bdad7974a514a1a858139eabd95f4a834	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.AutomaticErrorAnalysis.Higham26SourceSearch	NumStability/Algorithms/AutomaticErrorAnalysis/Higham26SourceSearch.lean	9a23b99d441c8864a612952722c725c9814e7b2b	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.BlockDotProduct	NumStability/Algorithms/BlockDotProduct.lean	c7b907b0287238af45afb1ef274b48b923427adc	reusable	-	already_complete	-	-	-	-
NumStability.Algorithms.Ch10ActualSourceClosure	NumStability/Algorithms/Ch10ActualSourceClosure.lean	ccb7e35cf8de1104caf23812d82c30fea922dc53	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R04	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R04 (cholesky-ch10-residual).
NumStability.Algorithms.Ch10Ch14Lemma66Op2Bridge	NumStability/Algorithms/Ch10Ch14Lemma66Op2Bridge.lean	b99dfbf6f613d3c64e1395b1c2a22d6a9f80fc6d	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	NumStability/Algorithms/Ch10ComplexPositiveDefiniteSourceClosure.lean	d09de110b1ed595848ec614bdf0ea359ae5928e6	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R04	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R04 (cholesky-ch10-residual).
NumStability.Algorithms.Ch10KahanSharpness	NumStability/Algorithms/Ch10KahanSharpness.lean	504339eedd18e87dae373ea5857bbe44bd6f5ff4	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability/Algorithms/Ch10KahanSharpnessSource.lean	4113a1bf16e4b406ee9eb07d528002ace70ab9af	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R04	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R04 (cholesky-ch10-residual).
NumStability.Algorithms.Ch10Lemma1011Source	NumStability/Algorithms/Ch10Lemma1011Source.lean	c290947f11e09a9322bb448b8c13941772449df7	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability/Algorithms/Ch10PivotedPSDSourceClosure.lean	f13e8200e8da1020311ec850e36ec1808f30fceb	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R04	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R04 (cholesky-ch10-residual).
NumStability.Algorithms.Ch10Theorem107FailureVacuity	NumStability/Algorithms/Ch10Theorem107FailureVacuity.lean	fb0156d91bbfea64cbd115cd27adceaaf20d36ee	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Ch10Theorem108Componentwise	NumStability/Algorithms/Ch10Theorem108Componentwise.lean	fcdf060e2932b2ac1f7d6a44305e0ef39b4e7c02	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R04	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R04 (cholesky-ch10-residual).
NumStability.Algorithms.Ch10Theorem108Source	NumStability/Algorithms/Ch10Theorem108Source.lean	91ee4a29b4e0e7d393348c21d97d8c5bbd8c7ef3	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R04	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R04 (cholesky-ch10-residual).
NumStability.Algorithms.Ch14AsymptoticFamilies	NumStability/Algorithms/Ch14AsymptoticFamilies.lean	00f54a78eee2fc93cb88f08fee805083e57b126e	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename;split	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
