path	old_import	old_occurrences	new_imports
NumStability/Algorithms.lean	NumStability.Algorithms.Ch5DerivativeError	1	NumStability.Source.Higham.Chapter05.Section02.DerivativeError.Results.Theorems
NumStability/Algorithms.lean	NumStability.Algorithms.Ch5SourceClosure	1	NumStability.Source.Higham.Chapter05.Section02.BidiagonalDerivativeAnalysis.Results.Theorems
NumStability/Algorithms.lean	NumStability.Algorithms.Higham5FastPolynomialEvaluation	1	NumStability.Source.Higham.Chapter05.Section05.FastPolynomialEvaluation.Results.Theorems
NumStability/Algorithms.lean	NumStability.Algorithms.Higham5PatersonStockmeyer	1	NumStability.Source.Higham.Chapter05.Section04.PatersonStockmeyer.Results.Theorems
NumStability/Algorithms.lean	NumStability.Algorithms.Higham726Rump	1	NumStability.Source.Higham.Chapter07.Equation26.RumpCycle.Results.Theorems
NumStability/Algorithms.lean	NumStability.Algorithms.HighamChapter5ComplexAlgorithm51	1	NumStability.Source.Higham.Chapter05.Algorithm01.ComplexHorner.ErrorBounds.Theorems
NumStability/Algorithms.lean	NumStability.Algorithms.HighamChapter8	1	NumStability.Source.Higham.Chapter08.Equation02.TriangularSubstitution.RelativeInfinityNormBounds.Theorems;NumStability.Source.Higham.Chapter08.Equation15.GlobalEnvelopeCounterexample.LocalCancellationResults.Theorems;NumStability.Source.Higham.Chapter08.Problem02.ComparisonMatrixWitness.ArbitraryRatios.Theorems;NumStability.Source.Higham.Chapter08.Problem07.DiagonalScaling.Results.Theorems;NumStability.Source.Higham.Chapter08.Problem08.SingleEntrySingularity.Results.Theorems;NumStability.Source.Higham.Chapter08.Problem09.KahanSingularValues.Results.Theorems;NumStability.Source.Higham.Chapter08.Section03.TriangularSystems.ComparisonConditioningResults.Theorems;NumStability.Source.Higham.Chapter08.Section03.TriangularSystems.InverseNormResults.Theorems
NumStability/Algorithms.lean	NumStability.Algorithms.HighamChapters1To9SourceClosure	1	NumStability.Source.Higham.Chapter08.Equation15.FanInExecutor.FirstOrderResidual;NumStability.Source.Higham.Chapter08.Equation18.FanInExecutor.FirstOrderForwardError
NumStability/Algorithms.lean	NumStability.Algorithms.Horner	1	NumStability.Algorithms.PolynomialEvaluation.DerivativeEvaluation.ErrorBounds
NumStability/Algorithms.lean	NumStability.Algorithms.KahanAbsolute	1	NumStability.Source.Higham.Chapter03.Problem11.KahanAbsoluteValue.IeeeDoubleTrace.Results
NumStability/Algorithms.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms.lean	NumStability.Algorithms.WilkinsonAttainability	1	NumStability.Source.Higham.Chapter04.Problem02.WilkinsonAttainability.IeeeDoubleTrace.Results
NumStability/Algorithms/Ch10Theorem107FailureVacuity.lean	NumStability.Algorithms.HighamChapters1To9SourceClosure	1	NumStability.Source.Higham.Chapter08.Equation15.FanInExecutor.FirstOrderResidual;NumStability.Source.Higham.Chapter08.Equation18.FanInExecutor.FirstOrderForwardError
NumStability/Algorithms/Ch14MethodsBC.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/Ch5LejaProducer.lean	NumStability.Algorithms.Horner	1	NumStability.Algorithms.PolynomialEvaluation.DerivativeEvaluation.ErrorBounds
NumStability/Algorithms/Ch5NewtonForm.lean	NumStability.Algorithms.Horner	1	NumStability.Algorithms.PolynomialEvaluation.DerivativeEvaluation.ErrorBounds
NumStability/Algorithms/HighamChapter12.lean	NumStability.Source.Higham.Chapter12.IterativeRefinement	1	NumStability.Source.Higham.Chapter12.IterativeRefinement.Results.Theorems
NumStability/Algorithms/IterativeRefinement.lean	NumStability.Source.Higham.Chapter12.IterativeRefinement.Chapter12Bounds	1	NumStability.Source.Higham.Chapter12.IterativeRefinement.ForwardErrorBounds.Results
NumStability/Algorithms/LeastSquares/Higham20Equations.lean	NumStability.Source.Higham.Chapter12.IterativeRefinement	1	NumStability.Source.Higham.Chapter12.IterativeRefinement.Results.Theorems
NumStability/Algorithms/LinearSystems/Underdetermined/BackwardError/Normwise/UnderdeterminedSolve.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/BackwardError/Rowwise/UnderdeterminedSolve.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/Conditioning/Componentwise/Radius.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/Conditioning/Componentwise/UnderdeterminedSolve.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/MinimumNorm/Solvers/UnderdeterminedSolve.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/MinimumNorm/Specifications/UnderdeterminedSolve.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/Perturbation/Componentwise/Radius.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/Perturbation/Componentwise/UnderdeterminedSolve.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/Perturbation/FixedRadius/Radius.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/Projectors/ComplementNorm/ProjectorNorm.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/QR/Foundations/UnderdeterminedSolve.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/QR/Givens/BackwardError/Core.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
