path	base_blob_oid	transform	add_imports	remove_imports	declaration_use_witnesses	test_witnesses	rationale
NumStability/Algorithms.lean	494a0ccc2ff0803c35bd47f0d1bdf96d472a44f6	normalize_outside_consumer	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra;NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.NormalMatrices;NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.NormalCharacterization;NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds;NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ArcLengthPowerBounds;NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.FiniteDimensionalPowerBounds;NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength;NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarCrossingBounds;NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ResolventCoefficients;NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality;NumStability.Analysis.LinearOperators.Schur.Complex.NormalTriangular;NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.SpijkerKreissUnconditional	NumStability.Algorithms.MatrixPowers;NumStability.Algorithms.MatrixPowersComplex;NumStability.Algorithms.MatrixPowersJordan;NumStability.Algorithms.MatrixPowersLp;NumStability.Algorithms.MatrixPowersLpJordan;NumStability.Algorithms.MatrixPowersPseudospectral;NumStability.Algorithms.MatrixPowersPseudospectralCriterion;NumStability.Algorithms.MatrixPowersSpectral;NumStability.Analysis.BergerGeneral;NumStability.Analysis.BergerInequality;NumStability.Analysis.BergerResolvent;NumStability.Analysis.DunfordResidue;NumStability.Analysis.HenriciExtremal;NumStability.Analysis.HenriciSharpConstant;NumStability.Analysis.HenriciSharpConstantExact;NumStability.Analysis.JordanNormalForm;NumStability.Analysis.MatrixPowersBaiDemmelGu;NumStability.Analysis.MatrixPowersBaiDemmelGuDistance;NumStability.Analysis.MatrixPowersBinomialBound;NumStability.Analysis.MatrixPowersGautschi;NumStability.Analysis.MatrixPowersHenrici;NumStability.Analysis.MatrixPowersHenriciNormal;NumStability.Analysis.MatrixPowersKreiss;NumStability.Analysis.MatrixPowersKreissSpijker;NumStability.Analysis.MatrixPowersLaszlo;NumStability.Analysis.MatrixPowersLp185Primary;NumStability.Analysis.MatrixPowersSchur;NumStability.Analysis.MatrixPowersSpijkerClosure;NumStability.Analysis.MatrixPowersSpijkerPlanar;NumStability.Analysis.MatrixPowersSpijkerRational;NumStability.Analysis.NilpotentJordanChain;NumStability.Analysis.NumericalRadius;NumStability.Analysis.PseudospectralLowerBound;NumStability.Analysis.PseudospectralPowerBound;NumStability.Analysis.PseudospectralResolvent;NumStability.Analysis.ResolventFunctionalCalculus	-	NumStabilityTest/Reorganization/R07/Consumer/NumStability_Algorithms.lean	replace historical direct imports with the exact reviewed canonical supply
NumStability/Algorithms/RandNLA/ElementwiseTraceMGF.lean	519b68aafc5fcdce5bfcce60da4dfea8c0ea8e14	normalize_outside_consumer	NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity	NumStability.Analysis.LiebTrace	-	NumStabilityTest/Reorganization/R07/Consumer/NumStability_Algorithms_RandNLA_ElementwiseTraceMGF.lean	replace historical direct imports with the exact reviewed canonical supply
NumStability/Algorithms/RandNLA/RowSamplingTraceMGF.lean	2707d89e7ef91b8d70a3e0e2e56fbcc6c5268c65	normalize_outside_consumer	NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity	NumStability.Analysis.LiebTrace	-	NumStabilityTest/Reorganization/R07/Consumer/NumStability_Algorithms_RandNLA_RowSamplingTraceMGF.lean	replace historical direct imports with the exact reviewed canonical supply
NumStability/Algorithms/RandNLA/UniformRowSamplingMGF.lean	836181294ef3e4b3a97616ecf8f3ed578827a4f9	normalize_outside_consumer	NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity	NumStability.Analysis.LiebTrace	-	NumStabilityTest/Reorganization/R07/Consumer/NumStability_Algorithms_RandNLA_UniformRowSamplingMGF.lean	replace historical direct imports with the exact reviewed canonical supply
NumStability/Algorithms/RandomizedLinearAlgebra/Concentration/TraceMGF/LeverageScore.lean	0e6ba7bb92437f5c98308c2ef9bc6044a761d465	normalize_outside_consumer	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealEmbedding;NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealOrder	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	"{""NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealEmbedding"":{""body_edges"":5,""signature_edges"":3},""NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealOrder"":{""body_edges"":2,""signature_edges"":0}}"	NumStabilityTest/Reorganization/R07/Consumer/NumStability_Algorithms_RandomizedLinearAlgebra_Concentration_TraceMGF_LeverageScore.lean	replace historical direct imports with the exact reviewed canonical supply
NumStability/Algorithms/RandomizedLinearAlgebra/Concentration/TraceMGF/UniformRows.lean	893de46955ad61937e8aaf1cb952becd06cbc05c	normalize_outside_consumer	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealEmbedding;NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealOrder	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	"{""NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealEmbedding"":{""body_edges"":28,""signature_edges"":12},""NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealOrder"":{""body_edges"":3,""signature_edges"":0}}"	NumStabilityTest/Reorganization/R07/Consumer/NumStability_Algorithms_RandomizedLinearAlgebra_Concentration_TraceMGF_UniformRows.lean	replace historical direct imports with the exact reviewed canonical supply
NumStability/Algorithms/TestMatrices/Higham28Companion.lean	8a06e932b87c9492751ee2a8f40adbb4cf3b96de	normalize_outside_consumer	NumStability.Analysis.LinearOperators.Jordan.NormalForm.PrimaryDecomposition	NumStability.Analysis.JordanNormalForm	-	NumStabilityTest/Reorganization/R07/Consumer/NumStability_Algorithms_TestMatrices_Higham28Companion.lean	replace historical direct imports with the exact reviewed canonical supply
NumStability/Analysis.lean	71f1b685eefd8997dca291c0c2fc34c09d2d6f4a	normalize_outside_consumer	NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.SpijkerKreissUnconditional	NumStability.Analysis.BergerGeneral;NumStability.Analysis.BergerInequality;NumStability.Analysis.CStarMatrixBridge;NumStability.Analysis.CStarMatrixExpectation;NumStability.Analysis.CStarMatrixTrace;NumStability.Analysis.HenriciSharpConstantExact;NumStability.Analysis.LiebTrace;NumStability.Analysis.MatrixPowersBinomialBound;NumStability.Analysis.MatrixPowersGautschi;NumStability.Analysis.MatrixPowersLaszlo;NumStability.Analysis.MatrixPowersLp185Primary;NumStability.Analysis.MatrixPowersSpijkerClosure;NumStability.Analysis.NilpotentJordanChain;NumStability.Analysis.OperatorLog;NumStability.Analysis.PseudospectralLowerBound	-	NumStabilityTest/Reorganization/R07/Consumer/NumStability_Analysis.lean	replace historical direct imports with the exact reviewed canonical supply
NumStability/Analysis/CStarMatrices.lean	69d53cd254b6c27db218f2ecca833ae0c1792c89	update_family_aggregate	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra	-	-	NumStabilityTest/Reorganization/R07/All.lean	wire the new public semantic subfamily through its existing family aggregate
NumStability/Analysis/CStarMatrices/Basic/All.lean	8deda002b272537428573a7f60fa757a7edf106c	normalize_outside_consumer	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	-	NumStabilityTest/Reorganization/R07/Consumer/NumStability_Analysis_CStarMatrices_Basic_All.lean	replace historical direct imports with the exact reviewed canonical supply
NumStability/Analysis/CStarMatrices/Expectation/Finite.lean	eade02deb850b01efbbe3332368b8b8e48dd946b	normalize_outside_consumer	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealEmbedding;NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.StrictPositivity	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	"{""NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealEmbedding"":{""body_edges"":1,""signature_edges"":1},""NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.StrictPositivity"":{""body_edges"":1,""signature_edges"":0}}"	NumStabilityTest/Reorganization/R07/Consumer/NumStability_Analysis_CStarMatrices_Expectation_Finite.lean	replace historical direct imports with the exact reviewed canonical supply
