from_destination	to_destination	signature_edges	body_edges
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.BlockDiagonalCompression	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.BlockDiagonal	2	10
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.BlockDiagonalCompression	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPair	2	6
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairPinching	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPair	5	5
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairPinching	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairRangeProjection	3	5
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairPinching	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairRangeReflection	6	10
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairPinching	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.RectangularMultiplication	0	2
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairPinching	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ReflectionAverage	0	4
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairRangeProjection	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPair	2	8
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairRangeProjection	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.RectangularMultiplication	0	6
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairRangeReflection	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPair	2	2
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairRangeReflection	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairRangeProjection	0	14
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairRangeReflection	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ProjectionReflection	0	7
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairRangeReflection	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.StrictPositivity	0	1
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealOrder	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealEmbedding	3	4
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.RectangularCompression	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteDimensional	0	1
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.RectangularCompression	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.RectangularMultiplication	0	7
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ReflectionAverage	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ProjectionReflection	1	1
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ReflectionAverage	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.RectangularMultiplication	0	14
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.StrictPositivity	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealEmbedding	1	1
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.StrictPositivity	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealOrder	0	1
NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.NormalMatrices.Powers	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.NormalCharacterization.Schur	0	1
NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.NormalCharacterization.Schur	NumStability.Analysis.LinearOperators.Schur.Complex.NormalTriangular.Diagonal	0	2
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ArcLengthPowerBounds.FiniteDimension	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ResolventCoefficients.Analytic	3	12
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.FiniteDimensionalPowerBounds.Kreiss	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ArcLengthPowerBounds.FiniteDimension	0	2
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.FiniteDimensionalPowerBounds.Kreiss	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation	0	2
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ArcLengthPowerBounds.FiniteDimension	1	0
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarCrossingBounds.Polynomial	0	1
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ResolventCoefficients.Analytic	0	4
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ResolventCoefficients.Analytic	NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteDimensional	0	1
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.SpijkerKreissUnconditional.Bounds	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation	0	2
