destination_module	referenced_owner_module	signature_edge_count	body_edge_count	recursive_frontier_direct	post_r0011_supply
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealEmbedding	NumStability.Analysis.MatrixAlgebra	4	4	1	direct
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealOrder	NumStability.Analysis.MatrixAlgebra	6	9	1	direct
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.StrictPositivity	NumStability.Analysis.MatrixAlgebra	2	2	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.NormalMatrices.Powers	NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.Schur	0	1	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.NormalCharacterization.Schur	NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.Schur	0	1	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.NormalCharacterization.Schur	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.DepartureFromNormality	1	1	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.NormalCharacterization.Schur	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.NormalMatrices	0	1	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.NormalCharacterization.Schur	NumStability.Analysis.LinearOperators.Schur.Complex.Triangulation	0	1	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates	NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.Schur	0	3	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.BinomialPowerBound	0	1	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates	NumStability.Analysis.LinearOperators.Schur.Complex.Triangulation	0	1	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ArcLengthPowerBounds.FiniteDimension	NumStability.Analysis.LinearOperators.MatrixPowers.BaiDemmelGu.DistanceToInstability	0	2	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ArcLengthPowerBounds.FiniteDimension	NumStability.Analysis.LinearOperators.MatrixPowers.Kreiss.ResolventBound	7	10	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ArcLengthPowerBounds.FiniteDimension	NumStability.Analysis.MatrixNorms.Basic	0	2	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ArcLengthPowerBounds.FiniteDimension	NumStability.Analysis.SingularValues.Basic	0	6	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.FiniteDimensionalPowerBounds.Kreiss	NumStability.Analysis.LinearOperators.MatrixPowers.Kreiss.ResolventBound	3	2	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation	NumStability.Analysis.LinearOperators.MatrixPowers.Kreiss.ResolventBound	0	1	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarAlgebra	1	1	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarAnalysis	0	1	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.Rational	2	5	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarCrossingBounds.Polynomial	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarAlgebra	5	22	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarCrossingBounds.Polynomial	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.Rational	4	8	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ResolventCoefficients.Analytic	NumStability.Analysis.FunctionalCalculus.Resolvent.Analyticity	0	4	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ResolventCoefficients.Analytic	NumStability.Analysis.LinearOperators.MatrixPowers.Kreiss.ResolventBound	6	7	1	direct
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ResolventCoefficients.Analytic	NumStability.Analysis.SingularValues.Basic	1	2	1	direct
NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.PowerTwo	0	1	1	direct
NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers	NumStability.Analysis.LinearOperators.NumericalRadius.Core.Basic	5	9	1	direct
NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.PowerTwo	0	1	1	direct
NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo	NumStability.Analysis.LinearOperators.NumericalRadius.Core.Basic	7	12	1	direct
