owner_module	path	base_blob_oid	current_tier	debt_flags	declaration_count	semantic_classification	destination_modules	compatibility_action	split_rationale	dependency_rationale	review_status
NumStability.Algorithms.MatrixPowers	NumStability/Algorithms/MatrixPowers.lean	27a5dbd3027e045b19a2587ae466fb8cb8ff3f9f	unclassified	unclassified_modules	0	classify_compatibility	-	import_only_wrapper	The exact format-2 projection contains no declarations; retain only the historical import surface as a compatibility wrapper.	Preserve the exact C0005 sequence of 19 direct import(s); no declaration implementation remains in this owner.	reviewed
NumStability.Algorithms.MatrixPowersComplex	NumStability/Algorithms/MatrixPowersComplex.lean	4cdcee5758a6e242c6fe1e43df5576f8f611c86d	unclassified	unclassified_modules	0	classify_compatibility	-	import_only_wrapper	The exact format-2 projection contains no declarations; retain only the historical import surface as a compatibility wrapper.	Preserve the exact C0005 sequence of 14 direct import(s); no declaration implementation remains in this owner.	reviewed
NumStability.Algorithms.MatrixPowersJordan	NumStability/Algorithms/MatrixPowersJordan.lean	2de1c582f428c0b9eeb306fbf386ae2a99019a33	unclassified	unclassified_modules	0	classify_compatibility	-	import_only_wrapper	The exact format-2 projection contains no declarations; retain only the historical import surface as a compatibility wrapper.	Preserve the exact C0005 sequence of 14 direct import(s); no declaration implementation remains in this owner.	reviewed
NumStability.Algorithms.MatrixPowersLp	NumStability/Algorithms/MatrixPowersLp.lean	ae615b79485e5246f08b8b3ea9a6f6d586b3909d	unclassified	unclassified_modules	0	classify_compatibility	-	import_only_wrapper	The exact format-2 projection contains no declarations; retain only the historical import surface as a compatibility wrapper.	Preserve the exact C0005 sequence of 7 direct import(s); no declaration implementation remains in this owner.	reviewed
NumStability.Algorithms.MatrixPowersLpJordan	NumStability/Algorithms/MatrixPowersLpJordan.lean	8dfc90102dcd524feea6f2e446dc461e6300ccb6	unclassified	unclassified_modules	0	classify_compatibility	-	import_only_wrapper	The exact format-2 projection contains no declarations; retain only the historical import surface as a compatibility wrapper.	Preserve the exact C0005 sequence of 8 direct import(s); no declaration implementation remains in this owner.	reviewed
NumStability.Algorithms.MatrixPowersPseudospectral	NumStability/Algorithms/MatrixPowersPseudospectral.lean	f695567e81b76a4d8da5e21d6773344743603fc4	unclassified	unclassified_modules	0	classify_compatibility	-	import_only_wrapper	The exact format-2 projection contains no declarations; retain only the historical import surface as a compatibility wrapper.	Preserve the exact C0005 sequence of 4 direct import(s); no declaration implementation remains in this owner.	reviewed
NumStability.Algorithms.MatrixPowersPseudospectralCriterion	NumStability/Algorithms/MatrixPowersPseudospectralCriterion.lean	bb6e64d4f63518fec3504001627342b5855abb13	unclassified	unclassified_modules	0	classify_compatibility	-	import_only_wrapper	The exact format-2 projection contains no declarations; retain only the historical import surface as a compatibility wrapper.	Preserve the exact C0005 sequence of 3 direct import(s); no declaration implementation remains in this owner.	reviewed
NumStability.Algorithms.MatrixPowersSpectral	NumStability/Algorithms/MatrixPowersSpectral.lean	215e3df31a20e159daccb71fdd333266bb249160	unclassified	unclassified_modules	0	classify_compatibility	-	import_only_wrapper	The exact format-2 projection contains no declarations; retain only the historical import surface as a compatibility wrapper.	Preserve the exact C0005 sequence of 6 direct import(s); no declaration implementation remains in this owner.	reviewed
NumStability.Analysis.BergerGeneral	NumStability/Analysis/BergerGeneral.lean	aa447e9b3c5ee731062c6ee25d85335134c729f2	unclassified	unclassified_modules	10	relocate_whole	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers	import_only_wrapper	The five public statements are the arbitrary-power Berger inequalities (`norm_pow_le_two_mul_numericalRadius_pow`, the three `numericalRadiusCLM_pow_*` forms, and `numericalRadius_pow_le`). The five private commands—the local Euclidean-space notation, root-of-unity, telescoping, finite-sum, and scalar-power proof support—feed those statements, so all ten commands form one general-power API.	The source imports numerical-radius basics, the existing power-two Berger results, and the complex root-of-unity/circle machinery used by the private proof closure. No declaration has an independent resolvent or source-locator boundary, and the whole private reverse-dependency component stays co-routed.	reviewed
NumStability.Analysis.BergerInequality	NumStability/Analysis/BergerInequality.lean	5be00dcefe5a546a674716a42a02b49229be12bf	unclassified	unclassified_modules	1	relocate_whole	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.Internal.HermitianEuclideanSpaceNotation	import_only_wrapper	The projection contains only the private Euclidean-space notation command `termᵓc`; it is not a public Berger inequality and therefore belongs in an internal support leaf rather than a reusable theorem module.	Its defining context is supplied by the existing Hermitian Berger and numerical-radius imports. The historical wrapper retains those imports and does not import the private-only destination; that internal leaf is built by its isolated canonical test and remains absent from public umbrellas and compatibility targets.	reviewed
