module	role	import_order	lean_import_line	provenance
NumStability.Algorithms.MatrixPowers	compatibility	1	import Mathlib.Algebra.BigOperators.Group.Finset.Basic	c0005_direct
NumStability.Algorithms.MatrixPowers	compatibility	2	import Mathlib.Algebra.BigOperators.Ring.Finset	c0005_direct
NumStability.Algorithms.MatrixPowers	compatibility	3	import Mathlib.Algebra.Order.BigOperators.Group.Finset	c0005_direct
NumStability.Algorithms.MatrixPowers	compatibility	4	import Mathlib.Analysis.SpecificLimits.Basic	c0005_direct
NumStability.Algorithms.MatrixPowers	compatibility	5	import Mathlib.Data.Fintype.BigOperators	c0005_direct
NumStability.Algorithms.MatrixPowers	compatibility	6	import Mathlib.Data.Real.Basic	c0005_direct
NumStability.Algorithms.MatrixPowers	compatibility	7	import Mathlib.Tactic.FieldSimp	c0005_direct
NumStability.Algorithms.MatrixPowers	compatibility	8	import Mathlib.Tactic.Linarith	c0005_direct
NumStability.Algorithms.MatrixPowers	compatibility	9	import Mathlib.Tactic.Ring	c0005_direct
NumStability.Algorithms.MatrixPowers	compatibility	10	import NumStability.Algorithms.MatVec	c0005_direct
NumStability.Algorithms.MatrixPowers	compatibility	11	import NumStability.Algorithms.MatrixPowers.ComputedIteration.Model	c0005_direct
NumStability.Algorithms.MatrixPowers	compatibility	12	import NumStability.Algorithms.PolynomialEvaluation.MatrixNorms	c0005_direct
NumStability.Algorithms.MatrixPowers	compatibility	13	import NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.Real	c0005_direct
NumStability.Algorithms.MatrixPowers	compatibility	14	import NumStability.Analysis.LinearOperators.MatrixPowers.JordanScaling.RealDiagonal	c0005_direct
NumStability.Algorithms.MatrixPowers	compatibility	15	import NumStability.Analysis.MatrixAlgebra	c0005_direct
NumStability.Algorithms.MatrixPowers	compatibility	16	import NumStability.Analysis.Rounding	c0005_direct
NumStability.Algorithms.MatrixPowers	compatibility	17	import NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.Equations04And05.RealDiagonal	c0005_direct
NumStability.Algorithms.MatrixPowers	compatibility	18	import NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Equations08To14.ComputedIteration	c0005_direct
NumStability.Algorithms.MatrixPowers	compatibility	19	import NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.RealCases	c0005_direct
NumStability.Algorithms.MatrixPowersComplex	compatibility	1	import Mathlib.Algebra.BigOperators.Group.Finset.Basic	c0005_direct
NumStability.Algorithms.MatrixPowersComplex	compatibility	2	import Mathlib.Algebra.BigOperators.Ring.Finset	c0005_direct
NumStability.Algorithms.MatrixPowersComplex	compatibility	3	import Mathlib.Algebra.Order.BigOperators.Group.Finset	c0005_direct
NumStability.Algorithms.MatrixPowersComplex	compatibility	4	import Mathlib.Analysis.SpecificLimits.Basic	c0005_direct
NumStability.Algorithms.MatrixPowersComplex	compatibility	5	import Mathlib.Data.Fintype.BigOperators	c0005_direct
NumStability.Algorithms.MatrixPowersComplex	compatibility	6	import Mathlib.Data.Real.Basic	c0005_direct
NumStability.Algorithms.MatrixPowersComplex	compatibility	7	import Mathlib.Tactic.Linarith	c0005_direct
NumStability.Algorithms.MatrixPowersComplex	compatibility	8	import Mathlib.Tactic.Ring	c0005_direct
NumStability.Algorithms.MatrixPowersComplex	compatibility	9	import NumStability.Algorithms.MatrixPowersJordan	c0005_direct
NumStability.Algorithms.MatrixPowersComplex	compatibility	10	import NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.Complex	c0005_direct
NumStability.Algorithms.MatrixPowersComplex	compatibility	11	import NumStability.Analysis.LinearOperators.MatrixPowers.JordanScaling.Complex	c0005_direct
NumStability.Algorithms.MatrixPowersComplex	compatibility	12	import NumStability.Analysis.MatrixNorms.Basic	c0005_direct
NumStability.Algorithms.MatrixPowersComplex	compatibility	13	import NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Equations08To14.ComplexSimilarity	c0005_direct
NumStability.Algorithms.MatrixPowersComplex	compatibility	14	import NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.ComplexJordan	c0005_direct
NumStability.Algorithms.MatrixPowersJordan	compatibility	1	import Mathlib.Algebra.BigOperators.Group.Finset.Basic	c0005_direct
NumStability.Algorithms.MatrixPowersJordan	compatibility	2	import Mathlib.Algebra.BigOperators.Ring.Finset	c0005_direct
