declaration	owner_module	visibility	selected_owner	closure_role	seed_memberships	membership_witnesses	co_route_component	minimum_depth	signature_edge_span	body_edge_span
NumStability.RationalOrderCertificate.arcLength_le	NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	public	yes	reverse_dependent_boundary	_private.NumStability.Analysis.MatrixPowersSpijkerPlanar.0.NumStability.natDegree_C_mul_mul_le_two_mul;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.exists_spijkerPartitionCrossing;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.integral_abs_deriv_le_eVariationOn;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.lintegral_spijkerPartitionLevelMultiplicity;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements_card_le_of_crossing_bound;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_eq_card;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_le;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijker_eVariationOn_le	"[{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.RationalOrderCertificate.arcLength_le_of_planar_analyticBridge"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanar.0.NumStability.natDegree_C_mul_mul_le_two_mul""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerPlanarAnalyticBridge"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.exists_spijkerPartitionCrossing""},{""depth"":3,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerPlanarAnalyticBridge"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.integral_abs_deriv_le_eVariationOn""},{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerPlanarAnalyticBridge"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.lintegral_spijkerPartitionLevelMultiplicity""},{""depth"":6,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerPlanarAnalyticBridge"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements""},{""depth"":6,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerPlanarAnalyticBridge"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements_card_le_of_crossing_bound""},{""depth"":6,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerPlanarAnalyticBridge"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval""},{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerPlanarAnalyticBridge"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues""},{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerPlanarAnalyticBridge"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity""},{""depth"":6,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerPlanarAnalyticBridge"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_eq_card""},{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerPlanarAnalyticBridge"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_le""},{""depth"":4,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerPlanarAnalyticBridge"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le""},{""depth"":3,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerPlanarAnalyticBridge"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijker_eVariationOn_le""}]"	-	3	2	5
NumStability.RationalOrderCertificate.arcLength_le_of_planar_analyticBridge	NumStability.Analysis.MatrixPowersSpijkerPlanar	public	yes	reverse_dependent_boundary	_private.NumStability.Analysis.MatrixPowersSpijkerPlanar.0.NumStability.natDegree_C_mul_mul_le_two_mul	"[{""depth"":4,""edge_kind"":""body"",""predecessor"":""NumStability.RationalOrderCertificate.projection_crossing_finset_card_le_two_mul"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanar.0.NumStability.natDegree_C_mul_mul_le_two_mul""}]"	-	4	3	13
NumStability.RationalOrderCertificate.projection_crossing_finset_card_le_two_mul	NumStability.Analysis.MatrixPowersSpijkerPlanar	public	yes	reverse_dependent_boundary	_private.NumStability.Analysis.MatrixPowersSpijkerPlanar.0.NumStability.natDegree_C_mul_mul_le_two_mul	"[{""depth"":3,""edge_kind"":""body"",""predecessor"":""NumStability.spijker_projection_crossing_finset_card_le_two_mul"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanar.0.NumStability.natDegree_C_mul_mul_le_two_mul""}]"	-	3	3	15
NumStability.exists_schur_powerBounds	NumStability.Analysis.MatrixPowersBinomialBound	public	yes	reverse_dependent_boundary	_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_apply_eq_zero;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_eq_zero_of_ge;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_eq_zero_of_lt;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_succ;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_zero;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_succ;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_zero;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.norm_Ppiece_le;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_one;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary_conj;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.sum_Ppiece	"[{""depth"":2,""edge_kind"":""body"",""predecessor"":""NumStability.opNorm_schurpow_le_binomial"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece""},{""depth"":3,""edge_kind"":""body"",""predecessor"":""NumStability.opNorm_schurpow_le_binomial"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_apply_eq_zero""},{""depth"":2,""edge_kind"":""body"",""predecessor"":""NumStability.opNorm_schurpow_le_binomial"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_eq_zero_of_ge""},{""depth"":3,""edge_kind"":""body"",""predecessor"":""NumStability.opNorm_schurpow_le_binomial"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_eq_zero_of_lt""},{""depth"":3,""edge_kind"":""body"",""predecessor"":""NumStability.opNorm_schurpow_le_binomial"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_succ""},{""depth"":3,""edge_kind"":""body"",""predecessor"":""NumStability.opNorm_schurpow_le_binomial"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_zero""},{""depth"":3,""edge_kind"":""body"",""predecessor"":""NumStability.opNorm_schurpow_le_binomial"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_succ""},{""depth"":4,""edge_kind"":""body"",""predecessor"":""NumStability.opNorm_schurpow_le_binomial"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_zero""},{""depth"":2,""edge_kind"":""body"",""predecessor"":""NumStability.opNorm_schurpow_le_binomial"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.norm_Ppiece_le""},{""depth"":4,""edge_kind"":""body"",""predecessor"":""NumStability.norm_pow_eq_norm_schur_pow"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_one""},{""depth"":3,""edge_kind"":""body"",""predecessor"":""NumStability.norm_pow_eq_norm_schur_pow"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary""},{""depth"":2,""edge_kind"":""body"",""predecessor"":""NumStability.norm_pow_eq_norm_schur_pow"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary_conj""},{""depth"":2,""edge_kind"":""body"",""predecessor"":""NumStability.opNorm_schurpow_le_binomial"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.sum_Ppiece""}]"	-	2	0	5
NumStability.higham18_kreiss_two_sided_proved	NumStability.Analysis.MatrixPowersSpijkerClosure	public	yes	reverse_dependent_boundary	_private.NumStability.Analysis.MatrixPowersSpijkerPlanar.0.NumStability.natDegree_C_mul_mul_le_two_mul;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.exists_spijkerPartitionCrossing;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.integral_abs_deriv_le_eVariationOn;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.lintegral_spijkerPartitionLevelMultiplicity;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements_card_le_of_crossing_bound;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_eq_card;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_le;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijker_eVariationOn_le	"[{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanar.0.NumStability.natDegree_C_mul_mul_le_two_mul""},{""depth"":9,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.exists_spijkerPartitionCrossing""},{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.integral_abs_deriv_le_eVariationOn""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.lintegral_spijkerPartitionLevelMultiplicity""},{""depth"":8,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements""},{""depth"":8,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements_card_le_of_crossing_bound""},{""depth"":8,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity""},{""depth"":8,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_eq_card""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_le""},{""depth"":6,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le""},{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijker_eVariationOn_le""}]"	-	5	3	3
NumStability.higham18_kreiss_upper_proved	NumStability.Analysis.MatrixPowersSpijkerClosure	public	yes	reverse_dependent_boundary	_private.NumStability.Analysis.MatrixPowersSpijkerPlanar.0.NumStability.natDegree_C_mul_mul_le_two_mul;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.exists_spijkerPartitionCrossing;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.integral_abs_deriv_le_eVariationOn;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.lintegral_spijkerPartitionLevelMultiplicity;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements_card_le_of_crossing_bound;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_eq_card;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_le;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijker_eVariationOn_le	"[{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanar.0.NumStability.natDegree_C_mul_mul_le_two_mul""},{""depth"":9,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.exists_spijkerPartitionCrossing""},{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.integral_abs_deriv_le_eVariationOn""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.lintegral_spijkerPartitionLevelMultiplicity""},{""depth"":8,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements""},{""depth"":8,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements_card_le_of_crossing_bound""},{""depth"":8,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity""},{""depth"":8,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_eq_card""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_le""},{""depth"":6,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le""},{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijker_eVariationOn_le""}]"	-	5	3	3
NumStability.norm_apply_sq_add_norm_inner_sq_le	NumStability.Analysis.BergerResolvent	public	yes	reverse_dependent_boundary	_private.NumStability.Analysis.BergerResolvent.0.NumStability.exists_unit_sq_mul;_private.NumStability.Analysis.BergerResolvent.0.NumStability.inner_diag_diff	"[{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.BergerResolvent.0.NumStability.exists_unit_sq_mul"",""seed"":""_private.NumStability.Analysis.BergerResolvent.0.NumStability.exists_unit_sq_mul""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.BergerResolvent.0.NumStability.inner_diag_diff"",""seed"":""_private.NumStability.Analysis.BergerResolvent.0.NumStability.inner_diag_diff""}]"	NumStability.norm_apply_sq_add_norm_inner_sq_le	1	1	6
NumStability.norm_pow_eq_norm_schur_pow	NumStability.Analysis.MatrixPowersBinomialBound	public	yes	reverse_dependent_boundary	_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_one;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary_conj	"[{""depth"":3,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary_conj"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_one""},{""depth"":2,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary_conj"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary_conj"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary_conj""}]"	NumStability.norm_pow_eq_norm_schur_pow	1	0	4
NumStability.norm_pow_le_exp_mul_dim_proved	NumStability.Analysis.MatrixPowersSpijkerClosure	public	yes	reverse_dependent_boundary	_private.NumStability.Analysis.MatrixPowersSpijkerPlanar.0.NumStability.natDegree_C_mul_mul_le_two_mul;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.exists_spijkerPartitionCrossing;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.integral_abs_deriv_le_eVariationOn;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.lintegral_spijkerPartitionLevelMultiplicity;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements_card_le_of_crossing_bound;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_eq_card;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_le;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijker_eVariationOn_le	"[{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanar.0.NumStability.natDegree_C_mul_mul_le_two_mul""},{""depth"":9,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.exists_spijkerPartitionCrossing""},{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.integral_abs_deriv_le_eVariationOn""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.lintegral_spijkerPartitionLevelMultiplicity""},{""depth"":8,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements""},{""depth"":8,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements_card_le_of_crossing_bound""},{""depth"":8,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity""},{""depth"":8,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_eq_card""},{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_le""},{""depth"":6,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le""},{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.spijkerArcLengthBound_proved"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijker_eVariationOn_le""}]"	-	5	1	3
NumStability.norm_pow_le_two_mul_numericalRadius_pow	NumStability.Analysis.BergerGeneral	public	yes	reverse_dependent_boundary	_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_smul_pow;_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_sum_p;_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_telescoping;_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_unit_root	"[{""depth"":3,""edge_kind"":""body"",""predecessor"":""NumStability.numericalRadius_pow_le"",""seed"":""_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_smul_pow""},{""depth"":4,""edge_kind"":""body"",""predecessor"":""NumStability.numericalRadius_pow_le"",""seed"":""_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_sum_p""},{""depth"":4,""edge_kind"":""body"",""predecessor"":""NumStability.numericalRadius_pow_le"",""seed"":""_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_telescoping""},{""depth"":4,""edge_kind"":""body"",""predecessor"":""NumStability.numericalRadius_pow_le"",""seed"":""_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_unit_root""}]"	-	3	1	2
