old_private	new_private	destination_module
_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_smul_pow	_private.NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers.0.NumStability.bergerGeneral_smul_pow	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers
_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_sum_p	_private.NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers.0.NumStability.bergerGeneral_sum_p	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers
_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_telescoping	_private.NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers.0.NumStability.bergerGeneral_telescoping	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers
_private.NumStability.Analysis.BergerGeneral.0.NumStability.bergerGeneral_unit_root	_private.NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers.0.NumStability.bergerGeneral_unit_root	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers
_private.NumStability.Analysis.BergerGeneral.0.NumStability.term𝔼	_private.NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers.0.NumStability.term𝔼	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers
_private.NumStability.Analysis.BergerInequality.0.NumStability.term𝔼	_private.NumStability.Analysis.LinearOperators.NumericalRadius.Berger.Internal.HermitianEuclideanSpaceNotation.0.NumStability.term𝔼	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.Internal.HermitianEuclideanSpaceNotation
_private.NumStability.Analysis.BergerResolvent.0.NumStability.exists_unit_sq_mul	_private.NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo.0.NumStability.exists_unit_sq_mul	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo
_private.NumStability.Analysis.BergerResolvent.0.NumStability.inner_diag_diff	_private.NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo.0.NumStability.inner_diag_diff	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo
_private.NumStability.Analysis.BergerResolvent.0.NumStability.term𝔼	_private.NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo.0.NumStability.term𝔼	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates.0.NumStability.Ppiece	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_apply_eq_zero	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates.0.NumStability.Ppiece_apply_eq_zero	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_eq_zero_of_ge	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates.0.NumStability.Ppiece_eq_zero_of_ge	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_eq_zero_of_lt	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates.0.NumStability.Ppiece_eq_zero_of_lt	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_succ	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates.0.NumStability.Ppiece_succ_succ	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_zero	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates.0.NumStability.Ppiece_succ_zero	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_succ	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates.0.NumStability.Ppiece_zero_succ	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_zero	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates.0.NumStability.Ppiece_zero_zero	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.norm_Ppiece_le	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates.0.NumStability.norm_Ppiece_le	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_one	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates.0.NumStability.opNorm_one	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates.0.NumStability.opNorm_unitary	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary_conj	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates.0.NumStability.opNorm_unitary_conj	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.sum_Ppiece	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates.0.NumStability.sum_Ppiece	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates
_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.conjTranspose_mul_diag	_private.NumStability.Analysis.LinearOperators.Schur.Complex.NormalTriangular.Diagonal.0.NumStability.conjTranspose_mul_diag	NumStability.Analysis.LinearOperators.Schur.Complex.NormalTriangular.Diagonal
_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.l2_opNorm_of_mem_unitaryGroup	_private.NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.NormalMatrices.Powers.0.NumStability.l2_opNorm_of_mem_unitaryGroup	NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.NormalMatrices.Powers
_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.l2_opNorm_one	_private.NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.NormalMatrices.Powers.0.NumStability.l2_opNorm_one	NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.NormalMatrices.Powers
_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.l2_opNorm_unitary_conj	_private.NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.NormalMatrices.Powers.0.NumStability.l2_opNorm_unitary_conj	NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.NormalMatrices.Powers
_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.mul_conjTranspose_diag	_private.NumStability.Analysis.LinearOperators.Schur.Complex.NormalTriangular.Diagonal.0.NumStability.mul_conjTranspose_diag	NumStability.Analysis.LinearOperators.Schur.Complex.NormalTriangular.Diagonal
_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.pi_norm_pow	_private.NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.NormalMatrices.Powers.0.NumStability.pi_norm_pow	NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.NormalMatrices.Powers
_private.NumStability.Analysis.MatrixPowersSpijkerPlanar.0.NumStability.natDegree_C_mul_mul_le_two_mul	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarCrossingBounds.Polynomial.0.NumStability.natDegree_C_mul_mul_le_two_mul	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarCrossingBounds.Polynomial
_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.exists_spijkerPartitionCrossing	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation.0.NumStability.exists_spijkerPartitionCrossing	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation
_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.integral_abs_deriv_le_eVariationOn	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation.0.NumStability.integral_abs_deriv_le_eVariationOn	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation
_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.lintegral_spijkerPartitionLevelMultiplicity	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation.0.NumStability.lintegral_spijkerPartitionLevelMultiplicity	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation
_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.measurable_spijkerPartitionLevelMultiplicity	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation.0.NumStability.measurable_spijkerPartitionLevelMultiplicity	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation
_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation.0.NumStability.spijkerActiveIncrements	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation
_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements_card_le_of_crossing_bound	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation.0.NumStability.spijkerActiveIncrements_card_le_of_crossing_bound	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation
_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation.0.NumStability.spijkerLevelInterval	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation
_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation.0.NumStability.spijkerPartitionEndpointValues	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation
