owner_module	path	base_blob_oid	preserved_imports	appended_imports	post_imports
NumStability.Algorithms.MatrixPowers	NumStability/Algorithms/MatrixPowers.lean	27a5dbd3027e045b19a2587ae466fb8cb8ff3f9f	Mathlib.Algebra.BigOperators.Group.Finset.Basic;Mathlib.Algebra.BigOperators.Ring.Finset;Mathlib.Algebra.Order.BigOperators.Group.Finset;Mathlib.Analysis.SpecificLimits.Basic;Mathlib.Data.Fintype.BigOperators;Mathlib.Data.Real.Basic;Mathlib.Tactic.FieldSimp;Mathlib.Tactic.Linarith;Mathlib.Tactic.Ring;NumStability.Algorithms.MatVec;NumStability.Algorithms.MatrixPowers.ComputedIteration.Model;NumStability.Algorithms.PolynomialEvaluation.MatrixNorms;NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.Real;NumStability.Analysis.LinearOperators.MatrixPowers.JordanScaling.RealDiagonal;NumStability.Analysis.MatrixAlgebra;NumStability.Analysis.Rounding;NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.Equations04And05.RealDiagonal;NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Equations08To14.ComputedIteration;NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.RealCases	-	Mathlib.Algebra.BigOperators.Group.Finset.Basic;Mathlib.Algebra.BigOperators.Ring.Finset;Mathlib.Algebra.Order.BigOperators.Group.Finset;Mathlib.Analysis.SpecificLimits.Basic;Mathlib.Data.Fintype.BigOperators;Mathlib.Data.Real.Basic;Mathlib.Tactic.FieldSimp;Mathlib.Tactic.Linarith;Mathlib.Tactic.Ring;NumStability.Algorithms.MatVec;NumStability.Algorithms.MatrixPowers.ComputedIteration.Model;NumStability.Algorithms.PolynomialEvaluation.MatrixNorms;NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.Real;NumStability.Analysis.LinearOperators.MatrixPowers.JordanScaling.RealDiagonal;NumStability.Analysis.MatrixAlgebra;NumStability.Analysis.Rounding;NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.Equations04And05.RealDiagonal;NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Equations08To14.ComputedIteration;NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.RealCases
NumStability.Algorithms.MatrixPowersComplex	NumStability/Algorithms/MatrixPowersComplex.lean	4cdcee5758a6e242c6fe1e43df5576f8f611c86d	Mathlib.Algebra.BigOperators.Group.Finset.Basic;Mathlib.Algebra.BigOperators.Ring.Finset;Mathlib.Algebra.Order.BigOperators.Group.Finset;Mathlib.Analysis.SpecificLimits.Basic;Mathlib.Data.Fintype.BigOperators;Mathlib.Data.Real.Basic;Mathlib.Tactic.Linarith;Mathlib.Tactic.Ring;NumStability.Algorithms.MatrixPowersJordan;NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.Complex;NumStability.Analysis.LinearOperators.MatrixPowers.JordanScaling.Complex;NumStability.Analysis.MatrixNorms.Basic;NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Equations08To14.ComplexSimilarity;NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.ComplexJordan	-	Mathlib.Algebra.BigOperators.Group.Finset.Basic;Mathlib.Algebra.BigOperators.Ring.Finset;Mathlib.Algebra.Order.BigOperators.Group.Finset;Mathlib.Analysis.SpecificLimits.Basic;Mathlib.Data.Fintype.BigOperators;Mathlib.Data.Real.Basic;Mathlib.Tactic.Linarith;Mathlib.Tactic.Ring;NumStability.Algorithms.MatrixPowersJordan;NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.Complex;NumStability.Analysis.LinearOperators.MatrixPowers.JordanScaling.Complex;NumStability.Analysis.MatrixNorms.Basic;NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Equations08To14.ComplexSimilarity;NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.ComplexJordan
NumStability.Algorithms.MatrixPowersJordan	NumStability/Algorithms/MatrixPowersJordan.lean	2de1c582f428c0b9eeb306fbf386ae2a99019a33	Mathlib.Algebra.BigOperators.Group.Finset.Basic;Mathlib.Algebra.BigOperators.Ring.Finset;Mathlib.Algebra.Order.BigOperators.Group.Finset;Mathlib.Analysis.Complex.ExponentialBounds;Mathlib.Analysis.SpecificLimits.Basic;Mathlib.Data.Fintype.BigOperators;Mathlib.Data.Real.Basic;Mathlib.Tactic.FieldSimp;Mathlib.Tactic.Linarith;Mathlib.Tactic.Ring;NumStability.Algorithms.MatrixPowers;NumStability.Analysis.LinearOperators.MatrixPowers.JordanScaling.RealJordan;NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.Equations04And05.RealJordan;NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.RealJordan	-	Mathlib.Algebra.BigOperators.Group.Finset.Basic;Mathlib.Algebra.BigOperators.Ring.Finset;Mathlib.Algebra.Order.BigOperators.Group.Finset;Mathlib.Analysis.Complex.ExponentialBounds;Mathlib.Analysis.SpecificLimits.Basic;Mathlib.Data.Fintype.BigOperators;Mathlib.Data.Real.Basic;Mathlib.Tactic.FieldSimp;Mathlib.Tactic.Linarith;Mathlib.Tactic.Ring;NumStability.Algorithms.MatrixPowers;NumStability.Analysis.LinearOperators.MatrixPowers.JordanScaling.RealJordan;NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.Equations04And05.RealJordan;NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.RealJordan
NumStability.Algorithms.MatrixPowersLp	NumStability/Algorithms/MatrixPowersLp.lean	ae615b79485e5246f08b8b3ea9a6f6d586b3909d	Mathlib.Algebra.BigOperators.Group.Finset.Basic;Mathlib.Data.Real.Basic;Mathlib.Tactic.Ring;NumStability.Algorithms.MatrixPowersComplex;NumStability.Analysis.LinearOperators.MatrixPowers.LpBounds.ComplexDiagonal;NumStability.Analysis.MatrixNorms.Lp;NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.Equations04And05.LpDiagonal	-	Mathlib.Algebra.BigOperators.Group.Finset.Basic;Mathlib.Data.Real.Basic;Mathlib.Tactic.Ring;NumStability.Algorithms.MatrixPowersComplex;NumStability.Analysis.LinearOperators.MatrixPowers.LpBounds.ComplexDiagonal;NumStability.Analysis.MatrixNorms.Lp;NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.Equations04And05.LpDiagonal
NumStability.Algorithms.MatrixPowersLpJordan	NumStability/Algorithms/MatrixPowersLpJordan.lean	8dfc90102dcd524feea6f2e446dc461e6300ccb6	Mathlib.Algebra.BigOperators.Group.Finset.Basic;Mathlib.Data.Real.Basic;Mathlib.Tactic.Linarith;Mathlib.Tactic.Ring;NumStability.Algorithms.MatrixPowersLp;NumStability.Analysis.LinearOperators.MatrixPowers.LpBounds.ComplexJordan;NumStability.Analysis.MatrixNorms.Lp;NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.Equations04And05.LpJordan	-	Mathlib.Algebra.BigOperators.Group.Finset.Basic;Mathlib.Data.Real.Basic;Mathlib.Tactic.Linarith;Mathlib.Tactic.Ring;NumStability.Algorithms.MatrixPowersLp;NumStability.Analysis.LinearOperators.MatrixPowers.LpBounds.ComplexJordan;NumStability.Analysis.MatrixNorms.Lp;NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.Equations04And05.LpJordan
NumStability.Algorithms.MatrixPowersPseudospectral	NumStability/Algorithms/MatrixPowersPseudospectral.lean	f695567e81b76a4d8da5e21d6773344743603fc4	NumStability.Algorithms.MatrixPowersComplex;NumStability.Analysis.LinearOperators.Pseudospectra.Perturbation.Definitions;NumStability.Analysis.MatrixNorms.SpectralRadius;NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.PseudospectralPackaging	-	NumStability.Algorithms.MatrixPowersComplex;NumStability.Analysis.LinearOperators.Pseudospectra.Perturbation.Definitions;NumStability.Analysis.MatrixNorms.SpectralRadius;NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.PseudospectralPackaging
NumStability.Algorithms.MatrixPowersPseudospectralCriterion	NumStability/Algorithms/MatrixPowersPseudospectralCriterion.lean	bb6e64d4f63518fec3504001627342b5855abb13	NumStability.Algorithms.MatrixPowersPseudospectral;NumStability.Analysis.LinearOperators.Pseudospectra.Perturbation.ConvergenceCriterion;NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.PseudospectralCriterion	-	NumStability.Algorithms.MatrixPowersPseudospectral;NumStability.Analysis.LinearOperators.Pseudospectra.Perturbation.ConvergenceCriterion;NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.PseudospectralCriterion
NumStability.Algorithms.MatrixPowersSpectral	NumStability/Algorithms/MatrixPowersSpectral.lean	215e3df31a20e159daccb71fdd333266bb249160	Mathlib.Analysis.Matrix.Normed;Mathlib.Analysis.Normed.Algebra.GelfandFormula;Mathlib.LinearAlgebra.Matrix.FiniteDimensional;NumStability.Algorithms.MatrixPowers;NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.SpectralRadius;NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.SpectralCriterion	-	Mathlib.Analysis.Matrix.Normed;Mathlib.Analysis.Normed.Algebra.GelfandFormula;Mathlib.LinearAlgebra.Matrix.FiniteDimensional;NumStability.Algorithms.MatrixPowers;NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.SpectralRadius;NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.SpectralCriterion
NumStability.Analysis.BergerGeneral	NumStability/Analysis/BergerGeneral.lean	aa447e9b3c5ee731062c6ee25d85335134c729f2	Mathlib.Algebra.BigOperators.Intervals;Mathlib.Algebra.Field.GeomSum;Mathlib.Analysis.CStarAlgebra.Matrix;Mathlib.Analysis.Complex.Polynomial.Basic;Mathlib.Analysis.InnerProductSpace.LinearMap;Mathlib.Analysis.InnerProductSpace.Rayleigh;Mathlib.Analysis.SpecialFunctions.Complex.Circle;Mathlib.FieldTheory.IsAlgClosed.Basic;Mathlib.RingTheory.RootsOfUnity.Complex;NumStability.Analysis.BergerResolvent;NumStability.Analysis.NumericalRadius	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers	Mathlib.Algebra.BigOperators.Intervals;Mathlib.Algebra.Field.GeomSum;Mathlib.Analysis.CStarAlgebra.Matrix;Mathlib.Analysis.Complex.Polynomial.Basic;Mathlib.Analysis.InnerProductSpace.LinearMap;Mathlib.Analysis.InnerProductSpace.Rayleigh;Mathlib.Analysis.SpecialFunctions.Complex.Circle;Mathlib.FieldTheory.IsAlgClosed.Basic;Mathlib.RingTheory.RootsOfUnity.Complex;NumStability.Analysis.BergerResolvent;NumStability.Analysis.NumericalRadius;NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers
NumStability.Analysis.BergerInequality	NumStability/Analysis/BergerInequality.lean	5be00dcefe5a546a674716a42a02b49229be12bf	Mathlib.Analysis.InnerProductSpace.Rayleigh;Mathlib.Analysis.InnerProductSpace.Symmetric;Mathlib.LinearAlgebra.Matrix.Hermitian;NumStability.Analysis.LinearOperators.NumericalRadius.Berger.Hermitian;NumStability.Analysis.NumericalRadius	-	Mathlib.Analysis.InnerProductSpace.Rayleigh;Mathlib.Analysis.InnerProductSpace.Symmetric;Mathlib.LinearAlgebra.Matrix.Hermitian;NumStability.Analysis.LinearOperators.NumericalRadius.Berger.Hermitian;NumStability.Analysis.NumericalRadius
