module	path	wave_id	lane_id	inventory_source	frozen_proposed_tier	frozen_proposed_family	review_status
NumStability.Algorithms.Ch10ActualSourceClosure	NumStability/Algorithms/Ch10ActualSourceClosure.lean	R04	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter10	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	NumStability/Algorithms/Ch10ComplexPositiveDefiniteSourceClosure.lean	R04	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter10	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability/Algorithms/Ch10KahanSharpnessSource.lean	R04	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter10	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability/Algorithms/Ch10PivotedPSDSourceClosure.lean	R04	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter10	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch10Theorem108Componentwise	NumStability/Algorithms/Ch10Theorem108Componentwise.lean	R04	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter10	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch10Theorem108Source	NumStability/Algorithms/Ch10Theorem108Source.lean	R04	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter10	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14AsymptoticFamilies	NumStability/Algorithms/Ch14AsymptoticFamilies.lean	R08	claude-lane	immutable-C0008-inventory	mixed_pending_split	NumStability.Algorithms.MatrixInversion + NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14BlockTriInverse	NumStability/Algorithms/Ch14BlockTriInverse.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Cor146UniformInverseBridge	NumStability/Algorithms/Ch14Cor146UniformInverseBridge.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	NumStability/Algorithms/Ch14Cor147FinalDivisionFamilyClosure.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Cor147SourceDomainConstructor	NumStability/Algorithms/Ch14Cor147SourceDomainConstructor.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Corollary146Closure	NumStability/Algorithms/Ch14Corollary146Closure.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Corollary146Concrete	NumStability/Algorithms/Ch14Corollary146Concrete.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Corollary146SourceClosure	NumStability/Algorithms/Ch14Corollary146SourceClosure.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Corollary147	NumStability/Algorithms/Ch14Corollary147.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Corollary147Closure	NumStability/Algorithms/Ch14Corollary147Closure.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Corollary147Concrete	NumStability/Algorithms/Ch14Corollary147Concrete.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Corollary147SourceClosure	NumStability/Algorithms/Ch14Corollary147SourceClosure.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Corollary147WeakFamily	NumStability/Algorithms/Ch14Corollary147WeakFamily.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14ForwardErrorEndpoint	NumStability/Algorithms/Ch14ForwardErrorEndpoint.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14GJEActualDoolittleAdapter	NumStability/Algorithms/Ch14GJEActualDoolittleAdapter.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14GJEAsymptoticFamilies	NumStability/Algorithms/Ch14GJEAsymptoticFamilies.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14GJEFinalDivisionClosure	NumStability/Algorithms/Ch14GJEFinalDivisionClosure.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14GJEOperationalBridge	NumStability/Algorithms/Ch14GJEOperationalBridge.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	NumStability/Algorithms/Ch14GJEPrintedEnvelopeClosure.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14GJESourceAccumulationBridge	NumStability/Algorithms/Ch14GJESourceAccumulationBridge.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14GJETheorem145SourceClosure	NumStability/Algorithms/Ch14GJETheorem145SourceClosure.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14GaussJordanAccumulation	NumStability/Algorithms/Ch14GaussJordanAccumulation.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14GaussJordanQConstruction	NumStability/Algorithms/Ch14GaussJordanQConstruction.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14GaussJordanSPDCorollary	NumStability/Algorithms/Ch14GaussJordanSPDCorollary.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14GaussJordanSourceClosure	NumStability/Algorithms/Ch14GaussJordanSourceClosure.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14GaussJordanStep	NumStability/Algorithms/Ch14GaussJordanStep.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Method1BWhole	NumStability/Algorithms/Ch14Method1BWhole.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Method2C	NumStability/Algorithms/Ch14Method2C.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Method2CWhole	NumStability/Algorithms/Ch14Method2CWhole.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Method2Loop	NumStability/Algorithms/Ch14Method2Loop.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
